indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),4690176,5634589,5789898,5816673,6403234,6687983,7354152,7721903,7963161,8076756
% Teachers: Government,-,69.3,68.6,68,65.6,64.1,61.5,59.7,58.8,57.9
% Teachers: Private Aided,-,10.4,10,8.8,8.4,8.1,9.1,9.1,8.6,8.5
% Teachers: Private Unaided,-,20.5,21.5,23.1,22.9,24.7,26.5,28.6,29.9,30.8
Pupil-Teacher Ratio: Elementary,36,33,32,32,30,30,27,26,25,24
% Female Teachers,40.3,42.7,43.5,44.8,45.5,46.3,46.4,47.2,47.7,48
% SC Teachers,-,12.3,12.3,12.7,12.8,12.9,12.6,12.4,12.5,12.4
% ST Teachers,-,9.1,9.5,9.4,9.4,9.2,8.7,8.6,8.5,8.5
% OBC Teachers,-,32.8,34.2,33.4,32.5,34.7,34.6,35.2,34.5,35.6
% Teachers Recieved in-Service Training,40,36.8,35.1,35,29.6,34.2,25.8,22,18.3,14.9
% Contract Teachers to Total Teachers,10.7,10.5,9.4,11,11.2,12.2,-,-,13.6,13.2
Enrolment: Classes I-V,124615546,134132183,134377324,133405581,135207057,137099984,134784272,132428440,130501135,129122784
Enrolment: Classes VI-VIII,43667786,50911110,53350189,54467415,57844942,61955154,64926077,66471219,67165774,67593727
"Enrolment: Classes I-V, Government",-,101153429,99485579,96222886,94088108,91650493,86491505,83121238,79901945,78051565
"Enrolment:Classes VI-VIII,G81o.v9ernment",-,32498650,33722832,34368617,36001733,37745355,38567724,38839624,39021735,38869512
"Enrolment: Classe4s0 I.9-V, Private",-,32736432,34842446,37099124,38235561,41898099,44481644,45665198,46626355,47185892
"Enrolment: Classes VI-VIII, Private",-,18353943,19613550,20055701,20882615,22965970,25265429,25566596,26929030,27463212
% Girls Enrolment: Primary8 1L.e0vel,47.8,48.2,48.4,48.5,48.4,48.4,48.4,48.2,48.2,48.2
% Girls Enrolment:4 U4..6Primary Level,45.8,47,47.6,48.1,48.4,48.6,48.8,48.7,48.6,48.6
Ratio of Girls Enr.to Boys: Primary,0.92,0.93,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.93
Ratio of Girls Enr.to Boys: U.Primary,0.84,0.89,0.91,0.93,0.94,0.95,0.95,0.95,0.95,0.95
% SC Enrolment: Classes I-VIII,18.6,19.8,19.7,19.8,19.1,19.8,20.2,19.7,19.8,19.8
