name,index,value,stderr
(intercept),,5.31724664598,
Total Teachers (Elementary),,9.09941035825e-08,
% Teachers: Government,,0.0831329676939,
% Teachers: Private Aided,,0.571655624265,
% Teachers: Private Unaided,,0.161581587805,
Pupil-Teacher Ratio: Elementary,,-0.00655842394148,
% Female Teachers,,0.00836465002035,
% SC Teachers,,0.385797930445,
% ST Teachers,,0.580691699654,
% OBC Teachers,,0.141486670767,
% Teachers Recieved in-Service Training,,0.0114240011327,
% Contract Teachers to Total Teachers,,0.00578357677127,
Enrolment: Classes I-V,,2.71384876426e-09,
Enrolment: Classes VI-VIII,,1.13476150887e-08,
"Enrolment: Classes I-V, Government",,6.10716285384e-08,
"Enrolment:Classes VI-VIII,G81o.v9ernment",,1.22332243984e-07,
"Enrolment: Classe4s0 I.9-V, Private",,9.67376081764e-08,
"Enrolment: Classes VI-VIII, Private",,1.5177854301e-07,
% Girls Enrolment: Primary8 1L.e0vel,,0.000432516031431,
% Girls Enrolment:4 U4..6Primary Level,,0.00291339459643,
Ratio of Girls Enr.to Boys: Primary,,0.00257268906223,
Ratio of Girls Enr.to Boys: U.Primary,,0.359955273424,
% SC Enrolment: Classes I-VIII,,8.20159041414e-05,
% ST Enrolment: Classes  7I-9V.6III,,0.0669884746583,
% OBC Enrolment: Primary Level,,0.00349535312401,
% OBC Enrolment:U.Primary Level,,0.00294150704863,
% Muslim Enrolment: Prim7a8ry.6 Level,,0.302693929718,
% Muslim Enrolment5: 4U.0. Primary Level,,0.366486565299,
Ratio of Grade V to I,,0.00922658369879,
Avg. Repetition Rate: Primary Level,,-0.312254696806,
Avg.Repetition Rate: U.Primary Level,,2.29984887133,
Avg. Drop-out Rate: Primar8y1 L.1evel,,-0.145720616023,
Retention Rate: Primary Level,,0.0589747849604,
Student-Classroom Ratio,,-0.0266465127181,
% Schools with Drinking Water,,0.00243429133989,
% Schools with Common Toilet,,0.0139870856691,
% Schools with Boys' Toilet,,0.0650701938203,
% Schools with Girls' Toilet,,-0.0127100959205,
% Schools with Boundarywall,,0.00184254530957,
% School with Playground Facility,,0.0257105037913,
% Schools with Ramp,,0.00699481723711,
% Schools havining Electricity,,0.0371320543203,
% Schools with Computer,,0.0333894564832,
% Schools Providing Mid-day Meal*,,0.0030223800471,
Number of Districts3 C.8overed,,1.98024253676e-05,
Total Schools8.0,,4.19903522113e-07,
Total Government Schools,,4.54388628143e-06,
Total Private Schools,,1.45770206688e-05,
Ratio of Primary to U.PrimarySc7.h9./Sec.,,-0.423289762856,
Primary Sch./Sec.per 1000 Child Popln.,,-0.057434439679,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.191363600259,
% Single-Teacher Schools with Enr.≥15,,-0.347211954685,
% Enrolment in Single-Teacher Schools,,-0.468946324819,
% Schools with Enrolm4.e8nt ≤ 50,,0.0143005151328,
% Schools with Fem4a.0le Teachers,,0.00925008168402,
