name,index,value,stderr
(intercept),,-14.1619462337,
Total Teachers (Elementary),,0.000309642371244,
% Teachers: Government,,0.0416941124868,
% Teachers: Private Aided,,3.221562112,
% Teachers: Private Unaided,,0.494453532811,
Pupil-Teacher Ratio: Elementary,,-0.0892069108578,
% Female Teachers,,0.0101509239971,
% SC Teachers,,-11.3645050987,
% ST Teachers,,0.974714409876,
% OBC Teachers,,0.199288819795,
% Teachers Recieved in-Service Training,,0.526340164381,
% Contract Teachers to Total Teachers,,-3.72650103732,
Enrolment: Classes I-V,,-5.20165220609e-06,
Enrolment: Classes VI-VIII,,-6.45260343459e-05,
"Enrolment: Classes I-V, Government",,0.000127019291243,
"Enrolment:Classes VI-VIII,Gov9e8rn.9ment",,8.42176838819e-05,
"Enrolment: Classes I-V, Priv8a3.t9e",,0.000576196035742,
"Enrolment: Classes VI-VIII, Private",,0.00222907195874,
% Girls Enrolment: Primary Le9v7e.l6,,-0.00298145966522,
% Girls Enrolment: U.Primary9 0L.e8vel,,0.0074368524862,
Ratio of Girls Enr.to Boys: Primary,,-0.201362430177,
Ratio of Girls Enr.to Boys: U.Primary,,1.10663551187,
% SC Enrolment: Classes I-VIII,,22.0592057414,
% ST Enrolment: Classes  I-VII9I 9.0,,-0.248734360376,
% OBC Enrolment: Primary Level,,0.593139174112,
% OBC Enrolment:U.Primary Level,,0.625322884881,
% Muslim Enrolment: Primary L9e9v.3el,,0.480912101546,
% Muslim Enrolment: U. Prim9a4ry.3 Level,,0.576403235632,
Ratio of Grade V to I,,0.53834925522,
Avg. Repetition Rate: Primary Level,,5.68372324302,
Avg.Repetition Rate: U.Primary Level,,-7.46092812057,
Avg. Drop-out Rate: Primary Level,,9.36759503117,
Retention Rate: Primary Level,,-0.443274782167,
Student-Classroom Ratio,,0.150294203373,
% Schools with Drinking Water,,0.0192361464753,
% Schools with Common Toilet,,-0.329784213332,
% Schools with Boys' Toilet,,-0.0970099282873,
% Schools with Girls' Toilet,,-0.0203706238852,
% Schools with Boundarywall,,-0.0804109992597,
% School with Playground Facility,,-0.0495765404417,
% Schools with Ramp,,0.345924885729,
% Schools havining Electricity,,-0.0917234470279,
% Schools with Computer,,0.0069896657459,
% Schools Providing Mid-day Meal*,,-0.0103925422763,
Number of Districts Covered,,0.445338861077,
Total Schools,,0.00950047704868,
Total Government Schools,,0.0155047677465,
Total Private Schools,,0.177906559286,
Ratio of Primary to U.Primary7S.c4h./Sec.,,-0.33535614241,
Primary Sch./Sec.per 1000 Child Popln.,,0.519742055407,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.247109041413,
% Single-Teacher Schools with Enr.≥15,,10.7447265863,
% Enrolment in Single-Teacher Schools,,-46.2830740623,
% Schools with Enrolmen6t .1≤ 50,,0.10455673497,
% Schools with Female T6e.a0chers,,-0.00355110564734,
