name,index,value,stderr
(intercept),,41.0327026085,
Total Teachers (Elementary),,-3.68666468633E-06,
% Teachers: Government,,0.0984141114,
% Teachers: Private Aided,,2.2944694132,
% Teachers: Private Unaided,,0.1413570943,
Pupil-Teacher Ratio: Elementary,,-0.0479167619,
% Female Teachers,,0.0073808531,
% SC Teachers,,0.4309324214,
% ST Teachers,,0.852242863,
% OBC Teachers,,0.1229405745,
% Teachers Recieved in-Service Training,,-0.155209497,
% Contract Teachers to Total Teachers,,,
Enrolment: Classes I-V,,-4.0754427767E-07,
Enrolment: Classes VI-VIII,,-8.52876142891E-07,
"Enrolment: Classes I-V, Government",,1.02212211599E-06,
"Enrolment:Classes VI-VIII,Government",,1.57623828303E-06,
"Enrolment: Classe4s1 .I3-V, Private",,8.9260862984E-07,
"Enrolment: Classes VI-VIII, Private",,1.49007122856E-06,
% Girls Enrolment: Primary Level,,-0.0007182884,
% Girls Enrolment: U.Primary Level,,-0.0008920814,
Ratio of Girls Enr.to Boys: Primary,,-0.1341445139,
Ratio of Girls Enr.to Boys: U.Primary,,-0.0761733606,
% SC Enrolment: Classes I-VIII,,0.0011470672,
% ST Enrolment: Classes  I-VI9II5.6,,-0.157297167,
% OBC Enrolment: Primary Level,,-0.0064753996,
% OBC Enrolment:U.Primary Level,,-0.0055772138,
% Muslim Enrolment: Primary Level,,0.3861736492,
% Muslim Enrolment: U. Primary Level,,0.4797930679,
Ratio of Grade V to I,,0.0146120123,
Avg. Repetition Rate: Primary Level,,-3.0133275468,
Avg.Repetition Rate: U.Primary Level,,11.5838720542,
Avg. Drop-out Rate: Primary Level,,-0.9559167571,
Retention Rate: Primary Level,,0.0643008476,
Student-Classroom Ratio,,-0.0330154699,
% Schools with Drinking Water,,0.0121692671,
% Schools with Common Toilet,,-0.0025668056,
% Schools with Boys' Toilet,,0.0154563701,
% Schools with Girls' Toilet,,-0.0078907575,
% Schools with Boundarywall,,0.0007285119,
% School with Playground Facility,,0.0312363867,
% Schools with Ramp,,-0.0747336896,
% Schools havining Electricity,,0.0095290521,
% Schools with Computer,,0.022937411,
% Schools Providing Mid-day Meal*,,0.0129623503,
Number of Districts Covered,,-0.1225242995,
Total Schools,,-2.37465174514E-05,
Total Government Schools,,4.84163769193E-05,
Total Private Schools,,6.00729271083E-05,
Ratio of Primary to U.PrimarySch./Sec.,,0.2774113486,
Primary Sch./Sec.per 1000 Child Popln.,,0.0811470529,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.0845539566,
% Single-Teacher Schools with Enr.≥15,,0.3337123385,
% Enrolment in Single-Teacher Schools,,0.6476419611,
% Schools with Enrolment ≤ 50,,0.0353425069,
% Schools with Female Teachers,,0.0022874954,
