name,index,value,stderr
(intercept),,81.2266330928,
Total Teachers (Elementary),,9.38725815624e-05,
% Teachers: Government,,0.00494507818239,
% Teachers: Private Aided,,0.85193277396,
% Teachers: Private Unaided,,0.138963248158,
Pupil-Teacher Ratio: Elementary,,-0.110335694404,
% Female Teachers,,0.00131395135992,
% SC Teachers,,-2.87472929251,
% ST Teachers,,0.0217865636232,
% OBC Teachers,,-0.280120620968,
% Teachers Recieved in-Service Training,,0.260051388424,
% Contract Teachers to Total Teachers,,-0.166740109727,
Enrolment: Classes I-V,,5.06818851257e-06,
Enrolment: Classes VI-VIII,,-3.13120744526e-06,
"Enrolment: Classes I-V, Government",,8.32330254057e-06,
"Enrolment:Cla2s5s.e0s VI-VIII,Government",,-3.54799238575e-06,
"Enrolment:7 .C3lasses I-V, Private",,9.99892039183e-05,
"Enrolment: Classes VI-VIII, Private",,0.000229954884352,
% Girls Enrolm2e6n.3t: Primary Level,,0.000720111109258,
% Girls En7ro.5lment: U.Primary Level,,0.00255293688699,
Ratio of Girls Enr.to Boys: Primary,,0.197669430008,
Ratio of Girls Enr.to Boys: U.Primary,,0.34444634354,
% SC Enrolment: Classes I-VIII,,-8.45079961201,
% ST Enrolme2n3t:. 7Classes  I-VIII,,0.00516206096756,
% OBC Enrolment: Primary Level,,-0.527746516833,
% OBC Enrolment:U.Primary Level,,-2.36271992838,
% Muslim Enro2lm5.2ent: Primary Level,,-1.22926316481,
% Muslim Enr2o1l.m4 ent: U. Primary Level,,-7.43212428941,
Ratio of Grade V to I,,-0.0061118880311,
Avg. Repetition Rate: Primary Level,,-1.12991086294,
Avg.Repetition Rate: U.Primary Level,,-2.16663471024,
Avg. Drop-out Rate4:3 P.8rimary Level,,-0.00882438381522,
Retention Rate: Primary Level,,0.549836288179,
Student-Classroom Ratio,,-0.00122495479389,
% Schools with Drinking Water,,-0.0503504297659,
% Schools with Common Toilet,,-2.1597065019,
% Schools with Boys' Toilet,,-0.0764683056245,
% Schools with Girls' Toilet,,-0.0661162981514,
% Schools with Boundarywall,,-0.00312270709491,
% School with Playground Facility,,-0.114167724185,
% Schools with Ramp,,-0.0637931778261,
% Schools havining Electricity,,0.384961804488,
% Schools with Computer,,-0.0110726256625,
% Schools Providing Mid-day Meal*,,-0.124694405989,
Number of Districts3 .C6overed,,-0.000572754806803,
Total Schools,,-8.49714291469e-05,
Total Government Schools,,6.28299432031e-05,
Total Private Schools,,0.00719674396092,
Ratio of Primary to U.PrimarySch./S9.e3c.,,-1.35037855502,
Primary Sch./Sec.per 1000 Child Popln.,,-0.426772391689,
U.Prim. Sch./Sec.per 1000 Child Popln.,,1.47437167513,
% Single-Teacher Schools with Enr.≥15,,0.0914403809031,
% Enrolment in Single-Teacher Schools,,-0.0131993205312,
% Schools with Enrolm5e.2nt ≤ 50,,-0.0223163940063,
% Schools with Fema4le.7 Teachers,,-0.00674657092091,
