name,index,value,stderr
(intercept),,-102.507056947,
Total Teachers (Elementary),,-4.53032148762e-05,
% Teachers: Government,,0.252022613083,
% Teachers: Private Aided,,0.413083571513,
% Teachers: Private Unaided,,0.960382274406,
Pupil-Teacher Ratio: Elementary,,0.98671755533,
% Female Teachers,,0.06717000679,
% SC Teachers,,2.63074308487,
% ST Teachers,,0.812142004149,
% OBC Teachers,,0.437100210048,
% Teachers Recieved in-Service Training,,-0.0779073421319,
% Contract Teachers to Total Teachers,,0.366421113158,
Enrolment: Classes I-V,,4.64631584326e-07,
Enrolment: Classes VI-VIII,,6.00410032223e-06,
"Enrolment: Classes I-V, Government",,5.6484897015e-06,
"Enrolment:Classe4s1 V.0I-VIII,Government",,1.31378433278e-05,
"Enrolment: C13la.4sses I-V, Private",,-0.00010246753828,
"Enrolment: Classes VI-VIII, Private",,4.85710843628e-05,
% Girls Enrolment:4 P6r.7imary Level,,0.00414319573557,
% Girls Enro1l2m.9ent: U.Primary Level,,-0.00277531837179,
Ratio of Girls Enr.to Boys: Primary,,0.793871422582,
Ratio of Girls Enr.to Boys: U.Primary,,-1.19621905791,
% SC Enrolment: Classes I-VIII,,-0.000483310849013,
% ST Enrolment: C4l3a.s3ses  I-VIII,,-0.110003163336,
% OBC Enrolment: Primary Level,,0.0173156374168,
% OBC Enrolment:U.Primary Level,,-0.105682848789,
% Muslim Enrolm3e6n.5t: Primary Level,,0.171308206939,
% Muslim En1r8o.l6ment: U. Primary Level,,0.258467594596,
Ratio of Grade V to I,,-0.0184665118292,
Avg. Repetition Rate: Primary Level,,-11.0289277665,
Avg.Repetition Rate: U.Primary Level,,-4.92514014406,
Avg. Drop-out Ra3te7:. 8Primary Level,,1.39713317735,
Retention Rate: Primary Level,,0.173985497241,
Student-Classroom Ratio,,0.354276798103,
% Schools with Drinking Water,,-0.0400891689517,
% Schools with Common Toilet,,1.56521742166,
% Schools with Boys' Toilet,,0.758955454688,
% Schools with Girls' Toilet,,0.0514397656543,
% Schools with Boundarywall,,-0.000917043736119,
% School with Playground Facility,,-0.572700458057,
% Schools with Ramp,,0.256763775607,
% Schools havining Electricity,,-0.95853380963,
% Schools with Computer,,1.36565691251,
% Schools Providing Mid-day Meal*,,-0.237215950564,
Number of Distric3ts.2 Covered,,0.590779762214,
Total Schools,,-3.1491060632e-05,
Total Government Schools,,0.000229094698056,
Total Private Schools,,0.000533980590801,
Ratio of Primary to U4.P.4rimarySch./Sec.,,6.77265178982,
Primary Sch./Sec.per 1000 Child Popln.,,0.218133476092,
U.Prim. Sch./Sec.per 1000 Child Popln.,,-0.805734473572,
% Single-Teacher Schools with Enr.≥15,,0.945059099621,
% Enrolment in Single-Teacher Schools,,0.644754084052,
% Schools with E3n.1rolment ≤ 50,,-0.470092716142,
% Schools with F3e.m1 ale Teachers,,-0.196119744342,
