name,index,value,stderr
(intercept),,34.1415734425,
Total Teachers (Elementary),,5.08767522676e-06,
% Teachers: Government,,0.0457556621912,
% Teachers: Private Aided,,1.10683610519,
% Teachers: Private Unaided,,-0.206614034433,
Pupil-Teacher Ratio: Elementary,,-0.0148201922109,
% Female Teachers,,0.0369153816818,
% SC Teachers,,0.299506721659,
% ST Teachers,,1.3183881359,
% OBC Teachers,,0.0944618249905,
% Teachers Recieved in-Service Training,,-0.169273064225,
% Contract Teachers to Total Teachers,,-0.276878262483,
Enrolment: Classes I-V,,8.0451920944e-08,
Enrolment: Classes VI-VIII,,3.09433029589e-07,
"Enrolment: Classes I-V, Government",,2.97578162958e-07,
"Enrolment:Classe4s0 V.9I-VIII,Government",,6.86618928606e-07,
"Enrolment: Class3e3.s5 I-V, Private",,7.2105209705e-06,
"Enrolment: Classes VI-VIII, Private",,6.19793056387e-06,
% Girls Enrolment: 4P9r.im5 ary Level,,0.00490489648773,
% Girls Enrolmen34t:. 4U.Primary Level,,0.0116900637953,
Ratio of Girls Enr.to Boys: Primary,,0.432589457308,
Ratio of Girls Enr.to Boys: U.Primary,,0.898121008082,
% SC Enrolment: Classes I-VIII,,0.0157575101011,
% ST Enrolment: Cl4a6s.9ses  I-VIII,,0.583517150289,
% OBC Enrolment: Primary Level,,0.000368799615738,
% OBC Enrolment:U.Primary Level,,0.00512239189582,
% Muslim Enrolmen4t6: .P1 rimary Level,,0.268214265175,
% Muslim Enrolme4n6t:. 5U. Primary Level,,0.310220100822,
Ratio of Grade V to I,,0.00678785392574,
Avg. Repetition Rate: Primary Level,,-0.692530901282,
Avg.Repetition Rate: U.Primary Level,,0.725501885149,
Avg. Drop-out Rate4: 6P.3rimary Level,,-0.563624182574,
Retention Rate: Primary Level,,0.0540543887986,
Student-Classroom Ratio,,-0.00205353691727,
% Schools with Drinking Water,,-0.00127582762955,
% Schools with Common Toilet,,0.0891504901229,
% Schools with Boys' Toilet,,0.00449913879366,
% Schools with Girls' Toilet,,-0.0167316553134,
% Schools with Boundarywall,,0.00800932197679,
% School with Playground Facility,,0.046521396394,
% Schools with Ramp,,-0.0103294040694,
% Schools havining Electricity,,-0.0683720584025,
% Schools with Computer,,0.154784151087,
% Schools Providing Mid-day Meal*,,0.0137602343033,
Number of Dist3r.i4cts Covered,,-5.22121702195e-05,
Total Schools,,1.42427129888e-05,
Total Government Schools,,6.11163554411e-05,
Total Private Schools,,0.000914781538527,
Ratio of Primary to U.P7.r2imarySch./Sec.,,-0.0532374792777,
Primary Sch./Sec.per 1000 Child Popln.,,-0.248242288419,
U.Prim. Sch./Sec.per 1000 Child Popln.,,1.01896377991,
% Single-Teacher Schools with Enr.≥15,,-0.394717162087,
% Enrolment in Single-Teacher Schools,,-1.04327023173,
% Schools with E4n.8rolment ≤ 50,,-0.89174985551,
% Schools with F4e.5male Teachers,,0.0137057762005,
