name,index,value,stderr
(intercept),,-57.5492674681,
Total Teachers (Elementary),,-0.000872116878051,
% Teachers: Government,,0.11359634698,
% Teachers: Private Aided,,-2.67341969447,
% Teachers: Private Unaided,,-0.0771356447075,
Pupil-Teacher Ratio: Elementary,,0.23709573432,
% Female Teachers,,0.00699262968092,
% SC Teachers,,0.851055052539,
% ST Teachers,,-48.767798271,
% OBC Teachers,,0.925451469278,
% Teachers Recieved in-Service Training,,-0.51964149168,
% Contract Teachers to Total Teachers,,-0.348606204565,
Enrolment: Classes I-V,,-3.98840955619e-05,
Enrolment: Classes VI-VIII,,-5.06008602231e-05,
"Enrolment: Classes I-V, Government",,-4.60910322473e-05,
"Enrolment:Classes VI-VIII,Gove99rn.9ment",,-5.34828499899e-05,
"Enrolment: Classes I-V, Privat1e00.0",,-6.30718249468e-05,
"Enrolment: Classes VI-VIII, Private",,-2.2973846618e-05,
% Girls Enrolment: Primary Le9v8e.l8,,-0.00278134215108,
% Girls Enrolment: U.Primary L9e9.v6el,,0.00495206520789,
Ratio of Girls Enr.to Boys: Primary,,0.433046890792,
Ratio of Girls Enr.to Boys: U.Primary,,1.1233412592,
% SC Enrolment: Classes I-VIII,,-0.0679348436667,
% ST Enrolment: Classes  I-VII9I 9.4,,106.51197984,
% OBC Enrolment: Primary Level,,0.720235013957,
% OBC Enrolment:U.Primary Level,,2.1770667242,
% Muslim Enrolment: Primary 9L8e.v8el,,0.0581000503864,
% Muslim Enrolment: U. Prima9r7y. 4Level,,-1.87465315859,
Ratio of Grade V to I,,0.342406161013,
Avg. Repetition Rate: Primary Level,,5.14425653295,
Avg.Repetition Rate: U.Primary Level,,4.56609669482,
Avg. Drop-out Rate: Primary Le9v9e.1l,,2.56541368448,
Retention Rate: Primary Level,,0.0,
Student-Classroom Ratio,,0.172948755907,
% Schools with Drinking Water,,5.70734575214e-05,
% Schools with Common Toilet,,0.904509062382,
% Schools with Boys' Toilet,,0.402165475518,
% Schools with Girls' Toilet,,0.00261434870706,
% Schools with Boundarywall,,-0.00151156197256,
% School with Playground Facility,,0.496511175726,
% Schools with Ramp,,-0.0293088077141,
% Schools havining Electricity,,-0.0878531647389,
% Schools with Computer,,-0.00826468702372,
Number of Districts Cove16re.6d,,-1.6662005109e-11,
Total Schools,,-0.00690346618148,
Total Government Schools,,0.0155655554756,
Total Private Schools,,-0.0546694326267,
Ratio of Primary to U.PrimarySch2./6S.1ec.,,1.56303689518,
Primary Sch./Sec.per 1000 Child Popln.,,-9.55588386198e-12,
U.Prim. Sch./Sec.per 1000 Child Popln.,,4.19644097711,
% Single-Teacher Schools with Enr.≥15,,0.0,
% Enrolment in Single-Teacher Schools,,0.0,
% Schools with Enrolment 2≤0 5.00,,-7.85701756105,
% Schools with Female Te1a8c.h9ers,,-0.000178633324574,
