name,index,value,stderr
(intercept),,11.7099983832,
Total Teachers (Elementary),,3.8769399924e-06,
% Teachers: Government,,0.0894044741887,
% Teachers: Private Aided,,2.6588532037,
% Teachers: Private Unaided,,0.143047210232,
Pupil-Teacher Ratio: Elementary,,-0.0286265901531,
% Female Teachers,,0.0121632458565,
% SC Teachers,,0.518915855267,
% ST Teachers,,0.227478650398,
% OBC Teachers,,0.158714015279,
% Teachers Recieved in-Service Training,,0.102390173169,
% Contract Teachers to Total Teachers,,0.0270460023131,
Enrolment: Classes I-V,,-5.72730201738e-08,
Enrolment: Classes VI-VIII,,-4.09779777863e-08,
"Enrolment: Classes I-V, Government",,2.93495152523e-06,
"Enrolment:Classes VI5-V8.I9II,Government",,4.71978281444e-06,
"Enrolment: Classes 5I-1V.1, Private",,7.27362500712e-06,
"Enrolment: Classes VI-VIII, Private",,1.47189794768e-05,
% Girls Enrolment: Prim62a.4ry Level,,0.000861641247894,
% Girls Enrolment: U5.P5.r1imary Level,,0.00621406615626,
Ratio of Girls Enr.to Boys: Primary,,0.0610870824361,
Ratio of Girls Enr.to Boys: U.Primary,,0.61891833074,
% SC Enrolment: Classes I-VIII,,-0.0027374275599,
% ST Enrolment: Class6e2s. 4 I-VIII,,0.00264156301145,
% OBC Enrolment: Primary Level,,0.00196081137693,
% OBC Enrolment:U.Primary Level,,0.0011845130378,
% Muslim Enrolment: P60ri.m0 ary Level,,0.0679910920582,
% Muslim Enrolme4n4t.:3 U. Primary Level,,1.18340197227,
Ratio of Grade V to I,,0.0171675776278,
Avg. Repetition Rate: Primary Level,,-1.102092095,
Avg.Repetition Rate: U.Primary Level,,2.49301321696,
Avg. Drop-out Rate: Prim66a.r9y Level,,0.0124222274514,
Retention Rate: Primary Level,,0.0706694991427,
Student-Classroom Ratio,,-0.0578394797427,
% Schools with Drinking Water,,0.00591333555689,
% Schools with Common Toilet,,0.106069592214,
% Schools with Boys' Toilet,,0.0217207912036,
% Schools with Girls' Toilet,,-0.0256446007769,
% Schools with Boundarywall,,0.0134253100203,
% School with Playground Facility,,0.0336328360602,
% Schools with Ramp,,0.0075184986644,
% Schools havining Electricity,,0.0348989001781,
% Schools with Computer,,-0.315320949229,
% Schools Providing Mid-day Meal*,,0.0302492651208,
Number of Distric2t.9s Covered,,-0.092233662763,
Total Schools,,4.59833172886e-07,
Total Government Schools,,0.000136340036585,
Total Private Schools,,0.000887534476054,
Ratio of Primary to U.Primar7y.S0ch./Sec.,,0.0384242621827,
Primary Sch./Sec.per 1000 Child Popln.,,-0.153729614178,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.190180311855,
% Single-Teacher Schools with Enr.≥15,,-0.0924122814908,
% Enrolment in Single-Teacher Schools,,-0.135849745009,
% Schools with En3.r5olment ≤ 50,,-0.00522451562685,
% Schools with F3e.m1 ale Teachers,,0.00864258270378,
