karnataka_result.csv,bihar_result.csv,telangana_result.csv,chhattisgarh_result.csv,tripura_result.csv,jammu_result.csv,lakshadweep_result.csv,gujarat_result.csv,meghalaya_result.csv,a&n_result.csv,assam_result.csv,manipur_result.csv,himachal_result.csv,nagaland_result.csv,odisha_result.csv,daman_result.csv,mizoram_result.csv,jharkhand_result.csv,west_bengal_result.csv,India_result.csv,uttar_pradesh_result.csv,uttarakhand_result.csv,dadar_result.csv,delhi_result.csv,arunachal_result.csv,punjab_result.csv,sikkim_result.csv,haryana_result.csv,goa_result.csv,chandigarh_result.csv,puducherry_result.csv,madhya_result.csv,andhra_result.csv,rajasthan_result.csv,tamil_nadu_result.csv
(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept),(intercept)
Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary),Total Teachers (Elementary)
% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government,% Teachers: Government
% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided,% Teachers: Private Aided
% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided,% Teachers: Private Unaided
Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary,Pupil-Teacher Ratio: Elementary
% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers,% Female Teachers
% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers,% SC Teachers
% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers,% ST Teachers
% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers,% OBC Teachers
