name,index,value,stderr
(intercept),,0.952142481839,
Total Teachers (Elementary),,0.00068261476066,
% Teachers: Government,,0.0758031363238,
% Teachers: Private Aided,,1.29759847067,
% Teachers: Private Unaided,,0.140608741327,
Pupil-Teacher Ratio: Elementary,,-0.00469623979371,
% Female Teachers,,0.00862111362626,
% SC Teachers,,1.07122019485,
% ST Teachers,,0.103160787953,
% OBC Teachers,,0.923106295861,
% Teachers Recieved in-Service Training,,0.0762561419231,
Enrolment: Classes I-V,,2.63510741953e-05,
Enrolment: Classes VI-VIII,,0.000143487643771,
"Enrolment: Classes I-V, Government",,0.000198887697178,
"Enrolment:Classes VI-VIII,Go9v3e.r8nment",,0.000324603893091,
"Enrolment: Classes I-V, Privat1e00.0",,0.000400589019239,
"Enrolment: Classes VI-VIII, Private",,0.00101516716982,
% Girls Enrolment: Primary Le9v6e.1l,,0.000385703036427,
% Girls Enrolment: U.Primary 1L0e0v.0el,,0.00852790231364,
Ratio of Girls Enr.to Boys: Primary,,-0.00709678597195,
Ratio of Girls Enr.to Boys: U.Primary,,0.691997125965,
% SC Enrolment: Classes I-VIII,,-0.937188213294,
% ST Enrolment: Classes  I-VI9I4I .4,,0.000540039083235,
% OBC Enrolment: Primary Level,,0.594561988977,
% OBC Enrolment:U.Primary Level,,0.733205840957,
% Muslim Enrolment: Primary9 L3e.1vel,,0.385359335431,
% Muslim0. 0Enrolment: U. Primary Level,,0.599995949959,
Ratio of Grade V to I,,0.0193339810724,
Avg. Repetition Rate: Primary Level,,0.773519724159,
Avg.Repetition Rate: U.Primary Level,,1.4517453574,
Avg. Drop-out Rate: Primary 9L0e.v7el,,0.409027582362,
Retention Rate: Primary Level,,0.0425163572153,
Student-Classroom Ratio,,0.0106688401112,
% Schools with Drinking Water,,0.00283890088745,
% Schools with Common Toilet,,-0.210161209958,
% Schools with Boys' Toilet,,0.00686142300111,
% Schools with Girls' Toilet,,0.00328570813442,
% Schools with Boundarywall,,-0.0427910005706,
% School with Playground Facility,,0.0782597112933,
% Schools with Ramp,,0.0194722498513,
% Schools havining Electricity,,0.0400283326673,
% Schools with Computer,,-0.033869687928,
% Schools Providing Mid-day Meal*,,0.0280286288671,
Number of Distr4ic.0ts Covered,,3.7374547901e-12,
Total Schools,,0.00371537180276,
Total Government Schools,,0.0188130532292,
Total Private Schools,,0.0994003001018,
Ratio of Primary to U.PrimarySch1.2/S.7ec.,,-0.315820563079,
Primary Sch./Sec.per 1000 Child Popln.,,-0.0563216584205,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.0616313380123,
% Single-Teacher Schools with Enr.≥15,,0.121911211222,
% Enrolment in Single-Teacher Schools,,0.273196314653,
% Schools with E5n.r1olment ≤ 50,,0.0518143958269,
% Schools with F4e.5male Teachers,,0.00576306530654,
