name,index,value,stderr
(intercept),,440.616558196,
Total Teachers (Elementary),,-0.00090846967025,
% Teachers: Government,,-0.353517140652,
% Teachers: Private Aided,,-0.272620692709,
% Teachers: Private Unaided,,-3.33324096716,
Pupil-Teacher Ratio: Elementary,,-0.17130607845,
% Female Teachers,,0.03080961937,
% SC Teachers,,-18.1202027894,
% ST Teachers,,15.3568703691,
% OBC Teachers,,3.41076534444,
% Teachers Recieved in-Service Training,,-0.3136788941,
% Contract Teachers to Total Teachers,,-0.737586193018,
Enrolment: Classes I-V,,-5.31651442674e-05,
Enrolment: Classes VI-VIII,,-8.57724838372e-05,
"Enrolment: Classes I-V, Government",,-0.000749609193076,
"Enrolment:Classes VI-VIII,Gov9e5r.2nment",,-0.000899295998518,
"Enrolment: Classes I-V,6 P6.r7ivate",,-0.000213317168215,
"Enrolment: Classes VI-VIII, Private",,-0.000303990874546,
% Girls Enrolment: Primary Le9v6e.7l,,0.00194087398283,
% Girls Enrolment: U.Prima8ry4 .L1evel,,0.00851679231244,
Ratio of Girls Enr.to Boys: Primary,,0.235651309643,
Ratio of Girls Enr.to Boys: U.Primary,,-1.4575760038,
% SC Enrolment: Classes I-VIII,,-5.34159515974,
% ST Enrolment: Classes  I-VI9II5.5,,-1.47627007211,
% OBC Enrolment: Primary Level,,-2.95117122182,
% OBC Enrolment:U.Primary Level,,-1.09085801975,
% Muslim Enrolment: Primary 9L5e.v6el,,0.501651610022,
% Muslim Enrolment: U. Pri8m4.a3ry Level,,0.168517769165,
Ratio of Grade V to I,,-0.8222042725,
Avg. Repetition Rate: Primary Level,,7.54877053001,
Avg.Repetition Rate: U.Primary Level,,1.44539385536,
Avg. Drop-out Rate: Primary Le96v.e7l,,-0.734203404516,
Retention Rate: Primary Level,,-0.556653101821,
Student-Classroom Ratio,,-0.874249090365,
% Schools with Drinking Water,,-0.00241357627465,
% Schools with Common Toilet,,-0.0312218025196,
% Schools with Boys' Toilet,,-0.146946561918,
% Schools with Girls' Toilet,,0.360175457777,
% Schools with Boundarywall,,-0.0209694824595,
% School with Playground Facility,,0.163197784415,
% Schools with Ramp,,0.914888710082,
% Schools havining Electricity,,-0.0366446345198,
% Schools with Computer,,0.0926650796967,
% Schools Providing Mid-day Meal*,,-0.137308785307,
Number of Di2st.8ricts Covered,,-9.96509541551e-11,
Total Schools,,-0.00192943089436,
Total Governmen5t .S2chools,,-0.0216883808347,
Total Private 2S.c8hools,,-0.0235929609704,
Ratio of Primary to U.Primary1S0.c6h./Sec.,,1.87009731146,
Primary Sch./Sec.per 1000 Child Popln.,,0.23596482289,
U.Prim. Sch./Se4c.3.per 1000 Child Popln.,,0.401037647209,
% Single-Teacher Schools with Enr.≥15,,-12.1124079361,
% Enrolment in Single-Teacher Schools,,-22.853799534,
% Schools with E4n.7rolment ≤ 50,,-0.036755262786,
% Schools wi2th.6 Female Teachers,,-0.00326617390905,
