name,index,value,stderr
(intercept),,11.1595379895,
Total Teachers (Elementary),,-5.74195732843e-07,
% Teachers: Government,,0.104235839045,
% Teachers: Private Aided,,1.97468135262,
% Teachers: Private Unaided,,0.150174322855,
Pupil-Teacher Ratio: Elementary,,0.016621421743,
% Female Teachers,,0.00352518184553,
% SC Teachers,,0.703168723298,
% ST Teachers,,0.478949080421,
% OBC Teachers,,0.195140987433,
% Teachers Recieved in-Service Training,,0.0615929023621,
% Contract Teachers to Total Teachers,,-0.0805990906718,
Enrolment: Classes I-V,,1.32489876605e-07,
Enrolment: Classes VI-VIII,,-2.48362811135e-07,
"Enrolment: Classes I-V, Government",,1.9770253426e-06,
"Enrolment:Classes VI-VIII,Gov9e5r.3nment",,2.19555502272e-06,
"Enrolment: Classes I-V, Privat9e4.2",,2.13642805094e-06,
"Enrolment: Classes VI-VIII, Private",,2.08176139754e-06,
% Girls Enrolment: Primary Le9v6e.8l,,-0.00186915237627,
% Girls Enrolment: U.Primary9 L3e.9vel,,0.00144059686428,
Ratio of Girls Enr.to Boys: Primary,,-0.287253987827,
Ratio of Girls Enr.to Boys: U.Primary,,0.0799386900603,
% SC Enrolment: Classes I-VIII,,0.0513637988096,
% ST Enrolment: Classes  I-VII9I6.9,,-0.0025373844237,
% OBC Enrolment: Primary Level,,0.006353555817,
% OBC Enrolment:U.Primary Level,,0.00193870490541,
% Muslim Enrolment: Primary9 L8e.0vel,,0.248946217839,
% Muslim Enrolment: U. Prim9a2r.y2 Level,,0.259506471023,
Ratio of Grade V to I,,-0.00655790494954,
Avg. Repetition Rate: Primary Level,,-0.86329594223,
Avg.Repetition Rate: U.Primary Level,,1.97327952992,
Avg. Drop-out Rate: Primary L9e9v.e8l,,-0.556280378002,
Retention Rate: Primary Level,,0.0646525909553,
Student-Classroom Ratio,,-0.00172367486275,
% Schools with Drinking Water,,0.00502776586485,
% Schools with Common Toilet,,0.159305679142,
% Schools with Boys' Toilet,,0.0181440880379,
% Schools with Girls' Toilet,,-0.000492985268082,
% Schools with Boundarywall,,0.00372419086584,
% School with Playground Facility,,0.0277810751183,
% Schools with Ramp,,0.024548668678,
% Schools havining Electricity,,0.00653985703072,
% Schools with Computer,,0.0445702124852,
% Schools Providing Mid-day Meal*,,0.0307348293259,
Number of Districts C5o.3vered,,-0.027233195557,
Total Schools,,-9.11103052241e-07,
Total Government Schools,,0.000191551939886,
Total Private Schools,,0.000427106638911,
Ratio of Primary to U.PrimaryS9c.2h./Sec.,,-0.0250942910537,
Primary Sch./Sec.per 1000 Child Popln.,,-0.160251863618,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.100610825242,
% Single-Teacher Schools with Enr.≥15,,-1.69628436737,
% Enrolment in Single-Teacher Schools,,-6.6873212644,
% Schools with Enrolmen7t. 1≤ 50,,-0.0713522309232,
% Schools with Female 6T.4eachers,,-0.000227096782871,
