name,index,value,stderr
(intercept),,1.2492663741,
Total Teachers (Elementary),,4.76459091488e-07,
% Teachers: Government,,-0.0546711083311,
% Teachers: Private Aided,,5.37006380174,
% Teachers: Private Unaided,,-0.0275877966085,
Pupil-Teacher Ratio: Elementary,,-0.146173451921,
% Female Teachers,,0.0015410599743,
% SC Teachers,,-0.0705394144758,
% ST Teachers,,103.407672755,
% OBC Teachers,,-0.147262452033,
% Teachers Recieved in-Service Training,,-0.883906828775,
Enrolment: Classes I-V,,4.34364379578e-07,
Enrolment: Classes VI-VIII,,-2.13106716864e-06,
"Enrolment: Classes I-V, Government",,-7.94110119713e-07,
"Enrolment:Classes VI-VIII,Go88v.e8rnment",,-8.83721081475e-06,
"Enrolment: Classes I-V, Private97.5",,1.68355694035e-06,
"Enrolment: Classes VI-VIII, Private",,1.20776929398e-06,
% Girls Enrolment: Primary L9e1v.6el,,0.0157093574653,
% Girls Enrolment: U.Primary 9L8e.1vel,,0.0200074694694,
Ratio of Girls Enr.to Boys: Primary,,2.67896567008,
Ratio of Girls Enr.to Boys: U.Primary,,2.01226896893,
% SC Enrolment: Classes I-VIII,,0.0780904426044,
% ST Enrolment: Classes  I-V9I3I.I8,,47.3874851678,
% OBC Enrolment: Primary Level,,-0.153294371467,
% OBC Enrolment:U.Primary Level,,-0.168627129998,
% Muslim Enrolment: Primary9 L5.e2vel,,-0.390466712329,
% Muslim Enrolment: U. Prim9a5ry.3 Level,,-3.25382208351,
Ratio of Grade V to I,,-0.663641591767,
Avg. Repetition Rate: Primary Level,,1.71974758151,
Avg.Repetition Rate: U.Primary Level,,1.65052661755,
Avg. Drop-out Rate: Primary L9e6v.7el,,2.31783632712,
Retention Rate: Primary Level,,-0.288554830993,
Student-Classroom Ratio,,0.050225210985,
% Schools with Drinking Water,,8.27136555009e-05,
% Schools with Common Toilet,,-0.104696209497,
% Schools with Boys' Toilet,,-0.0718975290515,
% Schools with Girls' Toilet,,0.00171713533423,
% Schools with Boundarywall,,-0.00018738442638,
% School with Playground Facility,,0.294146274446,
% Schools with Ramp,,0.189150671448,
% Schools havining Electricity,,0.301228951617,
% Schools with Computer,,-0.113516673464,
% Schools Providing Mid-day Meal*,,0.185140783155,
Number of Distric4t.s5 Covered,,0.0390858072391,
Total Schools,,5.16300676758e-05,
Total Government Schools,,-9.03127662942e-05,
Total Private Schools,,0.000312526655121,
Ratio of Primary to U.PrimaryS1c1h.6./Sec.,,0.5028731627,
Primary Sch./Sec.per 1000 Child Popln.,,3.53035992826,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.984945514246,
% Single-Teacher Schools with Enr.≥15,,9.25392360676,
% Enrolment in Single-Teacher Schools,,2.56155931201,
% Schools with Enro6lm.7ent ≤ 50,,0.275852225834,
% Schools with F4e.m8 ale Teachers,,-0.16924176072,
