name,index,value,stderr
(intercept),,17.949494173,
Total Teachers (Elementary),,1.32286925106e-05,
% Teachers: Government,,0.0791122082856,
% Teachers: Private Aided,,19.0075882476,
% Teachers: Private Unaided,,0.177799916362,
Pupil-Teacher Ratio: Elementary,,-0.1038502607,
% Female Teachers,,0.00563721977512,
% SC Teachers,,0.363654178798,
% ST Teachers,,0.817280902541,
% OBC Teachers,,0.526476401433,
% Teachers Recieved in-Service Training,,0.00984511351299,
% Contract Teachers to Total Teachers,,-0.0594032243385,
Enrolment: Classes I-V,,-5.98707313138e-08,
Enrolment: Classes VI-VIII,,4.84809593496e-08,
"Enrolment: Classes I-V, Government",,1.56803477796e-05,
"Enrolment:Classes VI-VIII,Go9v1e.4rnment",,2.08333549274e-05,
"Enrolment: Classes I-V, Pr7iv8.a3te",,2.18109804054e-05,
"Enrolment: Classes VI-VIII, Private",,4.39535937097e-05,
% Girls Enrolment: Primary Le9v4e.8l,,-0.000770333032844,
% Girls Enrolment: U.Prim7a9ry.0 Level,,-0.0011761643543,
Ratio of Girls Enr.to Boys: Primary,,-0.046960795665,
Ratio of Girls Enr.to Boys: U.Primary,,-0.0794513858353,
% SC Enrolment: Classes I-VIII,,0.00772417148232,
% ST Enrolment: Classes  I-VI9II6.5,,0.0702759877972,
% OBC Enrolment: Primary Level,,-0.0153971883774,
% OBC Enrolment:U.Primary Level,,0.00173269191345,
% Muslim Enrolment: Primary 9L4e.5vel,,1.28638594947,
% Muslim Enrolment: U. Prim87a.2ry Level,,2.37376195901,
Ratio of Grade V to I,,-0.059976479925,
Avg. Repetition Rate: Primary Level,,-1.08856148983,
Avg.Repetition Rate: U.Primary Level,,1.2071465999,
Avg. Drop-out Rate: Primary L9e5v.e7l,,-2.80094195032,
Retention Rate: Primary Level,,0.0539030647687,
Student-Classroom Ratio,,-0.0363078064165,
% Schools with Drinking Water,,0.00309382913876,
% Schools with Common Toilet,,0.00130131510243,
% Schools with Boys' Toilet,,-0.0106057655781,
% Schools with Girls' Toilet,,0.0241360375004,
% Schools with Boundarywall,,0.00603446015075,
% School with Playground Facility,,0.00782595189033,
% Schools with Ramp,,0.0477969484706,
% Schools havining Electricity,,0.0409915903488,
% Schools with Computer,,0.088504624305,
% Schools Providing Mid-day Meal*,,0.00489600160146,
Number of Distr3ic.2ts Covered,,-1.60612264229e-13,
Total Schools10.2,,1.90873669271e-05,
Total Government Schools,,0.000360081829734,
Total Private Schools,,0.0021288344355,
Ratio of Primary to U.PrimarySch1.0/S.5ec.,,-0.407615629647,
Primary Sch./Sec.per 1000 Child Popln.,,-0.00498194998479,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.110353881115,
% Single-Teacher Schools with Enr.≥15,,-0.277355976264,
% Enrolment in Single-Teacher Schools,,-0.62386213649,
% Schools with E3n.8rolment ≤ 50,,0.00325026284556,
% Schools with 3F.1emale Teachers,,-0.0154969881776,
