name,index,value,stderr
(intercept),,12.920919893,
Total Teachers (Elementary),,6.19250391112e-06,
% Teachers: Government,,0.0907150540892,
% Teachers: Private Aided,,0.0,
% Teachers: Private Unaided,,0.15601928503,
Pupil-Teacher Ratio: Elementary,,-0.0962253152977,
% Female Teachers,,0.00713061826917,
% SC Teachers,,1.28680082049,
% ST Teachers,,0.636187979307,
% OBC Teachers,,0.794033356515,
% Teachers Recieved in-Service Training,,-0.134216848141,
% Contract Teachers to Total Teachers,,0.212745523169,
Enrolment: Classes I-V,,2.8604081414e-09,
Enrolment: Classes VI-VIII,,-2.02655836193e-07,
"Enrolment: Classes I-V, Government",,6.79530569903e-06,
"Enrolment:Classes V5I-4V.0III,Government",,1.24597762769e-05,
"Enrolment: Clas3s1e.s4 I-V, Private",,8.60641075006e-06,
"Enrolment: Classes VI-VIII, Private",,1.75527162075e-05,
% Girls Enrolment: P50ri.m2 ary Level,,0.00203093703039,
% Girls Enrolme2n9.t1: U.Primary Level,,0.00280899384079,
Ratio of Girls Enr.to Boys: Primary,,0.10907308325,
Ratio of Girls Enr.to Boys: U.Primary,,0.191413115244,
% SC Enrolment: Classes I-VIII,,-0.0565441071621,
% ST Enrolment: Cla5s2s.e9s  I-VIII,,0.0298302410077,
% OBC Enrolment: Primary Level,,0.0974042626787,
% OBC Enrolment:U.Primary Level,,0.155189384894,
% Muslim Enrolment:5 P4.r0imary Level,,0.0772345542468,
% Muslim Enrolm34e.n9t: U. Primary Level,,0.0831014804416,
Ratio of Grade V to I,,0.00581704513172,
Avg. Repetition Rate: Primary Level,,-2.08962841699,
Avg.Repetition Rate: U.Primary Level,,5.03815165219,
Avg. Drop-out Rate: P53ri.m9 ary Level,,-0.69570676262,
Retention Rate: Primary Level,,0.0385195371171,
Student-Classroom Ratio,,-0.0477363925305,
% Schools with Drinking Water,,0.0108067980374,
% Schools with Common Toilet,,0.0454134802121,
% Schools with Boys' Toilet,,0.0562549179971,
% Schools with Girls' Toilet,,-0.014511752248,
% Schools with Boundarywall,,-0.0217829703153,
% School with Playground Facility,,-0.0356920866485,
% Schools with Ramp,,0.0815771090368,
% Schools havining Electricity,,-0.0428857431443,
% Schools with Computer,,0.0846707778795,
% Schools Providing Mid-day Meal*,,-0.00414924133634,
Number of Distri3c.t3s Covered,,0.0906450293751,
Total Schools,,3.18532429507e-05,
Total Government Schools,,0.000228400203815,
Total Private Schools,,0.00102381521649,
Ratio of Primary to U.PrimarySch1./0S.7ec.,,-0.171478876259,
Primary Sch./Sec.per 1000 Child Popln.,,-0.0496391385953,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.0574162960072,
% Single-Teacher Schools with Enr.≥15,,-0.297918615126,
% Enrolment in Single-Teacher Schools,,-0.668611282535,
% Schools with En4ro.6lment ≤ 50,,0.00527690832586,
% Schools with F3e.4male Teachers,,0.00201658428033,
