name,index,value,stderr
(intercept),,15.7057726504,
Total Teachers (Elementary),,2.84634390174e-06,
% Teachers: Government,,0.0519421594474,
% Teachers: Private Aided,,0.966654612647,
% Teachers: Private Unaided,,0.275186328367,
Pupil-Teacher Ratio: Elementary,,0.00188857695051,
% Female Teachers,,0.00693299734047,
% SC Teachers,,0.631501905068,
% ST Teachers,,0.192482406886,
% OBC Teachers,,0.127451972489,
% Teachers Recieved in-Service Training,,-0.0867260514846,
% Contract Teachers to Total Teachers,,0.0553867278363,
Enrolment: Classes I-V,,1.39334149621e-07,
Enrolment: Classes VI-VIII,,8.32440261376e-07,
"Enrolment: Classes I-V, Government",,1.19810398803e-06,
"Enrolment:Classes VI-VIII,8G0o.3vernment",,1.89637892385e-06,
"Enrolment: Classe3s9 .I9-V, Private",,3.74575354402e-06,
"Enrolment: Classes VI-VIII, Private",,1.39300569122e-05,
% Girls Enrolment: Primary8 L4e.3vel,,0.0018905729704,
% Girls Enrolment4: 1U.8.Primary Level,,0.00146977226713,
Ratio of Girls Enr.to Boys: Primary,,0.213817589652,
Ratio of Girls Enr.to Boys: U.Primary,,0.141772061045,
% SC Enrolment: Classes I-VIII,,0.0203895206861,
% ST Enrolment: Classes7  3I.-0VIII,,-0.0204137876871,
% OBC Enrolment: Primary Level,,-0.00607216530685,
% OBC Enrolment:U.Primary Level,,-0.00708738724813,
% Muslim Enrolment: Prim73a.r9y Level,,0.144502975904,
% Muslim Enrolment: U. 7P1r.i7mary Level,,0.150506595781,
Ratio of Grade V to I,,0.0230656596142,
Avg. Repetition Rate: Primary Level,,-0.157278112221,
Avg.Repetition Rate: U.Primary Level,,3.5118042336,
Avg. Drop-out Rate: Prima73ry.7 Level,,-0.58595383329,
Retention Rate: Primary Level,,0.132347272527,
Student-Classroom Ratio,,-0.0112747132314,
% Schools with Drinking Water,,-0.000113176530488,
% Schools with Common Toilet,,0.0467669053706,
% Schools with Boys' Toilet,,0.0703271405138,
% Schools with Girls' Toilet,,-0.00759052313057,
% Schools with Boundarywall,,0.0353699299679,
% School with Playground Facility,,-0.0191889808084,
% Schools with Ramp,,0.0590007880818,
% Schools havining Electricity,,-0.00615408181631,
% Schools with Computer,,0.159990460487,
% Schools Providing Mid-day Meal*,,0.00976473399835,
Number of Distric3t.s7 Covered,,-0.025320582604,
Total Schools,,2.00636545367e-05,
Total Government Schools,,0.00011286201227,
Total Private Schools,,0.000839605458612,
Ratio of Primary to U.PrimarySch1./0S.4ec.,,-0.53182002101,
Primary Sch./Sec.per 1000 Child Popln.,,0.102518204853,
U.Prim. Sch./Sec.per 1000 Child Popln.,,-0.41253858645,
% Single-Teacher Schools with Enr.≥15,,-0.101907684213,
% Enrolment in Single-Teacher Schools,,-0.114654470781,
% Schools with Enro5.l0ment ≤ 50,,0.0555606640252,
% Schools with Fem4.a6le Teachers,,-0.024701363093,
