name,index,value,stderr
(intercept),,8.3545359264,
Total Teachers (Elementary),,8.81769707399e-07,
% Teachers: Government,,0.090936766001,
% Teachers: Private Aided,,0.405605821233,
% Teachers: Private Unaided,,0.236191347834,
Pupil-Teacher Ratio: Elementary,,0.0570778621874,
% Female Teachers,,0.0161916964312,
% SC Teachers,,0.33254646822,
% ST Teachers,,1.16391946144,
% OBC Teachers,,0.0798789010894,
% Teachers Recieved in-Service Training,,0.104408520527,
% Contract Teachers to Total Teachers,,0.268039624871,
Enrolment: Classes I-V,,1.14998991984e-07,
Enrolment: Classes VI-VIII,,-2.49425503831e-07,
"Enrolment: Classes I-V, Government",,1.97988042881e-06,
"Enrolment:Classes VI-VIII,Gov9e5.r1nment",,1.63588806704e-06,
"Enrolment: Classes I-V, Priva9t1e.4",,2.67331458319e-06,
"Enrolment: Classes VI-VIII, Private",,5.61373170632e-07,
% Girls Enrolment: Primary Le9v5e.8l,,0.00203132066797,
% Girls Enrolment: U.Primary9 0L.e5vel,,0.0013188336519,
Ratio of Girls Enr.to Boys: Primary,,0.144372106484,
Ratio of Girls Enr.to Boys: U.Primary,,4.67200949373e-12,
% SC Enrolment: Classes I-VIII,,-0.0810509718966,
% ST Enrolment: Classes  I-VII9I8.5,,-0.556446617197,
% OBC Enrolment: Primary Level,,-0.0204697132454,
% OBC Enrolment:U.Primary Level,,-0.0268368902027,
% Muslim Enrolment: Primary9 L8e.0vel,,0.300090265432,
% Muslim Enrolment: U. Prima9r6y. 6Level,,0.303447337136,
Ratio of Grade V to I,,-0.00679633395475,
Avg. Repetition Rate: Primary Level,,-4.85951793297,
Avg.Repetition Rate: U.Primary Level,,5.20332440561,
Avg. Drop-out Rate: Primary L9e6v.e2l,,1.08184473712,
Retention Rate: Primary Level,,0.0555799790276,
Student-Classroom Ratio,,0.00913735627001,
% Schools with Drinking Water,,-0.00134647693356,
% Schools with Common Toilet,,0.0269963223608,
% Schools with Boys' Toilet,,-0.00299023376318,
% Schools with Girls' Toilet,,-0.00264232880927,
% Schools with Boundarywall,,0.0222501442238,
% School with Playground Facility,,0.0127179408052,
% Schools with Ramp,,-0.0046598961795,
% Schools havining Electricity,,0.0231632018495,
% Schools with Computer,,0.108700069498,
% Schools Providing Mid-day Meal*,,0.00819374047552,
Number of Districts C4o.4vered,,0.0302862398281,
Total Schools,,-1.0540130844e-06,
Total Government Schools,,0.000118368076703,
Total Private Schools,,0.000313189418387,
Ratio of Primary to U.PrimarySc8h.0./Sec.,,-0.294115635754,
Primary Sch./Sec.per 1000 Child Popln.,,0.00853383345819,
U.Prim. Sch./Sec.per 1000 Child Popln.,,-0.0504120943263,
% Single-Teacher Schools with Enr.≥15,,0.87959285503,
% Enrolment in Single-Teacher Schools,,2.25904076037,
% Schools with Enrolme5n.6t ≤ 50,,-0.0108840443968,
% Schools with Fema4le.6 Teachers,,0.000735826802653,
