name,index,value,stderr
(intercept),,-2.04373865257,
Total Teachers (Elementary),,-9.60828166574e-08,
% Teachers: Government,,0.0720872957899,
% Teachers: Private Aided,,5.081209447,
% Teachers: Private Unaided,,0.112910530927,
Pupil-Teacher Ratio: Elementary,,-0.000778391928408,
% Female Teachers,,0.0238141932591,
% SC Teachers,,0.348632054595,
% ST Teachers,,0.329926942845,
% OBC Teachers,,0.133234585147,
% Teachers Recieved in-Service Training,,0.150703540349,
Enrolment: Classes I-V,,-1.56383746395e-08,
Enrolment: Classes VI-VIII,,1.70309454385e-07,
"Enrolment: Classes I-V, Government",,5.93117014187e-07,
"Enrolment:Classes VI-6V1I.I2I,Government",,1.22663325261e-06,
"Enrolment: Clas3s2e.s5 I-V, Private",,1.36379629514e-06,
"Enrolment: Classes VI-VIII, Private",,2.64915314197e-06,
% Girls Enrolment: Prima7r1y.6 Level,,0.0025387593023,
% Girls Enrolment3:9 U.9.Primary Level,,0.00811146887753,
Ratio of Girls Enr.to Boys: Primary,,0.279514605058,
Ratio of Girls Enr.to Boys: U.Primary,,0.740814684892,
% SC Enrolment: Classes I-VIII,,0.0137872467012,
% ST Enrolment: Classe6s9  .I0-VIII,,0.037396503194,
% OBC Enrolment: Primary Level,,0.00211543343832,
% OBC Enrolment:U.Primary Level,,0.00114050915004,
% Muslim Enrolment: Pr6im8.a3ry Level,,0.931510985236,
% Muslim Enr2o2lm.9ent: U. Primary Level,,0.847991022344,
Ratio of Grade V to I,,0.0182603651418,
Avg. Repetition Rate: Primary Level,,0.043227562624,
Avg.Repetition Rate: U.Primary Level,,-0.321028936711,
Avg. Drop-out Rate: Prima7r6y. 9Level,,-0.0724591712914,
Retention Rate: Primary Level,,0.0478010883508,
Student-Classroom Ratio,,-0.0991526584662,
% Schools with Drinking Water,,0.00597939153906,
% Schools with Common Toilet,,-0.0261574603439,
% Schools with Boys' Toilet,,0.00880344332588,
% Schools with Girls' Toilet,,0.045614410971,
% Schools with Boundarywall,,-0.018500745045,
% School with Playground Facility,,0.0400149815808,
% Schools with Ramp,,0.0344185239987,
% Schools havining Electricity,,0.295776213856,
% Schools with Computer,,-0.0362727079141,
% Schools Providing Mid-day Meal*,,0.0301424689458,
Number of Distric3t.s1 Covered,,0.00714467900671,
Total Schools,,3.19042994936e-06,
Total Government Schools,,3.78057391827e-05,
Total Private Schools,,0.000182670858959,
Ratio of Primary to U.PrimaryS7.c5h./Sec.,,-0.100595132001,
Primary Sch./Sec.per 1000 Child Popln.,,-0.022415479509,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.199946262552,
% Single-Teacher Schools with Enr.≥15,,-0.0279512300708,
% Enrolment in Single-Teacher Schools,,-0.153087092513,
% Schools with Enro4.lm2 ent ≤ 50,,0.0388716034489,
% Schools with Fe3m.3ale Teachers,,-0.00616246563389,
