name,index,value,stderr
(intercept),,-3.30431519939,
Total Teachers (Elementary),,3.81608271087e-05,
% Teachers: Government,,0.104928438563,
% Teachers: Private Aided,,0.980113168411,
% Teachers: Private Unaided,,0.137921563988,
Pupil-Teacher Ratio: Elementary,,-0.0207183463787,
% Female Teachers,,0.00338297204345,
% SC Teachers,,1.74856655872,
% ST Teachers,,0.123311530232,
% OBC Teachers,,0.604257849894,
% Teachers Recieved in-Service Training,,0.181948071813,
% Contract Teachers to Total Teachers,,-0.054255620798,
Enrolment: Classes I-V,,1.68309982764e-06,
Enrolment: Classes VI-VIII,,8.64898097863e-06,
"Enrolment: Classes I-V, Government",,4.70838292234e-05,
"Enrolment:Classe36s. 3VI-VIII,Government",,0.000181830034436,
"Enrolment: Clas3s1e.s7 I-V, Private",,2.89031621096e-05,
"Enrolment: Classes VI-VIII, Private",,4.82466386312e-05,
% Girls Enrolmen3t:9 .P2rimary Level,,7.69059494187e-05,
% Girls Enrolm21e.1nt: U.Primary Level,,-0.00231018330144,
Ratio of Girls Enr.to Boys: Primary,,-0.0110749263821,
Ratio of Girls Enr.to Boys: U.Primary,,-0.211906005863,
% SC Enrolment: Classes I-VIII,,0.159573592415,
% ST Enrolment:3 C5.l3asses  I-VIII,,0.00192372608111,
% OBC Enrolment: Primary Level,,0.0687932352136,
% OBC Enrolment:U.Primary Level,,0.0708408317134,
% Muslim Enrolm3e4n.5t: Primary Level,,0.0558931162872,
% Muslim Enro2lm8.0ent: U. Primary Level,,0.0515977938099,
Ratio of Grade V to I,,0.0117119633661,
Avg. Repetition Rate: Primary Level,,2.31768569229,
Avg.Repetition Rate: U.Primary Level,,3.25324908039,
Avg. Drop-out Rate4: 4P.7rimary Level,,0.394887144746,
Retention Rate: Primary Level,,0.0128950176476,
Student-Classroom Ratio,,0.00876218385347,
% Schools with Drinking Water,,0.00301321271642,
% Schools with Common Toilet,,-0.00421094672956,
% Schools with Boys' Toilet,,0.000699971396896,
% Schools with Girls' Toilet,,-0.00829620678092,
% Schools with Boundarywall,,0.0253097635442,
% School with Playground Facility,,0.00792104507796,
% Schools with Ramp,,-0.00560555656762,
% Schools havining Electricity,,-0.0392661191429,
% Schools with Computer,,0.0382841780067,
% Schools Providing Mid-day Meal*,,0.00555972331519,
Number of Districts C4o.5vered,,-8.10931568809e-13,
Total Schools,,7.46555546311e-05,
Total Government Schools,,0.001809355868,
Total Private Schools,,0.00385637684561,
Ratio of Primary to U.PrimarySch.8/.S8ec.,,-0.200195344088,
Primary Sch./Sec.per 1000 Child Popln.,,0.0886440116871,
U.Prim. Sch./Sec.per 1000 Child Popln.,,-0.0524362618247,
% Single-Teacher Schools with Enr.≥15,,-0.171645440347,
% Enrolment in Single-Teacher Schools,,-0.533430208493,
% Schools with Enrolme5n.6t ≤ 50,,-0.00329897763442,
% Schools with Fema4.le3 Teachers,,0.00753482605798,
