name,index,value,stderr
(intercept),,-34.130295871,
Total Teachers (Elementary),,-4.57678708959e-05,
% Teachers: Government,,0.0783181338467,
% Teachers: Private Aided,,0.136856221723,
% Teachers: Private Unaided,,-1.25832243394,
Pupil-Teacher Ratio: Elementary,,0.270862011566,
% Female Teachers,,-0.00892614920528,
% SC Teachers,,0.0463630057365,
% ST Teachers,,0.0236712303598,
% OBC Teachers,,4.37352384685,
% Teachers Recieved in-Service Training,,-1.63695860357,
Enrolment: Classes I-V,,3.29480589131e-06,
Enrolment: Classes VI-VIII,,-2.14853366686e-05,
"Enrolment: Classes I-V, Government",,9.50453803131e-06,
"Enrolment:Class3e2s.1 VI-VIII,Government",,-0.000146765423077,
"Enrolment: C15la.1sses I-V, Private",,1.27329391183e-05,
"Enrolment: Classes VI-VIII, Private",,2.45039605452e-05,
% Girls Enrolme3n1t.0: Primary Level,,-0.00396483012841,
% Girls Enro1lm5.2ent: U.Primary Level,,-0.0190114319948,
Ratio of Girls Enr.to Boys: Primary,,0.56540710169,
Ratio of Girls Enr.to Boys: U.Primary,,-0.61511558668,
% SC Enrolment: Classes I-VIII,,-3.81003895015,
% ST Enrolment:3 4C.l0asses  I-VIII,,0.000702459357531,
% OBC Enrolment: Primary Le1v00e.l0,,-34.8156334103,
% OBC Enrolment:U.Primary Level,,-8.36952066553,
% Muslim Enrolm31e.3nt: Primary Level,,5.18299888671,
% Muslim E1n0.r7olment: U. Primary Level,,4.02560735885,
Ratio of Grade V to I,,0.0773279309895,
Avg. Repetition Rate: Primary Level,,1.99049018115,
Avg.Repetition Rate: U.Primary Level,,12.2148666541,
Avg. Drop-out Rat3e8:. 4Primary Level,,0.269666865767,
Retention Rate: Primary Level,,-0.0135841273968,
Student-Classroom Ratio,,-0.0798529160761,
% Schools with Drinking Water,,0.0983338193187,
% Schools with Common Toilet,,0.0469875456949,
% Schools with Boys' Toilet,,0.135301758251,
% Schools with Girls' Toilet,,-0.224979772946,
% Schools with Boundarywall,,0.408846307572,
% School with Playground Facility,,0.672742844127,
% Schools with Ramp,,-0.874661085488,
% Schools havining Electricity,,1.28992223369,
% Schools with Computer,,0.367722354656,
% Schools Providing Mid-day Meal*,,0.120908940253,
Number of Distr2ic.6ts Covered,,6.16594761979,
Total Schools,,7.41868316491e-05,
Total Government Schools,,0.000249522344293,
Total Private Schools,,0.000371540020592,
Ratio of Primary to3 .U5.PrimarySch./Sec.,,-0.757999197159,
Primary Sch./Sec.per 1000 Child Popln.,,0.487456622285,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.304415022395,
% Single-Teacher Schools with Enr.≥15,,0.851280104666,
% Enrolment in Single-Teacher Schools,,1.71361614215,
% Schools with E3.n0rolment ≤ 50,,0.0165176254061,
% Schools with 2F.e7male Teachers,,-0.331265945064,
