name,index,value,stderr
(intercept),,-14.3433456394,
Total Teachers (Elementary),,0.000300284128509,
% Teachers: Government,,0.0548529653124,
% Teachers: Private Aided,,-6.98132054689,
% Teachers: Private Unaided,,-0.186472697777,
Pupil-Teacher Ratio: Elementary,,-0.282665975191,
% Female Teachers,,0.0149826368275,
% SC Teachers,,-14.0693694811,
% ST Teachers,,0.0158541258111,
% OBC Teachers,,-14.4254619081,
% Teachers Recieved in-Service Training,,0.394383206142,
% Contract Teachers to Total Teachers,,-0.155796554807,
Enrolment: Classes I-V,,-5.32815478118e-06,
Enrolment: Classes VI-VIII,,8.56597440132e-05,
"Enrolment: Classes I-V, Government",,-8.4733751634e-06,
"Enrolment:Classes VI-V6II8I,.0Government",,0.000216700557799,
"Enrolment: Cl2a1s.s8es I-V, Private",,6.85585461925e-05,
"Enrolment: Classes VI-VIII, Private",,0.000151138735852,
% Girls Enrolment: Prim7a0ry.2 Level,,-0.0135915301704,
% Girls Enrol1m8e.7nt: U.Primary Level,,-0.00903380558034,
Ratio of Girls Enr.to Boys: Primary,,-1.48955410511,
Ratio of Girls Enr.to Boys: U.Primary,,-0.705361555526,
% SC Enrolment: Classes I-VIII,,81.9487578675,
% ST Enrolment: Class5e9.s6  I-VIII,,-0.00278603732338,
% OBC Enrolment: Primary Level,,55.6165721526,
% OBC Enrolment:U.Primary Level,,15.3078143015,
% Muslim Enrolmen4t7: .P8rimary Level,,36.2027160969,
% Muslim En1r6o.6lment: U. Primary Level,,-85.1126874065,
Ratio of Grade V to I,,-0.0736344830569,
Avg. Repetition Rate: Primary Level,,5.19482490174,
Avg.Repetition Rate: U.Primary Level,,13.8191849335,
Avg. Drop-out Rate: Primary L9e4v.e9l,,1.0366593905,
Retention Rate: Primary Level,,-0.0211922201165,
Student-Classroom Ratio,,-0.0577239192059,
% Schools with Drinking Water,,0.00645786591483,
% Schools with Common Toilet,,-0.693340918081,
% Schools with Boys' Toilet,,-0.206100899288,
% Schools with Girls' Toilet,,0.170368884875,
% Schools with Boundarywall,,0.144342815584,
% School with Playground Facility,,0.0800876914245,
% Schools with Ramp,,0.326423921597,
% Schools havining Electricity,,0.779834700297,
% Schools with Computer,,0.435983732098,
% Schools Providing Mid-day Meal*,,-0.155300369289,
Number of Districts 4C.0overed,,9.67809166141e-13,
Total Schools,,0.000268009033179,
Total Government Schools,,0.00123702477295,
Total Private Schools,,-0.00303104584896,
Ratio of Primary to U.Primary7S.1ch./Sec.,,-3.14287487994,
Primary Sch./Sec.per 1000 Child Popln.,,0.233114437384,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.0680922788451,
% Single-Teacher Schools with Enr.≥15,,-7.37798530819,
% Enrolment in Single-Teacher Schools,,-14.0892771358,
% Schools with Enrolm4.e9nt ≤ 50,,0.0222350986984,
% Schools with Fem4a.l2e Teachers,,0.0212271844326,
