name,index,value,stderr
(intercept),,-31.5542115686,
Total Teachers (Elementary),,-0.000121210202489,
% Teachers: Government,,0.0697344745323,
% Teachers: Private Aided,,22.6113642417,
% Teachers: Private Unaided,,0.154538108381,
Pupil-Teacher Ratio: Elementary,,0.249183797589,
% Female Teachers,,-0.0252051721845,
% SC Teachers,,5.86713908088,
% ST Teachers,,0.0524314429463,
% OBC Teachers,,4.91263545774,
% Teachers Recieved in-Service Training,,-0.0475461358033,
Enrolment: Classes I-V,,6.88441430087e-06,
Enrolment: Classes VI-VIII,,1.28873987247e-05,
"Enrolment: Classes I-V, Government",,6.19573551585e-05,
"Enrolment:Cla2s1s.7es VI-VIII,Government",,0.000117806030757,
"Enrolment: Class3e7s. 6I-V, Private",,5.29392527819e-05,
"Enrolment: Classes VI-VIII, Private",,9.26033762874e-05,
% Girls Enrolm2e6n.5t: Primary Level,,0.00362054644946,
% Girls Enrolme3n1t.:1 U.Primary Level,,0.00199249526093,
Ratio of Girls Enr.to Boys: Primary,,0.182181059406,
Ratio of Girls Enr.to Boys: U.Primary,,0.126742455026,
% SC Enrolment: Classes I-VIII,,4.13169511753,
% ST Enrolment3: 1C.7lasses  I-VIII,,-0.00583847258599,
% OBC Enrolment: Primary Level,,18.4405786401,
% OBC Enrolment:U.Primary Level,,13.0116344421,
% Muslim Enrolm32e.n6t: Primary Level,,-2.55289838973,
% Muslim Enro2lm9.e2nt: U. Primary Level,,0.0197537953845,
Ratio of Grade V to I,,-0.0343084619172,
Avg. Repetition Rate: Primary Level,,-1.67856873223,
Avg.Repetition Rate: U.Primary Level,,-1.81954300258,
Avg. Drop-out R3a1te.4: Primary Level,,1.35743480494,
Retention Rate: Primary Level,,0.133901871972,
Student-Classroom Ratio,,0.0241885209274,
% Schools with Drinking Water,,-0.00846372342516,
% Schools with Common Toilet,,-0.334992499968,
% Schools with Boys' Toilet,,-0.0101435046466,
% Schools with Girls' Toilet,,-0.098478835719,
% Schools with Boundarywall,,-0.0169691834988,
% School with Playground Facility,,0.460339143718,
% Schools with Ramp,,0.0138430607979,
% Schools havining Electricity,,-0.752762720794,
% Schools with Computer,,0.085729997654,
% Schools Providing Mid-day Meal*,,0.198620712042,
Number of Districts 5C.5overed,,-0.695168799404,
Total Schools,,0.000491298621828,
Total Government Schools,,0.00268140266141,
Total Private Schools,,0.00730205922823,
Ratio of Primary to U.PrimarySch1./2S.2ec.,,1.26700542205,
Primary Sch./Sec.per 1000 Child Popln.,,1.19666534839,
U.Prim. Sch./Sec.per 1000 Child Popln.,,-1.6695843137,
% Single-Teacher Schools with Enr.≥15,,1.36236084073,
% Enrolment in Single-Teacher Schools,,31.3620368333,
% Schools with Enro6lm.3ent ≤ 50,,-0.0421602898487,
% Schools with Fem5.a2le Teachers,,0.0152252589256,
