name,index,value,stderr
(intercept),,21.0702035218,
Total Teachers (Elementary),,3.18041416188e-06,
% Teachers: Government,,0.390482523109,
% Teachers: Private Aided,,0.493017475227,
% Teachers: Private Unaided,,-0.0186904218994,
Pupil-Teacher Ratio: Elementary,,-0.0584415768792,
% Female Teachers,,0.0071838234385,
% SC Teachers,,0.199698822867,
% ST Teachers,,0.364574896872,
% OBC Teachers,,0.078435464872,
% Teachers Recieved in-Service Training,,-0.136075353146,
Enrolment: Classes I-V,,1.86311678753e-07,
Enrolment: Classes VI-VIII,,-9.95849441467e-06,
"Enrolment: Classes I-V, Government",,1.0246354078e-06,
"Enrolment:Classes VI-VIII,7G8.o2vernment",,1.95716722356e-06,
"Enrolment: Classes I5-V4.,1 Private",,-3.85786573197e-06,
"Enrolment: Classes VI-VIII, Private",,3.60374971734e-06,
% Girls Enrolment: Primary L8e9v.1el,,0.000801284415828,
% Girls Enrolment: U.5P6r.i2mary Level,,0.0104046167042,
Ratio of Girls Enr.to Boys: Primary,,-0.112073218893,
Ratio of Girls Enr.to Boys: U.Primary,,0.689792641499,
% SC Enrolment: Classes I-VIII,,0.00634099719969,
% ST Enrolment: Classes  I-8V4I.I0I,,0.0494911519958,
% OBC Enrolment: Primary Level,,0.00097621072201,
% OBC Enrolment:U.Primary Level,,0.052442322931,
% Muslim Enrolment: Prim7a6r.y8 Level,,3.00038256222,
% Muslim Enrolment: U6. 7P.7rimary Level,,3.14896383643,
Ratio of Grade V to I,,0.00239355800338,
Avg. Repetition Rate: Primary Level,,-2.37096439513,
Avg.Repetition Rate: U.Primary Level,,0.024661375039,
Avg. Drop-out Rate: Primary8 4L.e0vel,,2.6958031095,
Retention Rate: Primary Level,,-0.0514272942791,
Student-Classroom Ratio,,0.0203953762827,
% Schools with Drinking Water,,-0.00955511629818,
% Schools with Common Toilet,,0.0885808103516,
% Schools with Boys' Toilet,,0.0321416329046,
% Schools with Girls' Toilet,,-0.0801359023875,
% Schools with Boundarywall,,-0.00922363805749,
% School with Playground Facility,,0.0898021950766,
% Schools with Ramp,,0.0533872074805,
% Schools havining Electricity,,0.791382885545,
% Schools with Computer,,-0.306519676427,
Number of District3s. 5Covered,,7.29749594086e-14,
Total Schools,,1.44019763377e-05,
Total Government Schools,,5.42390116358e-05,
Total Private Schools,,0.000237143751104,
Ratio of Primary to U4.P.5rimarySch./Sec.,,-3.32133445205,
Primary Sch./Sec.per 1000 Child Popln.,,-0.382706655041,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.704457869907,
% Single-Teacher Schools with Enr.≥15,,-0.015168339727,
% Enrolment in Single-Teacher Schools,,-0.348465815341,
% Schools with En3.r5olment ≤ 50,,0.0180026921408,
% Schools with Fe3m.4ale Teachers,,0.00334021122277,
