name,index,value,stderr
(intercept),,90.7058614586,
Total Teachers (Elementary),,-0.000191512017707,
% Teachers: Government,,-0.191288667163,
% Teachers: Private Aided,,-1.09546029316,
% Teachers: Private Unaided,,0.105485107739,
Pupil-Teacher Ratio: Elementary,,0.0767250147038,
% Female Teachers,,0.0323777129374,
% SC Teachers,,0.295104701266,
% ST Teachers,,-45.8081348412,
% OBC Teachers,,0.00276198641583,
% Teachers Recieved in-Service Training,,-0.214862005137,
% Contract Teachers to Total Teachers,,6.64005037492,
Enrolment: Classes I-V,,-2.61433107055e-05,
Enrolment: Classes VI-VIII,,-9.29160135201e-05,
"Enrolment: Classes I-V, Government",,-0.000561511575343,
"Enrolment:Classes VI-VIII,Gov9e7r.n6ment",,-0.000725678129175,
"Enrolment: Classes I-V, Priva9t1e.5",,3.50086441853e-06,
"Enrolment: Classes VI-VIII, Private",,6.60487635076e-05,
% Girls Enrolment: Primary Le9v7e.l7,,0.00658729423787,
% Girls Enrolment: U.Primary9 L1.e9vel,,0.00244368453667,
Ratio of Girls Enr.to Boys: Primary,,0.407420615552,
Ratio of Girls Enr.to Boys: U.Primary,,-0.388659642284,
% SC Enrolment: Classes I-VIII,,-0.092592536313,
% ST Enrolment: Classes  I-VI9II8.8,,-100.095211792,
% OBC Enrolment: Primary Level,,-0.0182374092042,
% OBC Enrolment:U.Primary Level,,-0.012093728018,
% Muslim Enrolment: Primary L9e8v.6el,,-0.565671941531,
% Muslim Enrolment: U. Prima9r6y. 7Level,,-0.630826037769,
Ratio of Grade V to I,,-0.644251090325,
Avg. Repetition Rate: Primary Level,,88.2808439312,
Avg.Repetition Rate: U.Primary Level,,1.49836238596,
Avg. Drop-out Rate: Primary L9e9v.e9l,,45.138853981,
Retention Rate: Primary Level,,-0.228466880258,
Student-Classroom Ratio,,0.365554967233,
% Schools with Drinking Water,,-0.00486495442502,
% Schools with Common Toilet,,0.36696473976,
% Schools with Boys' Toilet,,0.0264588020201,
% Schools with Girls' Toilet,,0.0452383146706,
% Schools with Boundarywall,,0.0488775055112,
% School with Playground Facility,,0.00150312187367,
% Schools with Ramp,,0.0622099961602,
% Schools havining Electricity,,-0.0476588039975,
% Schools with Computer,,-0.0122657636018,
Number of Districts 8C.1overed,,3.99080768432e-12,
Total Schools,,0.00080383448674,
Total Government Schools,,-0.0129843643042,
Total Private Schools,,0.00479198845894,
Ratio of Primary to U.PrimaryS14c.h9./Sec.,,-2.64902747651,
Primary Sch./Sec.per 1000 Child Popln.,,-1.79007541261,
U.Prim. Sch./Sec.per 1000 Child Popln.,,-0.257072745902,
% Single-Teacher Schools with Enr.≥15,,1.9365029439,
% Enrolment in Single-Teacher Schools,,-164.643343504,
% Schools with Enro8lm.9ent ≤ 50,,0.611737518742,
