name,index,value,stderr
(intercept),,36.1353453658,
Total Teachers (Elementary),,-9.8330780594e-05,
% Teachers: Government,,0.434290325461,
% Teachers: Private Aided,,3.50127286788,
% Teachers: Private Unaided,,0.0595580521074,
Pupil-Teacher Ratio: Elementary,,0.454773183224,
% Female Teachers,,-0.0340845149841,
% SC Teachers,,0.98457129549,
% ST Teachers,,-4.96763903077,
% OBC Teachers,,1.05314416213,
% Teachers Recieved in-Service Training,,0.153324669547,
Enrolment: Classes I-V,,-2.37142682406e-06,
Enrolment: Classes VI-VIII,,-6.17157707897e-06,
"Enrolment: Classes I-V, Government",,8.81592820502e-06,
"Enrolment:Classes VI-VIII,Go9v2e.0rnment",,6.0587813237e-06,
"Enrolment: Classes I-V,6 P6.r7ivate",,-8.12796498268e-07,
"Enrolment: Classes VI-VIII, Private",,-6.29947888225e-06,
% Girls Enrolment: Primary Le1v0e0l.0,,0.0066531501957,
% Girls Enrolment: U.Primary 1L0e0v.0el,,0.0105828915689,
Ratio of Girls Enr.to Boys: Primary,,1.11615960325,
Ratio of Girls Enr.to Boys: U.Primary,,-0.448785520906,
% SC Enrolment: Classes I-VIII,,0.176070332818,
% ST Enrolment: Classes  I-V9II1I.7,,-74.7669237346,
% OBC Enrolment: Primary Level,,-0.431517823227,
% OBC Enrolment:U.Primary Level,,-0.267131705168,
% Muslim Enrolment: Primar8y8 L.5evel,,3.26543743169,
% Muslim Enrolment: U. P7r8im.1ary Level,,-2.04757338782,
Ratio of Grade V to I,,0.026907824346,
Avg. Repetition Rate: Primary Level,,-6.57975709083,
Avg.Repetition Rate: U.Primary Level,,-8.71141216187,
Avg. Drop-out Rate: Primary L9e2v.6el,,-1.1193300049,
Retention Rate: Primary Level,,-0.0286932241054,
Student-Classroom Ratio,,0.0053559749889,
% Schools with Drinking Water,,-0.000204911292365,
% Schools with Common Toilet,,0.887050386472,
% Schools with Boys' Toilet,,0.289839076661,
% Schools with Girls' Toilet,,-0.00931185655426,
% Schools with Boundarywall,,-0.00912844691183,
% School with Playground Facility,,-0.0250662833016,
% Schools with Ramp,,0.117722097144,
% Schools havining Electricity,,0.151214166634,
% Schools with Computer,,-0.0587230358787,
% Schools Providing Mid-day Meal*,,0.186421210394,
Number of Distri4c.t2s Covered,,0.483738236139,
Total Schools,,4.10778992791e-06,
Total Government Schools,,0.000465338980469,
Total Private Schools,,-0.00070099710519,
Ratio of Primary to U.PrimarySch./S14e.c0.,,1.38692819227,
Primary Sch./Sec.per 1000 Child Popln.,,-2.92366557428,
U.Prim. Sch./Sec.per 1000 Child Popln.,,-2.57375691147,
% Single-Teacher Schools with Enr.≥15,,0.00513723233911,
% Enrolment in Single-Teacher Schools,,-1.05569485479,
% Schools with Enr6o.l2ment ≤ 50,,-0.193063123935,
% Schools with F4e.5male Teachers,,0.0172110676129,
