name,index,value,stderr
(intercept),,12.5858556037,
Total Teachers (Elementary),,3.84313999852e-05,
% Teachers: Government,,0.0809991651686,
% Teachers: Private Aided,,1.68387886326,
% Teachers: Private Unaided,,0.22362682389,
Pupil-Teacher Ratio: Elementary,,-0.0816617188138,
% Female Teachers,,0.00439104741913,
% SC Teachers,,1.52220409056,
% ST Teachers,,0.150907403277,
% OBC Teachers,,0.126660286427,
% Teachers Recieved in-Service Training,,0.625463683692,
% Contract Teachers to Total Teachers,,0.0208453762992,
Enrolment: Classes I-V,,-5.16560701423e-06,
Enrolment: Classes VI-VIII,,3.05814914624e-05,
"Enrolment: Classes I-V, Government",,0.000101240919928,
"Enrolment:Classe36s. 1VI-VIII,Government",,0.000171458061313,
"Enrolment: Clas3s2e.s3 I-V, Private",,0.000213373273786,
"Enrolment: Classes VI-VIII, Private",,0.000612607926973,
% Girls Enrolment:4 3P.r9imary Level,,-0.00103023064415,
% Girls Enrolmen3t6: .U6 .Primary Level,,-0.0011189484015,
Ratio of Girls Enr.to Boys: Primary,,-0.117028979825,
Ratio of Girls Enr.to Boys: U.Primary,,-0.104567846236,
% SC Enrolment: Classes I-VIII,,-0.0399748570869,
% ST Enrolment: C4la4s.7ses  I-VIII,,-0.00440479878614,
% OBC Enrolment: Primary Level,,-0.00377057399805,
% OBC Enrolment:U.Primary Level,,0.00413963973676,
% Muslim Enrolmen4t6: .P4 rimary Level,,1.22385481109,
% Muslim Enrolm33e.3nt: U. Primary Level,,1.63225703972,
Ratio of Grade V to I,,-0.0845000134547,
Avg. Repetition Rate: Primary Level,,-0.496096243865,
Avg.Repetition Rate: U.Primary Level,,0.685744305502,
Avg. Drop-out Rate: P53ri.m8 ary Level,,-0.652474280576,
Retention Rate: Primary Level,,0.0598547343043,
Student-Classroom Ratio,,-0.0263308242945,
% Schools with Drinking Water,,-0.000914191808749,
% Schools with Common Toilet,,0.0443180055366,
% Schools with Boys' Toilet,,0.0518569814195,
% Schools with Girls' Toilet,,0.0126789681797,
% Schools with Boundarywall,,0.00796130871535,
% School with Playground Facility,,-0.00498766279952,
% Schools with Ramp,,0.0339939898524,
% Schools havining Electricity,,-0.0302588041693,
% Schools with Computer,,0.018688201923,
% Schools Providing Mid-day Meal*,,-0.00226458310212,
Number of Districts Covered 7.3,,2.26985791274e-12,
Total Schools,,0.000301977782201,
Total Government Schools,,0.00655417062037,
Total Private Schools,,0.0144033355429,
Ratio of Primary to U.PrimaryS7c.7h./Sec.,,-0.131344711637,
Primary Sch./Sec.per 1000 Child Popln.,,0.0272723419477,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.0195858985041,
% Single-Teacher Schools with Enr.≥15,,2.26418148104,
% Enrolment in Single-Teacher Schools,,3.41164879127,
% Schools with Enrolment ≤7 5.00,,0.0172258483255,
