name,index,value,stderr
(intercept),,7.17350290794,
Total Teachers (Elementary),,-7.27065048284e-06,
% Teachers: Government,,0.119515519425,
% Teachers: Private Aided,,0.363540980665,
% Teachers: Private Unaided,,0.103880277461,
Pupil-Teacher Ratio: Elementary,,0.0738968412124,
% Female Teachers,,0.00650986933016,
% SC Teachers,,0.334566028145,
% ST Teachers,,6.20637632548,
% OBC Teachers,,0.058900961195,
% Teachers Recieved in-Service Training,,0.00795393376729,
% Contract Teachers to Total Teachers,,0.0684133083034,
Enrolment: Classes I-V,,-9.45649688815e-10,
Enrolment: Classes VI-VIII,,9.76143710051e-08,
"Enrolment: Classes I-V, Government",,2.40537417598e-06,
"Enrolment:Classes VI-VIII,Gov94e.r5nment",,3.43101034027e-06,
"Enrolment: Classes I-V, Priva88te.9",,1.3049476636e-06,
"Enrolment: Classes VI-VIII, Private",,2.36130891222e-06,
% Girls Enrolment: Primary Le9v6e.1l,,-0.001684663061,
% Girls Enrolment: U.Primar8y7 L.6evel,,-0.000633908667284,
Ratio of Girls Enr.to Boys: Primary,,0.0563752124369,
Ratio of Girls Enr.to Boys: U.Primary,,-0.029381821954,
% SC Enrolment: Classes I-VIII,,0.0195458301097,
% ST Enrolment: Classes  I-VII9I7.2,,-0.00784575352539,
% OBC Enrolment: Primary Level,,-0.00393788367518,
% OBC Enrolment:U.Primary Level,,-0.00673553574721,
% Muslim Enrolment: Primary 9L7e.v0el,,0.921158589852,
% Muslim Enrolment: U. Prim9a3r.y5 Level,,0.760454054475,
Ratio of Grade V to I,,-0.030319451081,
Avg. Repetition Rate: Primary Level,,-13.1569382118,
Avg.Repetition Rate: U.Primary Level,,6.17748562543,
Avg. Drop-out Rate: Primary Le9v8e.0l,,0.368642542907,
Retention Rate: Primary Level,,0.0339908350535,
Student-Classroom Ratio,,0.0445110717633,
% Schools with Drinking Water,,0.00108339020194,
% Schools with Common Toilet,,-0.0031093582746,
% Schools with Boys' Toilet,,0.0498794087522,
% Schools with Girls' Toilet,,-0.00508355945443,
% Schools with Boundarywall,,-0.00130239961448,
% School with Playground Facility,,0.0229703232223,
% Schools with Ramp,,-0.0540458518721,
% Schools havining Electricity,,0.00920392986939,
% Schools with Computer,,0.0152711159955,
Number of Districts 4C.7overed,,4.60464999463e-14,
Total Schools,,-2.29643414285e-06,
Total Government Schools,,0.000124370463901,
Total Private Schools,,0.000236940512675,
Ratio of Primary to U.PrimarySch1.0/S.3ec.,,-0.213519581333,
Primary Sch./Sec.per 1000 Child Popln.,,0.0231307163613,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.120413907334,
% Single-Teacher Schools with Enr.≥15,,1.10504799012,
% Enrolment in Single-Teacher Schools,,8.52808685055,
% Schools with Enrolm6e.2nt ≤ 50,,0.136152385401,
% Schools with Fe4m.2ale Teachers,,0.000529968844946,
