name,index,value,stderr
(intercept),,0.000559662506241,
Total Teachers (Elementary),,8.01751668963e-06,
% Teachers: Government,,0.0407554070603,
% Teachers: Private Aided,,1.16698770419,
% Teachers: Private Unaided,,0.0432405808637,
Pupil-Teacher Ratio: Elementary,,0.107272758153,
% Female Teachers,,0.0400303247396,
% SC Teachers,,0.182739476361,
% ST Teachers,,0.297703252304,
% OBC Teachers,,0.0458155754766,
% Teachers Recieved in-Service Training,,0.0844187653879,
Enrolment: Classes I-V,,6.49914669651e-07,
Enrolment: Classes VI-VIII,,1.20084810617e-06,
"Enrolment: Classes I-V, Government",,1.44833336263e-06,
"Enrolment:Classes VI-VIII,Government",,2.29511221113e-06,
"Enrolment: Classes I-V, Private",,1.21495155452e-06,
"Enrolment: Classes VI-VIII, Private",,2.53674023842e-06,
% Girls Enrolment: Primary Level,,0.0424304719527,
% Girls Enrolment: U.Primary Level,,0.0417803201932,
Ratio of Girls Enr.to Boys: Primary,,2.17449745973,
Ratio of Girls Enr.to Boys: U.Primary,,2.14156576052,
% SC Enrolment: Classes I-VIII,,0.120752310827,
% ST Enrolment: Classes  I-VIII,,0.167558537182,
% OBC Enrolment: Primary Level,,0.0435551872224,
% OBC Enrolment:U.Primary Level,,0.0424517411311,
% Muslim Enrolment: Primary Level,,0.144289723364,
% Muslim Enrolment: U. Primary Level,,0.168468504007,
Ratio of Grade V to I,,0.0234833424171,
Avg. Repetition Rate: Primary Level,,-21.6478978918,
Avg.Repetition Rate: U.Primary Level,,0.0,
Avg. Drop-out Rate: Primary Le9v7e.4l,,0.014227374247,
Retention Rate: Primary Level,,0.0271648129609,
Student-Classroom Ratio,,0.108850576906,
% Schools with Drinking Water,,0.0220615308173,
% Schools with Common Toilet,,0.0,
% Schools with Boys' Toilet,,0.0220863637647,
% Schools with Girls' Toilet,,0.0302723883442,
% Schools with Boundarywall,,0.0297956975378,
% School with Playground Facility,,0.0334146524485,
% Schools with Ramp,,0.0400226606546,
% Schools havining Electricity,,0.0226955789233,
% Schools with Computer,,0.052312047365,
Number of Districts Covered,,0.205590313011,
Total Schools,,4.49349055734e-05,
Total Government Schools,,7.11409815374e-05,
Total Private Schools,,0.000120323719117,
Ratio of Primary to U.PrimarySch./Sec.,,1.14216840561,
Primary Sch./Sec.per 1000 Child Popln.,,0.214545516306,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.239240336215,
% Single-Teacher Schools with Enr.≥15,,0.127877352574,
% Enrolment in Single-Teacher Schools,,0.367707546838,
% Schools with Enrolment ≤ 50,,0.0568952275938,
% Schools with Female Teachers,,0.0243536435956,
