name,index,value,stderr
(intercept),,20.2244038385,
Total Teachers (Elementary),,1.56144707623e-07,
% Teachers: Government,,0.0571985313232,
% Teachers: Private Aided,,2.57873835829,
% Teachers: Private Unaided,,0.257817660742,
Pupil-Teacher Ratio: Elementary,,-0.021718889564,
% Female Teachers,,-0.0030673614293,
% SC Teachers,,0.323891869524,
% ST Teachers,,0.138820221322,
% OBC Teachers,,0.296246073077,
% Teachers Recieved in-Service Training,,0.00294395779332,
% Contract Teachers to Total Teachers,,-0.0762088539715,
Enrolment: Classes I-V,,-1.32665146699e-06,
Enrolment: Classes VI-VIII,,2.67766080125e-06,
"Enrolment: Classes I-V, Government",,1.6363927645e-05,
"Enrolment:Classes4 1V.8I-VIII,Government",,2.78620188932e-05,
"Enrolment: Cl2a1s.s2es I-V, Private",,6.01719912018e-05,
"Enrolment: Classes VI-VIII, Private",,0.00019934276823,
% Girls Enrolment:4 P6r.3imary Level,,0.0021124631286,
% Girls Enrolmen3t6: .U2 .Primary Level,,4.67355293039e-05,
Ratio of Girls Enr.to Boys: Primary,,0.206307163095,
Ratio of Girls Enr.to Boys: U.Primary,,-0.00168015630029,
% SC Enrolment: Classes I-VIII,,0.010794583223,
% ST Enrolment: C41la.4sses  I-VIII,,-0.00171087033942,
% OBC Enrolment: Primary Level,,0.0280245871337,
% OBC Enrolment:U.Primary Level,,-0.00337110300615,
% Muslim Enrolme4n4t:. 5Primary Level,,0.356494540999,
% Muslim En1r7o.l5ment: U. Primary Level,,0.408746372141,
Ratio of Grade V to I,,0.0549366920172,
Avg. Repetition Rate: Primary Level,,-1.48307009286,
Avg.Repetition Rate: U.Primary Level,,0.436644431509,
Avg. Drop-out Rate4: 4P.8rimary Level,,0.0299202134191,
Retention Rate: Primary Level,,0.0554670128202,
Student-Classroom Ratio,,-0.0578533143393,
% Schools with Drinking Water,,-0.0023458457483,
% Schools with Common Toilet,,-0.0413052199637,
% Schools with Boys' Toilet,,0.0240455327088,
% Schools with Girls' Toilet,,-0.00399296953262,
% Schools with Boundarywall,,0.0232984821239,
% School with Playground Facility,,-0.0365812094496,
% Schools with Ramp,,0.0157182168161,
% Schools havining Electricity,,0.0685930612026,
% Schools with Computer,,0.0837365877177,
% Schools Providing Mid-day Meal*,,-0.0231152730851,
Number of Districts C5o.3vered,,-0.152379270955,
Total Schools,,4.5723975971e-05,
Total Government Schools,,0.00104600577334,
Total Private Schools,,0.0129958171182,
Ratio of Primary to U.PrimarySc9h.7./Sec.,,-0.151682790402,
Primary Sch./Sec.per 1000 Child Popln.,,-0.0370814515582,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.111455570565,
% Single-Teacher Schools with Enr.≥15,,0.589611118247,
% Enrolment in Single-Teacher Schools,,2.72278107969,
% Schools with Enr4o.l8ment ≤ 50,,0.0171095000282,
% Schools with Fem4a.7le Teachers,,0.00491302277677,
