name,index,value,stderr
(intercept),,-3.96618427409,
Total Teachers (Elementary),,1.46688134295e-06,
% Teachers: Government,,0.068157758815,
% Teachers: Private Aided,,0.369293527462,
% Teachers: Private Unaided,,0.150847740334,
Pupil-Teacher Ratio: Elementary,,-0.0115409384628,
% Female Teachers,,0.00907452401314,
% SC Teachers,,0.294036474429,
% ST Teachers,,5.21110087051,
% OBC Teachers,,0.112652608656,
% Teachers Recieved in-Service Training,,-0.247196268742,
% Contract Teachers to Total Teachers,,0.112985160364,
Enrolment: Classes I-V,,2.87262918817e-08,
Enrolment: Classes VI-VIII,,1.62503647545e-07,
"Enrolment: Classes I-V, Government",,3.50317441157e-07,
"Enrolment:Classes VI-VIII,G8o4v.6ernment",,1.0137260664e-06,
"Enrolment: Class3e3s.7 I-V, Private",,3.99336118536e-07,
"Enrolment: Classes VI-VIII, Private",,7.86337646725e-07,
% Girls Enrolment: Primary8 L4e.0vel,,-0.000505376675426,
% Girls Enrolme3n4t:. 0U.Primary Level,,0.00234435061157,
Ratio of Girls Enr.to Boys: Primary,,-0.0102525710303,
Ratio of Girls Enr.to Boys: U.Primary,,0.198332509101,
% SC Enrolment: Classes I-VIII,,-0.00810881461996,
% ST Enrolment: Classes  8I-0V.4III,,0.222873784325,
% OBC Enrolment: Primary Le1v00e.l0,,0.00626417243515,
% OBC Enrolment:U.Primary Level,,0.00630205001144,
% Muslim Enrolment: Prim7a5.r1y Level,,0.256231377129,
% Muslim Enrolm33e.6nt: U. Primary Level,,0.350720020614,
Ratio of Grade V to I,,0.00559094664387,
Avg. Repetition Rate: Primary Level,,-0.451459305139,
Avg.Repetition Rate: U.Primary Level,,1.63372383652,
Avg. Drop-out Rate: Prima7r7y. 2Level,,0.148332934669,
Retention Rate: Primary Level,,0.0662207397161,
Student-Classroom Ratio,,-0.0194184647158,
% Schools with Drinking Water,,0.00137590518426,
% Schools with Common Toilet,,0.0112713588309,
% Schools with Boys' Toilet,,0.0353275739774,
% Schools with Girls' Toilet,,0.0149271624712,
% Schools with Boundarywall,,0.0216399320325,
% School with Playground Facility,,-0.0322193226135,
% Schools with Ramp,,0.0326348229779,
% Schools havining Electricity,,-0.014377413059,
% Schools with Computer,,0.212940574032,
% Schools Providing Mid-day Meal*,,-0.026038419528,
Number of Districts 4C.0overed,,0.00070993184082,
Total Schools,,3.9909325533e-06,
Total Government Schools,,2.42320560488e-05,
Total Private Schools,,7.56903072546e-05,
Ratio of Primary to U.Prim6a.0rySch./Sec.,,-0.301424377353,
Primary Sch./Sec.per 1000 Child Popln.,,0.142586620027,
U.Prim. Sch./Sec.per 1000 Child Popln.,,0.211126613952,
% Single-Teacher Schools with Enr.≥15,,-0.314211315069,
% Enrolment in Single-Teacher Schools,,0.26069791026,
% Schools with Enrolm4.8ent ≤ 50,,-0.0261866309329,
% Schools with Fema4.le3 Teachers,,0.00401405566558,
