name,index,value,stderr
(intercept),,-13.8454113584,
Total Teachers (Elementary),,-5.31131807117e-05,
% Teachers: Government,,-0.0217659772285,
% Teachers: Private Aided,,-2.36967590942,
% Teachers: Private Unaided,,0.5872876789,
Pupil-Teacher Ratio: Elementary,,0.135618226418,
% Female Teachers,,0.00862780721764,
% SC Teachers,,0.330170024548,
% ST Teachers,,0.623228424209,
% OBC Teachers,,0.840606377637,
% Teachers Recieved in-Service Training,,0.873537416305,
Enrolment: Classes I-V,,1.61497736089e-06,
Enrolment: Classes VI-VIII,,1.18769944183e-05,
"Enrolment: Classes I-V, Government",,1.08632391611e-05,
"Enrolment:Classes VI-VIII,8G0o.5vernment",,4.11141156723e-05,
"Enrolment: Classe4s3 I.-6V, Private",,1.37076001862e-05,
"Enrolment: Classes VI-VIII, Private",,2.98841767421e-05,
% Girls Enrolment: Primary8 L4e.4vel,,-0.0157507273413,
% Girls Enrolment:4 2U..9Primary Level,,-0.00323328675749,
Ratio of Girls Enr.to Boys: Primary,,-1.2198998304,
Ratio of Girls Enr.to Boys: U.Primary,,-0.638526019486,
% SC Enrolment: Classes I-VIII,,0.0280459332277,
% ST Enrolment: Classes  I8-V3.I5II,,-1.55252201534,
% OBC Enrolment: Primary Level,,0.0896676985493,
% OBC Enrolment:U.Primary Level,,0.19048038086,
% Muslim Enrolment: Prima80ry.4 Level,,-0.323743070474,
% Muslim Enrolme4n5t:. 8U. Primary Level,,-1.08426803081,
Ratio of Grade V to I,,0.00782233642843,
Avg. Repetition Rate: Primary Level,,-1.79321797688,
Avg.Repetition Rate: U.Primary Level,,-10.7870922872,
Avg. Drop-out Rate: Primary8 L5.e5vel,,-0.932350175425,
Retention Rate: Primary Level,,0.190779734677,
Student-Classroom Ratio,,0.0572271021219,
% Schools with Drinking Water,,-0.0090252206368,
% Schools with Common Toilet,,0.11201875667,
% Schools with Boys' Toilet,,-0.224932126487,
% Schools with Girls' Toilet,,-0.306807391761,
% Schools with Boundarywall,,0.0747012337585,
% School with Playground Facility,,0.235400981452,
% Schools with Ramp,,-0.242780684573,
% Schools havining Electricity,,0.654978582599,
% Schools with Computer,,-0.3742909171,
% Schools Providing Mid-day Meal*,,0.106577875188,
Number of Distric2t.9s Covered,,-2.9180077158e-13,
Total Schools,,0.00013032654483,
Total Government Schools,,0.000319032628427,
Total Private Schools,,0.00232536903243,
Ratio of Primary to U.Primar6y.8Sch./Sec.,,-2.01494541829,
Primary Sch./Sec.per 1000 Child Popln.,,-1.82253187873,
U.Prim. Sch./Sec.per 1000 Child Popln.,,2.9424452542,
% Single-Teacher Schools with Enr.≥15,,0.247000869444,
% Enrolment in Single-Teacher Schools,,-1.07097573754,
% Schools with En3ro.9lment ≤ 50,,-0.00720430291135,
% Schools with F2e.9male Teachers,,0.211752708265,
