name,index,value,stderr
(intercept),,21.9910539756,
Total Teachers (Elementary),,2.19238427896e-06,
% Teachers: Government,,0.0558626377406,
% Teachers: Private Aided,,1.51576106072,
% Teachers: Private Unaided,,0.428317980153,
Pupil-Teacher Ratio: Elementary,,-0.0510514816604,
% Female Teachers,,0.0350798007535,
% SC Teachers,,0.22915563667,
% ST Teachers,,1.00452436299,
% OBC Teachers,,0.506422431028,
% Teachers Recieved in-Service Training,,-0.0712073768658,
Enrolment: Classes I-V,,-4.26115255715e-08,
Enrolment: Classes VI-VIII,,2.00989000955e-07,
"Enrolment: Classes I-V, Government",,5.27493978291e-07,
"Enrolment:Classes VI-VIII,7G8.o5vernment",,1.16624568505e-06,
"Enrolment: C1la8s.8ses I-V, Private",,4.44218526226e-06,
"Enrolment: Classes VI-VIII, Private",,1.35974891573e-05,
% Girls Enrolment: P5r3im.2ary Level,,-0.00227095382618,
% Girls Enrol1m9e.1nt: U.Primary Level,,0.00130338217276,
Ratio of Girls Enr.to Boys: Primary,,-0.238427535937,
Ratio of Girls Enr.to Boys: U.Primary,,0.0614825978746,
% SC Enrolment: Classes I-VIII,,-0.00143302549077,
% ST Enrolment: Cla5s2s.e5s  I-VIII,,0.0512993198244,
% OBC Enrolment: Primary Level,,0.234063591799,
% OBC Enrolment:U.Primary Level,,0.149268030424,
% Muslim Enrolment5: 1P.6rimary Level,,0.152130973558,
% Muslim En1ro9.lm5 ent: U. Primary Level,,0.153534829793,
Ratio of Grade V to I,,-0.0203828048379,
Avg. Repetition Rate: Primary Level,,-0.630086199812,
Avg.Repetition Rate: U.Primary Level,,0.442461502542,
Avg. Drop-out Rate: 5P0r.i9mary Level,,-0.328920140588,
Retention Rate: Primary Level,,0.00616161663749,
Student-Classroom Ratio,,-0.0479212894437,
% Schools with Drinking Water,,0.000748444308589,
% Schools with Common Toilet,,0.0072575084685,
% Schools with Boys' Toilet,,0.0430369953993,
% Schools with Girls' Toilet,,-0.0202069809834,
% Schools with Boundarywall,,-0.052323315701,
% School with Playground Facility,,0.177205838067,
% Schools with Ramp,,0.0262975010952,
% Schools havining Electricity,,-0.0509438156236,
% Schools with Computer,,0.214149392549,
Number of Districts 4C.0overed,,0.0165640014576,
Total Schools,,1.27730333875e-05,
Total Government Schools,,5.56938180711e-05,
Total Private Schools,,0.000498059240314,
Ratio of Primary to U.P5r.i0marySch./Sec.,,0.184545903316,
Primary Sch./Sec.per 1000 Child Popln.,,0.496836830819,
U.Prim. Sch./Sec.per 1000 Child Popln.,,-1.06665583246,
% Single-Teacher Schools with Enr.≥15,,-1.13096617048,
% Enrolment in Single-Teacher Schools,,-1.46932754829,
% Schools with Enro4l.m3 ent ≤ 50,,0.141129497664,
% Schools with Fem4a.1le Teachers,,0.0134406628499,
