indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),2967,3715,3837,4947,5282,5374,5228,5263,5257,5346
% Teachers: Government,-,87.7,85.7,85.7,83.8,83.5,81.2,81.4,82.7,81.4
% Teachers: Private Aided,-,1.6,1.7,1.4,1.5,1.3,1.4,1.4,1.3,1.4
% Teachers: Private Unaided,-,10.7,12.6,12.9,14.1,15,17.4,17.2,16,17.2
Pupil-Teacher Ratio: Elementary,16,15,15,11,10,10,10,10,10,9
% Female Teachers,52.3,57.3,59.2,58.2,58.7,59.8,61.2,61.7,61.4,62.5
% SC Teachers,-,0.4,0.3,0.5,0.6,0,0.2,0.3,0.2,0.4
% ST Teachers,-,7.2,7.6,7.1,7.4,7.4,7.8,7.4,7.3,7
% OBC Teachers,-,3.6,6.2,10.2,12.3,14.3,15.2,16.4,19.3,20.8
% Teachers Recieved in-Service Training,21.3,16.9,15.1,29.9,22.8,25.9,34.7,17.6,8,6
% Contract Teachers to Total Teachers,1.1,1.1,1.5,3.1,4.5,13.3,-,-,12.7,12.3
Enrolment: Classes I-V,29453,35963,34178,34242,32224,32423,32233,31987,31625,31406
Enrolment: Classes VI-VIII,18845,21540,22488,22323,21129,20909,20164,19716,19202,18707
"Enrolment: Classes I-V, Government",-,29892,27463,27148,24926,24652,23819,23441,22772,22174
"Enrolment:Classes VI-VIII,Gov9e8rn.9ment",-,19100,19835,19555,18156,17685,16650,16074,15463,14997
"Enrolment: Classes I-V, Priv8a3.t9e",-,6071,6715,7094,7298,7771,8414,8546,8853,9232
"Enrolment: Classes VI-VIII, Private",-,2440,2653,2768,2973,3168,3514,3642,3739,3710
% Girls Enrolment: Primary Le9v7e.l6,49.1,48.8,49,48.7,48.8,48.9,48.6,48.9,49.2,49.1
% Girls Enrolment: U.Primary9 0L.e8vel,46.9,47.5,47.5,48,48.4,48.3,48.9,48.6,48.7,49.1
Ratio of Girls Enr.to Boys: Primary,0.97,0.95,0.96,0.95,0.95,0.96,0.95,0.96,0.97,0.96
Ratio of Girls Enr.to Boys: U.Primary,0.88,0.9,0.9,0.92,0.94,0.93,0.96,0.94,0.95,0.96
% SC Enrolment: Classes I-VIII,0,0,0.1,0,0.4,0.4,0,0,0,0
% ST Enrolment: Classes  I-VII9I 9.0,8.1,7,7.4,7.4,7.5,7.4,7.4,8,8.3,8.5
% OBC Enrolment: Primary Level,0,0.7,3.5,4.2,6,9.3,13.7,16.9,18.2,20.3
% OBC Enrolment:U.Primary Level,0,0.6,2.8,4.6,6.7,10.9,15.2,18.2,19.2,21.5
% Muslim Enrolment: Primary L9e9v.3el,-,1.5,3.1,7,7.9,8.1,8.6,8.5,8.9,9.2
% Muslim Enrolment: U. Prim9a4ry.3 Level,-,1.3,3,5.8,6.6,6.9,7.5,8.2,8.5,8.5
Ratio of Grade V to I,-,-,-,-,-,-,-,100,98,-
Avg. Repetition Rate: Primary Level,-,1.8,0.5,1.7,2.8,1.2,0.4,0.8,0.3,0.3
Avg.Repetition Rate: U.Primary Level,-,4.5,1.1,3.8,1.3,0.4,0.2,0.5,0.3,0.2
Avg. Drop-out Rate: Primary Level,-,-,-,1.5,3.5,-,-,0.7,1.2,0.5
Retention Rate: Primary Level,-,-,-,84.4,-,92.7,98.1,93.8,-,96.2
Transition Rate: Primary to U.Primary,-,-,-,-,97.2,-,99.9,98.4,98.7,-
Student-Classroom Ratio,22,19,19,17,16,15,19,19,19,18
% Schools with Drinking Water,81.9,98.1,98.6,91.4,95.8,97,98.2,98.7,99.5,100
% Schools with Common Toilet,35.9,84.4,95.6,29.7,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,84.5,68.5,86.7,74,95.4,100,100
% Schools with Girls' Toilet,63.8,73.8,81.7,88.8,73.9,82,91.1,93.2,100,100
% Schools with Boundarywall,41.1,47.6,48.6,51.8,48.5,48.6,49,57.9,65.9,70.2
% School with Playground Facility,-,-,-,60.9,56.9,57.7,55,57.5,57.6,58.1
% Schools with Ramp,5.6,8.6,7.2,17.3,25.1,22,36.7,39.8,47.8,51.8
% Schools havining Electricity,-,-,87.5,84.3,86.2,86.2,86.7,87.2,88.8,90
% Schools with Computer,17.4,41.2,47.5,55.3,60.8,59.4,52.8,52.6,56.8,56.6
% Schools Providing Mid-day Meal*,-,-,-,94.4,89.9,94.3,92.1,94.9,97.1,97.4
Number of Districts Covered,2,3,3,3,3,3,3,3,3,3
Total Schools,287,359,360,394,406,428,451,454,410,410
Total Government Schools,-,317,313,322,324,330,340,348,340,340
Total Private Schools,-,42,46,72,82,98,111,106,70,70
Ratio of Primary to U.Primary7S.c4h./Sec.,2.2,2.1,2.1,2.4,1.4,1.8,2.5,2.4,2.1,2
Primary Sch./Sec.per 1000 Child Popln.,6,8,6,9,7,8,11,13,11,11
U.Prim. Sch./Sec.per 1000 Child Popln.,5,6,8,6,8,7,7,8,9,9
% Single-Teacher Schools with Enr.≥15,3.8,0,0,1.8,2.2,0.7,3.3,2.4,1,1
% Enrolment in Single-Teacher Schools,0.7,0,0.3,0.4,0.6,0.3,0,1,0.4,0.4
% Schools with Enrolmen6t .1≤ 50,34.5,38.4,39.7,44.4,47.8,48.4,52.3,51.1,45.9,45.9
% Schools with Female T6e.a0chers,84.7,85.8,100,89.3,88.9,87.4,90.5,90.1,84.8,84.7
