indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),462869,518881,508004,501819,572976,575920,519749,540634,300566,276900
% Teachers: Government,-,64.2,62.7,62.1,60.2,60,57.9,57.8,61.8,65.8
% Teachers: Private Aided,-,3.8,3.7,3.5,3,2.8,2.7,2.4,2.8,2.9
% Teachers: Private Unaided,-,32,33.6,34.4,32.1,33,35.9,37.9,33.8,30.5
Pupil-Teacher Ratio: Elementary,24,21,21,22,20,20,21,21,20,20
% Female Teachers,42.5,44.9,45.4,45.7,46.9,47,47.3,48.2,47.5,47.2
% SC Teachers,-,12.9,12.9,13.3,14.4,14.3,13.7,13.7,15.8,16.3
% ST Teachers,-,6.4,6.5,6.7,6.8,7,6,6.3,6,6.2
% OBC Teachers,-,38.5,38.5,39.3,40.1,41.1,41.5,42.2,40.9,41.5
% Teachers Recieved in-Service Training,45.9,37.8,32.7,27,25.6,32.4,28.7,19.1,25.2,11.2
Enrolment: Classes I-V,7391922,7250479,7206168,7229193,7540821,7440000,7243392,7218831,3814756,3546688
Enrolment: Classes VI-VIII,3731018,3787907,3704195,3622055,3731242,3811101,3854222,3870384,2119640,2064622
"Enrolment: Classes I-V, Government",-,4451204,4292908,4182153,4060278,3970814,3796073,3735160,2070455,1860015
"Enrolment:Classes VI-VIII,Go8v9.e6rnment",-,2370238,2227930,2128836,2130832,2161044,2198441,2232461,1298080,1268666
"Enrolment: Classe4s1 .I3-V, Private",-,2799275,2913260,3047040,3126348,3138613,3142522,3331215,1678591,1654469
"Enrolment: Classes VI-VIII, Private",-,1417669,1476265,1493219,1514086,1554267,1574552,1603631,800445,786735
% Girls Enrolment: Primary Le9v4e.6l,49.4,49.3,49.4,49.2,48.8,48.8,48.6,48.5,48.4,48.2
% Girls Enrolment: 4U7..P1rimary Level,47.8,48.6,48.9,49.1,49.1,49.4,49.4,49.1,48.6,48.6
Ratio of Girls Enr.to Boys: Primary,0.98,0.97,0.97,0.97,0.95,0.95,0.95,0.94,0.94,0.93
Ratio of Girls Enr.to Boys: U.Primary,0.91,0.94,0.96,0.96,0.96,0.98,0.97,0.96,0.95,0.94
% SC Enrolment: Classes I-VIII,19.3,18.9,18.6,18.5,18.5,18.8,18.9,18.8,20,19.9
% ST Enrolment: Classes  I-VI9II5.6,9.4,9.6,9.6,9.8,9.8,9.9,10,9.8,7.5,7.2
% OBC Enrolment: Primary Level,48,45.4,45.2,45.1,45.1,46.1,46.4,46.9,48.1,50.3
% OBC Enrolment:U.Primary Level,47.8,46.1,46,46.1,46.5,47.3,47.6,47.9,48.3,50.1
% Muslim Enrolment: Primary 9L6e.v3el,-,10.5,10.8,9,9.7,10.1,10.3,10.3,7.8,8.1
% Muslim Enrolment: U. Pr8im3.a8ry Level,-,9.5,10.1,8.1,8.6,8.7,9,9,6.8,7.2
Ratio of Grade V to I,90,83,83,85,86,86,88,92,100,-
Avg.Repetition Rate: Primary Level,5.2,2.6,2.2,1.4,1.2,0.6,0.5,0.1,0,0
Avg.Repetition Rate: U.Primary Level,-,1,0.8,0.3,0.6,0.4,0.4,0.1,0,0
Avg. Drop-out Rate: Primary Level,9.6,6.9,4.8,5.8,5.4,6.2,5.7,3.2,4.4,6.7
Avg. Drop-out Rate: U.Primary Level,-,-,-,-,6.83,4.79,3.36,3.78,5.2,-
Avg. Drop-out Rate: Secondary Level,-,-,-,-,-,-,12.72,12.65,15.71,-
Retention Rate: Primary Level,-,85.3,84,84.2,82.8,85.3,84.8,86.7,87.7,84
Transition Rate: Primary to U.Primary,-,90.5,93.5,93.9,96.5,93.3,93.9,95.9,93.3,91
Student-Classroom Ratio,29,26,25,24,23,23,22,22,22,21
% Schools with Drinking Water,77.6,90,85.6,91.8,90.5,89,89.1,90.1,93.6,95.3
% Schools with Common Toilet,57,61.3,61.5,74.3,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,8.6,14.5,74.6,20.2,87.1,98.3,99.7
% Schools with Girls' Toilet,40.5,46.8,47.1,66.7,59.5,61.4,73.5,57.1,68.1,99.7
% Schools with Boundarywall,51.1,52.6,52.5,53.9,56.1,57.2,58.7,61,59,61.6
% School with Playground Facility,-,-,-,56.5,56.6,57.5,57.5,57,54.2,54.7
% Schools with Ramp,7.7,10.8,12,14.2,15.9,19.6,71.1,69.1,57,67.2
% Schools havining Electricity,-,-,37.3,45,67.1,81.8,85.9,88.3,92.7,93.4
% Schools with Computer,15.7,21.1,22.7,23.8,25.6,27.1,28.6,30,27.6,29.4
% Schools Providing Mid-day Meal*,-,-,-,92,95,95.9,95.9,-,97.6,97.6
Number of Distric2t.9s Covered,23,23,23,23,23,23,23,23,13,13
Total Schools,94984,100449,101303,102798,107597,108045,107107,105195,61915,60435
Total Government Schools,-,79324,79550,79813,79358,78673,77046,75089,46164,44399
Total Private Schools,-,21125,21753,22985,24472,26098,27052,28404,14959,15515
Ratio of Primary to U.PrimarySch./Sec.,2.4,2.4,2.6,2.5,2.4,2.4,2.3,2.2,2.5,2.3
