indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),207347,328581,338478,332834,344688,354328,361466,419631,451485,467877
% Teachers: Government,-,98.1,99.9,100,97.2,97.9,96.7,86.9,86.5,82.4
% Teachers: Private Aided,-,1.7,0,0,0,0.1,0.1,0.4,0.4,0.3
% Teachers: Private Unaided,-,0.3,0.1,0,0.6,0.1,1.3,3.8,5.2,8.1
Pupil-Teacher Ratio: Elementary,65,54,55,57,58,59,53,51,49,50
% Female Teachers,26.2,36.5,37.1,37.6,38.5,39.9,39.6,40,36.7,35.1
% SC Teachers,-,14.7,14.9,15.1,15.1,15.1,14.6,13.1,12.2,11.7
% ST Teachers,-,4.5,3.9,3.8,3.9,3.6,3.4,2.8,2.3,1.8
% OBC Teachers,-,45,45.5,45.7,45.8,47.3,47.3,47.6,46.9,45.6
% Teachers Recieved in-Service Training,40.4,44.5,20.4,11.1,8,30.7,13.6,14.1,15.4,19.5
% Contract Teachers to Total Teachers,33.6,7.2,7.1,6.9,9.6,0.2,-,-,22.5,15.7
Enrolment: Classes I-V,11233588,14629233,15233293,15156710,15646438,15882000,14031263,15020755,15340469,16170088
Enrolment: Classes VI-VIII,2163453,3033572,3475996,3850783,4328264,4970093,5261688,6218202,6792648,7261697
"Enrolment: Classes I-V, Government",-,14404648,15204831,15152401,15368913,15596685,13744839,14024944,14011809,14832202
"Enrolment:Classe4s0 V.9I-VIII,Government",-,2945039,3470283,3847929,4195801,4818072,5083788,5828608,6254280,6715807
"Enrolment: Class3e3.s5 I-V, Private",-,224585,28462,4254,60527,80647,81520,343593,496954,606494
"Enrolment: Classes VI-VIII, Private",-,88533,5713,2854,37199,55548,79801,155772,248720,289321
% Girls Enrolment: 4P9r.im5 ary Level,44.4,46.6,47.5,47.8,48.5,49.3,49.8,49.5,49.4,49.4
% Girls Enrolmen34t:. 4U.Primary Level,38.9,43,45.2,46.4,47.7,48.8,50.5,50.5,50.6,50.6
Ratio of Girls Enr.to Boys: Primary,0.8,0.87,0.9,0.92,0.94,0.97,0.99,0.98,0.98,0.98
Ratio of Girls Enr.to Boys: U.Primary,0.64,0.76,0.82,0.87,0.91,0.95,1.02,1.02,1.02,1.02
% SC Enrolment: Classes I-VIII,15.4,16.9,17.4,18.6,18.3,18.8,19.3,19.1,19.1,19.8
% ST Enrolment: Cl4a6s.9ses  I-VIII,1.3,2.3,2.3,1.9,2,2.1,2.1,1.8,1.8,1.8
% OBC Enrolment: Primary Level,62.1,59.3,60.2,61,62.6,63.7,63.4,65.1,64.8,64.7
% OBC Enrolment:U.Primary Level,58.1,60.3,62,62.6,65.3,65.9,65.3,66.1,65.7,65.6
% Muslim Enrolmen4t6: .P1 rimary Level,-,11.3,13,13.8,14.4,15.2,15.1,15.6,16.1,16.7
% Muslim Enrolme4n6t:. 5U. Primary Level,-,8.2,10.4,12.2,12.6,13.2,13.2,13.3,13.4,13.7
Ratio of Grade V to I,46,40,49,58,69,86,94,92,98,93
Avg. Repetition Rate: Primary Level,13.5,7.2,6.7,3.9,10,6.7,2.9,1.6,1,0.8
Avg.Repetition Rate: U.Primary Level,-,4.1,2.1,0.8,4.4,3,1.4,0.7,0.5,0.3
Avg. Drop-out Rate: Primary Level,11.4,13.8,12,13.4,6.4,5.7,15.3,-,2.1,-
Avg. Drop-out Rate: U.Primary 1evel,-,-,-,-,2.91,10.55,-,2.98,4.08,-
Avg. Drop-out Rate: Secondary 1evel,-,-,-,-,-,-,30.14,25.33,25.9,-
Retention Rate: Primary Level,-,53.4,56.1,63.6,66.5,58.7,62.3,74.6,82.9,93.2
Transition Rate: Primary to U.Primary,-,62.9,70.7,71,73.5,76.4,71.7,86.2,82.6,85
Student-Classroom Ratio,92,96,96,89,83,79,65,57,52,51
% Schools with Drinking Water,87.7,80.6,85.3,92.6,91.9,93,93.5,92.3,92.5,94.2
% Schools with Common Toilet,34.9,48.5,57.2,48.2,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,17.4,22.4,70.3,71.5,80.1,79.8,89
% Schools with Girls' Toilet,11.8,21.6,26.1,37.7,37.4,52.2,76.8,70.2,71.2,89.9
% Schools with Boundarywall,32.7,28.1,33.2,39.1,44.6,52.7,52.4,52.9,53.8,53.4
% School with Playground Facility,-,-,-,31,31.4,32.2,32.9,34.2,35,35.3
% Schools with Ramp,11.7,20.6,29.3,38.7,47.4,57.5,83.6,82.4,66.3,86.7
% Schools havining Electricity,-,-,3.5,3.9,4.3,4.6,4.8,8.1,24.2,36.7
% Schools with Computer,2.4,0.6,0.7,0.9,1.2,1.5,1.7,4.5,6.7,7.6
% Schools Providing Mid-day Meal*,-,-,-,72.3,84.9,92.5,93.8,95.5,96.2,96.5
Number of Dist3r.i4cts Covered,37,37,37,37,38,38,38,38,38,38
Total Schools,53778,67874,67749,67656,69379,70501,71484,76596,79196,80166
Total Government Schools,-,66627,67649,67618,67926,69364,69911,70673,71140,71411
Total Private Schools,-,1238,93,14,397,86,429,1698,2899,3477
Ratio of Primary to U.PrimarySch./Sec.,3.2,3.7,3.4,2.8,2.5,2.4,2.3,2.2,2.2,2.2
Primary Sch./Sec.per 1000 Child Popln.,4,6,3,6,6,6,6,5,5,5
U.Prim. Sch./Sec.per 1000 Child Popln.,2,3,6,3,4,4,4,5,5,5
% Single-Teacher Schools with Enr.≥15,7.7,6.3,4.8,5.4,4.5,3.6,7,7,4.8,4.2
% Enrolment in Single-Teacher Schools,5.2,3.3,2.8,2.9,2.4,1.9,3.4,3.5,2.2,2
% Schools with E4n.8rolment ≤ 50,5.8,5.1,3.5,3.5,3,2.6,2.6,2.5,3.2,3.7
% Schools with F4e.5male Teachers,60.3,79.1,80.2,80.6,81.9,83.8,85.3,86,81.5,79.2
