indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),4862,5519,5762,4922,6179,5462,7524,8555,8553,9309
% Teachers: Government,-,60.5,61.5,60.3,45.5,50.9,55,56.7,55.8,58.4
% Teachers: Private Aided,-,2.7,2.6,2.2,6.2,3.3,3.2,3,2.9,3.1
% Teachers: Private Unaided,-,36.8,36,37.5,33.9,42.1,41.8,40.3,40.8,37.7
Pupil-Teacher Ratio: Elementary,24,24,25,29,24,29,21,19,19,17
% Female Teachers,83.1,81.3,80.9,83.3,82.6,81.8,82.8,80.9,81,78.9
% SC Teachers,-,7.9,8.2,8.3,6.3,8,7.3,7.7,8,8.7
% ST Teachers,-,0.2,0.3,0.2,0.2,0.2,0.2,0.6,0.5,0.6
% OBC Teachers,-,4.2,5.2,5.2,4,5.6,5.5,7.1,7.4,9
% Teachers Recieved in-Service Training,14.5,15,23.9,15.6,0.7,16.6,15.2,13.8,6.1,8.7
% Contract Teachers to Total Teachers,1.3,1.5,16.9,20.8,18.3,17.8,-,-,28.2,25.4
Enrolment: Classes I-V,76279,86250,89729,89871,93786,98214,96729,97524,96367,93230
Enrolment: Classes VI-VIII,42777,48461,51473,52474,55216,58655,62163,63661,64376,64691
"Enrolment: Classes I-V, Government",-,60845,63475,62823,65702,64038,64643,64122,61972,57920
"Enrolment:Classes VI-VIII,Gove99rn.9ment",-,32951,35550,36421,38742,38500,43189,44090,44519,43964
"Enrolment: Classes I-V, Privat1e00.0",-,25405,26254,27048,28069,31038,32086,33402,34001,34507
"Enrolment: Classes VI-VIII, Private",-,15510,15923,16053,16474,18003,18974,19571,19734,20533
% Girls Enrolment: Primary Le9v8e.l8,45.5,44.7,45,45.5,45.9,46.5,46.8,46.8,46.6,46.7
% Girls Enrolment: U.Primary L9e9.v6el,46.4,44.6,44.8,44.4,44.1,43.9,44.2,44.2,45.2,45.7
Ratio of Girls Enr.to Boys: Primary,0.83,0.81,0.82,0.84,0.85,0.87,0.88,0.88,0.87,0.88
Ratio of Girls Enr.to Boys: U.Primary,0.86,0.81,0.81,0.8,0.79,0.78,0.79,0.79,0.82,0.84
% SC Enrolment: Classes I-VIII,12.9,10.6,9.3,10.1,10.3,10.4,8.9,10.2,9.9,9.5
% ST Enrolment: Classes  I-VII9I 9.4,0.1,0.1,0.1,0.2,0.1,0.1,0,0.2,0.2,0.2
% OBC Enrolment: Primary Level,1.7,1.3,1,1.2,1.3,1.4,1.1,1.5,1.6,1.7
% OBC Enrolment:U.Primary Level,0.9,1,0.8,1.5,1.7,1.7,1.3,2,2.3,2.3
% Muslim Enrolment: Primary 9L8e.v8el,-,3.8,4.7,5.3,5.2,5.1,3.2,5.2,5.5,5.7
% Muslim Enrolment: U. Prima9r7y. 4Level,-,2.8,3.7,4.1,4.6,4.6,2.6,5.2,5.5,5.7
Ratio of Grade V to I,96,94,-,-,-,-,-,-,-,-
Avg. Repetition Rate: Primary Level,2.9,2.4,2.8,2.1,1.4,0.3,0.1,0.1,0.2,0.2
Avg.Repetition Rate: U.Primary Level,-,3.4,9.3,7.8,3.2,0.3,0.1,0.1,0.2,0.1
Avg. Drop-out Rate: Primary Level,-,29.5,-,-,-,-,-,-,-,-
Avg. Drop-out Rate: U.Primary 1evel,-,-,-,-,-,-,0.1,1.08,0.44,-
Avg. Drop-out Rate: Secondary 1evel,-,-,-,-,-,-,-,-,-,-
Retention Rate: Primary Level,-,-,-,-,-,-,-,-,-,-
Transition Rate: Primary to U.Primary,-,97.4,-,97.5,-,-,-,-,-,-
Student-Classroom Ratio,27,28,30,40,43,41,43,42,40,39
% Schools with Drinking Water,99.5,100,100,100,100,100,100,100,100,100
% Schools with Common Toilet,36.2,38.1,40.1,32.4,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,93.2,92.9,100,100,100,100,100
% Schools with Girls' Toilet,89.2,94.9,94.9,97.2,95.1,100,100,100,100,100
% Schools with Boundarywall,97.3,100,99.4,99.4,100,100,98.9,99.5,100,100
% School with Playground Facility,-,-,-,98.3,95.1,94.7,95.2,93.8,92.9,93
% Schools with Ramp,28.7,35.2,39,43.2,43.5,46.5,97.6,95.2,87.6,88.7
% Schools havining Electricity,-,-,100,100,100,100,100,100,100,100
% Schools with Computer,71.4,76.1,85.9,90.3,93.5,94.7,96.3,95.8,95.4,94.5
% Schools Providing Mid-day Meal*,-,-,-,87.4,88.6,93.2,94,95,95,95.1
Number of Districts Cove16re.6d,1,1,1,1,1,1,1,1,1,1
Total Schools,185,176,177,176,184,187,188,192,197,201
Total Government Schools,-,110,112,112,114,111,110,112,113,115
Total Private Schools,-,66,65,64,68,76,78,80,80,80
Ratio of Primary to U.PrimarySch./Sec.,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1,1,1
Primary Sch./Sec.per 1000 Child Popln.,2,2,2,2,2,2,2,2,2,2
U.Prim. Sch./Sec.per 1000 Child Popln.,2,2,2,3,3,3,3,3,3,3
% Single-Teacher Schools with Enr.≥15,0,0,0,0,0,0,0,0,0,0
% Enrolment in Single-Teacher Schools,0,0,0,0,0,0,0,0,0,0
% Schools with Enrolment 2≤0 5.00,4.9,1.7,1.1,1.1,3.8,2.1,1.1,1,1,0.5
% Schools with Female Te1a8c.h9ers,98.9,100,99.4,99.4,97.3,100,100,100,100,100
