indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),963,1379,1428,1441,1468,1505,1879,1977,2042,2411
% Teachers: Government,-,85.1,82.7,82.6,77.5,74.2,68.9,65.2,62.5,65.3
% Teachers: Private Aided,-,4.4,3.4,3.2,3.3,3.9,3.8,3.9,3.9,3.3
% Teachers: Private Unaided,-,10.5,13.9,14.2,18.2,21.1,27.4,30.9,33.6,30.7
Pupil-Teacher Ratio: Elementary,41,36,36,36,40,40,31,30,29,24
% Female Teachers,51.5,55.6,57,56.9,58.6,59.4,62.2,62.6,63.5,63.2
% SC Teachers,-,6.2,5,5.2,5.5,5.8,6.4,4.8,4.4,4.7
% ST Teachers,-,52.1,51.8,52.5,50.2,51.8,46.5,46.7,45.3,46.9
% OBC Teachers,-,4.2,5,4.8,4.7,5.1,5.2,5.3,5,5.5
% Teachers Recieved in-Service Training,1.8,77.1,80.7,80.5,54.1,41.5,55.9,60.9,58.2,62.6
Enrolment: Classes I-V,31851,39779,40080,39826,39896,39381,35883,35822,35358,36196
Enrolment: Classes VI-VIII,7351,10248,11336,12464,19168,20613,22184,22971,22839,22778
"Enrolment: Classes I-V, Government",-,34291,34185,33422,32757,31254,26569,24960,23755,23905
"Enrolment:Classes VI-VIII,Go9v3e.r8nment",-,8822,9751,10595,16357,17281,18723,19114,18448,17850
"Enrolment: Classes I-V, Privat1e00.0",-,5488,5895,6404,7139,7707,9314,10862,11578,12144
"Enrolment: Classes VI-VIII, Private",-,1426,1585,1869,2811,3078,3461,3857,4391,4928
% Girls Enrolment: Primary Le9v6e.1l,47,47.7,47.7,47.7,47.2,47.2,47.1,46.6,46.7,46.9
% Girls Enrolment: U.Primary 1L0e0v.0el,40.7,43,44,44.6,45.4,46.1,46.1,46.2,46.1,46.5
Ratio of Girls Enr.to Boys: Primary,0.89,0.91,0.91,0.91,0.89,0.89,0.89,0.87,0.88,0.88
Ratio of Girls Enr.to Boys: U.Primary,0.69,0.76,0.79,0.81,0.83,0.86,0.85,0.86,0.86,0.87
% SC Enrolment: Classes I-VIII,3.5,2.4,1.9,1.8,2.4,2.3,2,2,2.5,2.2
% ST Enrolment: Classes  I-VI9I4I .4,69.5,71,70.4,69.7,67.8,67.2,63.7,60,57.5,56.1
% OBC Enrolment: Primary Level,0.8,0.8,0.9,0.7,1.2,1.3,2.1,3.2,2.6,3.5
% OBC Enrolment:U.Primary Level,0.9,1.5,1.2,0.7,1.3,1.5,1.4,1.6,1.9,2.4
% Muslim Enrolment: Primary9 L3e.1vel,-,-,-,3.4,2.9,3.2,3.4,3.2,3.7,3.7
% Muslim0. 0Enrolment: U. Primary Level,-,-,-,2.7,2.8,3.2,3,2.5,3.1,3.2
Ratio of Grade V to I,55,77,81,97,95,98,-,98,-,87
Avg. Repetition Rate: Primary Level,-,18.4,12.2,7.9,5.8,4.3,1.9,1.4,1.2,0.9
Avg.Repetition Rate: U.Primary Level,-,10.9,7.2,3.6,3.2,2.5,2.5,0.8,1,0.9
Avg. Drop-out Rate: Primary Level,-,-,4.5,2.8,2,2.5,-,-,1.6,1.5
Avg. Drop-out Rate: U.Primary Level,-,-,-,-,-,-,-,-,-,-
Avg. Drop-out Rate: Secondary Level,-,-,-,-,-,-,-,-,-,-
Retention Rate: Primary Level,-,-,85.5,82.4,82.9,88.8,91.2,96,93.3,96.9
Transition Rate: Primary to U.Primary,-,90.3,87.4,91.4,96.2,96.2,96.4,98.2,96.7,98
Student-Classroom Ratio,45,41,39,39,45,40,35,36,34,32
% Schools with Drinking Water,87.3,91.1,93.8,96.3,96.3,98.7,99.4,100,100,100
% Schools with Common Toilet,29.4,32.2,42.2,21.6,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,52.4,55.6,75.8,64,96.2,99.4,100
% Schools with Girls' Toilet,28.1,25.3,32.8,51.7,54.9,64,71.8,84.3,94.7,100
% Schools with Boundarywall,56.6,42.1,43.2,38.9,39.4,40.6,43.8,42.6,46.9,56.4
% School with Playground Facility,-,-,-,36.2,35,29.7,36.2,37.9,40.9,43.7
% Schools with Ramp,1.3,3,6.2,27.4,24.2,20.8,66.7,96.6,99.1,99.1
% Schools havining Electricity,-,-,74.4,75.7,76.4,81.9,92.7,95.3,98.4,100
% Schools with Computer,4.4,5.9,4.2,9.5,11.8,27.7,32.7,35.7,36.9,39.3
% Schools Providing Mid-day Meal*,-,-,-,99.3,98.6,99.7,98.6,99,98.6,98.6
Number of Distr4ic.0ts Covered,1,1,1,1,1,1,1,1,1,1
Total Schools,228,304,308,296,297,303,315,319,320,323
Total Government Schools,-,272,274,273,273,275,275,275,275,275
Total Private Schools,-,19,21,23,24,28,40,44,44,44
Ratio of Primary to U.PrimarySch./Sec.,2.4,2.5,2.4,2.4,2.4,3,2.3,2.3,2.2,2.2
Primary Sch./Sec.per 1000 Child Popln.,8,11,8,12,12,27,28,8,7,7
U.Prim. Sch./Sec.per 1000 Child Popln.,6,7,12,8,8,15,19,6,6,6
% Single-Teacher Schools with Enr.≥15,14,20.7,20.8,18.6,20.9,23.1,14,15.1,14.4,1.2
% Enrolment in Single-Teacher Schools,4.4,4.4,5.1,4.1,4.7,4.8,3,3.2,2.9,0.2
% Schools with E5n.r1olment ≤ 50,17.5,30.3,29.2,28.4,28.3,29.7,31.4,31.4,34.7,33.8
% Schools with F4e.5male Teachers,76.8,84.9,84.7,82.8,84.2,85.5,85.4,86.8,83.6,85.5
