indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),481,696,747,838,880,819,1000,1193,1174,1163
% Teachers: Government,-,75,73.8,63,56.1,51.8,55.1,55,55,54.3
% Teachers: Private Aided,-,2.2,10.7,11.8,10.2,9,10.2,13.8,12.5,12.6
% Teachers: Private Unaided,-,16.4,15.5,25.2,29.9,33.6,28.1,31.2,32.5,33.2
Pupil-Teacher Ratio: Elementary,34,30,34,31,30,32,27,24,24,24
% Female Teachers,73.4,63.2,65.2,67.5,70.9,72.9,69.7,65.4,69.5,68.4
% SC Teachers,-,7.9,6.6,7.3,7.4,8.3,7.8,8.1,8.7,9
% ST Teachers,-,5.8,4,4.7,4.6,5,4.7,6,6.4,8.5
% OBC Teachers,-,29,42.7,41.1,42.6,41.8,43.7,44,44,42.8
% Teachers Recieved in-Service Training,18,26.7,24.7,50.6,48.9,50.3,30.1,24.4,22.7,30.7
% Contract Teachers to Total Teachers,0.7,3.1,0.6,6,17.6,15.9,-,-,21.3,31.5
Enrolment: Classes I-V,15828,14229,16330,17472,17026,17122,17337,18152,18159,18145
Enrolment: Classes VI-VIII,8335,6367,8830,8963,9117,9337,9421,10009,9998,9833
"Enrolment: Classes I-V, Government",-,10719,11457,10349,9722,9468,9923,9330,9249,9214
"Enrolment:Classes VI-VIII,Go9v2e.0rnment",-,5182,6341,5686,5892,5491,5989,5938,5915,5689
"Enrolment: Classes I-V, Privat1e00.0",-,2666,4873,7123,7304,7506,7414,8822,8910,8931
"Enrolment: Classes VI-VIII, Private",-,880,2489,3277,3225,3598,3432,4071,4083,4144
% Girls Enrolment: Primary L9e0v.5el,46.3,46.7,46.5,46.3,46.6,46.5,45.9,45.7,45.7,46.2
% Girls Enrolment: U.P60ri.m0 ary Level,46.1,44.2,49.6,47,47.6,46.2,45.9,46.2,46.3,46.9
Ratio of Girls Enr.to Boys: Primary,0.86,0.88,0.87,0.86,0.87,0.87,0.85,0.84,0.84,0.86
Ratio of Girls Enr.to Boys: U.Primary,0.86,0.79,0.98,0.88,0.91,0.86,0.85,0.86,0.86,0.88
% SC Enrolment: Classes I-VIII,4.3,4.7,4.5,4.3,4.3,3.7,3.3,3.6,3.4,3.3
% ST Enrolment: Classes  I-V9II3I .6,12,12.9,12,11.5,10.9,10.6,11.3,9.4,9.2,9.1
% OBC Enrolment: Primary Level,0.8,33.7,40.2,41,39.1,35.5,36.5,32.4,30.8,29.2
% OBC Enrolment:U.Primary Level,2.2,28.2,45.3,52.1,52.6,47.4,47.3,41.8,38.4,36.4
% Muslim Enrolment: Primary9 L3e.7vel,-,3.9,8.3,9,9.2,9.5,9.9,9.8,9.7,10
% Muslim Enrolment: U. Prim1a0ry0 .L0evel,-,2.3,6.5,7.3,8,8.8,8.8,9.1,7.9,9.4
Ratio of Grade V to I,91,97,87,88,93,90,92,-,98,99
Avg. Repetition Rate: Primary Level,-,11,10.7,6,0,0.1,0,1,0.2,0
Avg.Repetition Rate: U.Primary Level,-,6.5,4.8,3.2,0,0.1,0,0.3,0.3,0
Avg. Drop-out Rate: Primary Level,-,5.4,22.7,2.3,6.3,2.69,0.7,-,0.9,1.1
Avg. Drop-out Rate: U.Primary Level,-,-,-,-,1.46,5.58,-,3.56,3.11,-
Avg. Drop-out Rate: Secondary Level,-,-,-,-,-,-,11.52,19.86,32.27,-
Retention Rate: Primary Level,-,-,-,93.3,-,-,95,92.2,-,96.9
Transition Rate: Primary to U.Primary,-,77.6,100,92,97.6,99.9,-,-,96.2,96
Student-Classroom Ratio,36,32,36,34,35,36,36,36,34,33
% Schools with Drinking Water,95.1,86.7,100,100,100,100,93.3,100,100,100
% Schools with Common Toilet,80.2,80.6,89.9,51.4,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,72.9,80.9,99.1,98.2,100,100,100
% Schools with Girls' Toilet,47.5,61.2,73.7,75.7,81.8,95.5,98.2,100,100,100
% Schools with Boundarywall,85.2,88.8,90.9,89.7,91.8,91.2,83.3,90.3,92.5,93.3
% School with Playground Facility,-,-,-,65.4,61.8,55.8,53.3,49.6,47.5,50
% Schools with Ramp,9.9,12.2,33.3,44.9,40,50.4,75,94.4,74.5,93.6
% Schools havining Electricity,-,-,100,100,100,100,93.3,100,100,100
% Schools with Computer,21.8,36.7,43.4,43,55.5,54.9,52.5,57.5,60,57.5
% Schools Providing Mid-day Meal*,-,-,-,91.5,97.8,97.8,89,97.8,98,98
Number of Distr5ic.1ts Covered,2,2,2,2,2,2,2,2,2,2
Total Schools,101,98,99,107,110,113,120,113,120,120
Total Government Schools,-,79,87,90,86,88,97,88,94,94
Total Private Schools,-,10,12,17,24,25,22,25,26,26
Ratio of Primary to U.PrimarySch./Sec.,1.4,1.7,1,1.1,1.4,1.5,1.3,1.3,1.3,1.3
Primary Sch./Sec.per 1000 Child Popln.,4,4,5,4,4,10,11,4,4,4
U.Prim. Sch./Sec.per 1000 Child Popln.,4,4,3,5,5,11,13,5,5,5
% Single-Teacher Schools with Enr.≥15,0,0,0,1.9,1.8,1.8,1.7,0.9,0,0.8
% Enrolment in Single-Teacher Schools,0.1,0,0,0.4,0.4,0.5,0.5,0.3,0,0.3
% Schools with E6n.r9olment ≤ 50,6.9,9.2,6.1,8.4,12.7,10.6,14.2,9.7,13.3,20
% Schools with 5F.2emale Teachers,99,98,93.9,93.5,95.5,94.7,95,96.5,100,100
