name,index,value,stderr
(intercept),,-1.75533359427,
% Schools with Drinking Water,,0.884811825843,
% Schools with Common Toilet,,0.175785785151,
% Schools with Boys' Toilet,,-0.440131106298,
% Schools with Girls' Toilet,,-0.29834368027,
% Schools with Boundarywall,,-2.4698091516,
% School with Playground Facility,,0.0770810367229,
% Schools with Ramp,,0.488865608691,
% Schools havining Electricity,,0.492711988102,
% Schools with Computer,,6.77962486716,
% Schools Providing Mid-day Meal*,,-0.041820176874,
