name,index,value,stderr
(intercept),,-279.976406855,
% Schools with Drinking Water,,1.80119031433,
% Schools with Common Toilet,,0.27160256567,
% Schools with Boys' Toilet,,-0.193043852371,
% Schools with Girls' Toilet,,-0.372039748877,
% Schools with Boundarywall,,0.342969227937,
% School with Playground Facility,,-0.4102789451,
% Schools with Ramp,,-0.39731003043,
% Schools havining Electricity,,0.225715041578,
% Schools with Computer,,8.72428346409,
% Schools Providing Mid-day Meal*,,0.0872970995874,
