name,index,value,stderr
(intercept),,-101.335433351,
Total Teachers (Elementary),,0.000134001004885,
% Teachers: Government,,0.138057608936,
Pupil-Teacher Ratio: Elementary,,0.216652949025,
% Female Teachers,,-0.00415874860205,
% Teachers Recieved in-Service Training,,0.0148639457185,
Avg. Repetition Rate: Primary Level,,1.97865673167,
Avg.Repetition Rate: U.Primary Level,,1.51951881618,
Avg. Drop-out Rate: Primary Level,,2.98888355714,
Retention Rate: Primary Level,,0.0,
Student-Classroom Ratio,,-0.0878807047429,
% Schools with Drinking Water,,-0.000485379404477,
% Schools with Common Toilet,,2.54573156318,
% Schools with Boys' Toilet,,0.408821160368,
% Schools with Girls' Toilet,,0.0189579082736,
% Schools with Boundarywall,,0.000800433857946,
% School with Playground Facility,,0.451444378922,
% Schools with Ramp,,0.0391152794417,
% Schools havining Electricity,,-0.237189550293,
% Schools with Computer,,-0.0398699379187,
% Schools Providing Mid-day Meal*,,0.425925280781,
Total Private Schools,,-0.12621819542,
% Enrolment in Single-Teacher Schools,,0.0,
