name,index,value,stderr
(intercept),,30.1092265446,
Total Teachers (Elementary),,6.73450421718e-06,
% Teachers: Government,,0.214337093871,
Pupil-Teacher Ratio: Elementary,,-0.0444453320382,
% Female Teachers,,0.0274370223399,
% Teachers Recieved in-Service Training,,0.233711973698,
Avg. Repetition Rate: Primary Level,,-2.80191727893,
Avg.Repetition Rate: U.Primary Level,,5.61951563777,
Avg. Drop-out Rate: Primary Level,,0.100521150021,
Retention Rate: Primary Level,,0.170048503879,
Student-Classroom Ratio,,-0.121889039684,
% Schools with Drinking Water,,0.0164046909626,
% Schools with Common Toilet,,0.212846035592,
% Schools with Boys' Toilet,,-0.0156835406347,
% Schools with Girls' Toilet,,0.00514559248143,
% Schools with Boundarywall,,0.0395616169857,
% School with Playground Facility,,0.102693226736,
% Schools with Ramp,,-0.029621452946,
% Schools havining Electricity,,0.031544256523,
% Schools with Computer,,-0.601296197614,
% Schools Providing Mid-day Meal*,,0.097101342448,
Total Private Schools,,0.00234529986976,
% Enrolment in Single-Teacher Schools,,-0.511939036399,
