name,index,value,stderr
(intercept),,13.3077895735,
Total Teachers (Elementary),,0.00252061009541,
% Teachers: Government,,0.192848891817,
Pupil-Teacher Ratio: Elementary,,0.0105106263136,
% Female Teachers,,0.0152093598366,
% Teachers Recieved in-Service Training,,0.141946886043,
Avg. Repetition Rate: Primary Level,,1.75073338985,
Avg.Repetition Rate: U.Primary Level,,2.34034229294,
Avg. Drop-out Rate: Primary Level,,0.034863576168,
Retention Rate: Primary Level,,0.156838584694,
Student-Classroom Ratio,,0.0525348555574,
% Schools with Drinking Water,,0.00917926234588,
% Schools with Common Toilet,,-0.569735327959,
% Schools with Boys' Toilet,,0.102792111011,
% Schools with Girls' Toilet,,0.00309796800203,
% Schools with Boundarywall,,-0.0905801861,
% School with Playground Facility,,-0.0267279514388,
% Schools with Ramp,,-0.000298248744929,
% Schools havining Electricity,,0.110832106212,
% Schools with Computer,,0.136721035907,
% Schools Providing Mid-day Meal*,,0.0300273536684,
Total Private Schools,,0.239469083356,
% Enrolment in Single-Teacher Schools,,0.212372766116,
