name,index,value,stderr
(intercept),,-136.01420794,
Total Teachers (Elementary),,-0.0441600608291,
% Teachers: Government,,0.540990960501,
Pupil-Teacher Ratio: Elementary,,0.0674740548292,
% Female Teachers,,0.867849613815,
% Teachers Recieved in-Service Training,,5.33346067125,
Avg. Repetition Rate: Primary Level,,-18.0960786514,
Avg.Repetition Rate: U.Primary Level,,15.5459638388,
Avg. Drop-out Rate: Primary Level,,3.53698468814,
Retention Rate: Primary Level,,0.297417198904,
Student-Classroom Ratio,,-3.2717901879,
% Schools with Drinking Water,,-0.111453139176,
% Schools with Common Toilet,,1.09628925961,
% Schools with Boys' Toilet,,0.716755351046,
% Schools with Girls' Toilet,,0.606942325872,
% Schools with Boundarywall,,0.402227597228,
% School with Playground Facility,,-0.916325695414,
% Schools with Ramp,,0.141689480009,
% Schools havining Electricity,,-0.195501971021,
% Schools with Computer,,-0.00232006014045,
% Schools Providing Mid-day Meal*,,-0.189915954373,
Total Private Schools,,3.43675365885,
% Enrolment in Single-Teacher Schools,,-282.990667139,
