name,index,value,stderr
(intercept),,-170.940399065,
Total Teachers (Elementary),,7.23437116796e-05,
% Teachers: Government,,-0.295241742692,
Pupil-Teacher Ratio: Elementary,,-1.4543188544,
% Female Teachers,,-0.241362711686,
% Teachers Recieved in-Service Training,,-0.377563335252,
Avg. Repetition Rate: Primary Level,,4.50624271693,
Avg.Repetition Rate: U.Primary Level,,8.84465521897,
Avg. Drop-out Rate: Primary Level,,8.07194408282,
Retention Rate: Primary Level,,-0.583883630249,
Student-Classroom Ratio,,0.712847678082,
% Schools with Drinking Water,,0.00282641011133,
% Schools with Common Toilet,,-0.114529065152,
% Schools with Boys' Toilet,,-1.21415030319,
% Schools with Girls' Toilet,,0.239491044171,
% Schools with Boundarywall,,-0.109615231822,
% School with Playground Facility,,0.30273625702,
% Schools with Ramp,,2.20847220591,
% Schools havining Electricity,,0.606229755394,
% Schools with Computer,,-0.0422603888869,
% Schools Providing Mid-day Meal*,,0.496413543563,
Total Private Schools,,0.00883380893543,
% Enrolment in Single-Teacher Schools,,6.87716015928,
