name,index,value,stderr
(intercept),,114.520326391,
% Schools with Drinking Water,,0.508559318318,
% Schools with Common Toilet,,0.281107182728,
% Schools with Boys' Toilet,,0.0214161370744,
% Schools with Girls' Toilet,,0.196108909649,
% Schools with Boundarywall,,-3.12364203166,
% School with Playground Facility,,-0.69052820407,
% Schools with Ramp,,0.330619498928,
% Schools havining Electricity,,0.26935115389,
% Schools with Computer,,0.251488556945,
% Schools Providing Mid-day Meal*,,0.551692575956,
