name,index,value,stderr
(intercept),,-59.8720826286,
% Schools with Drinking Water,,0.344354303058,
% Schools with Common Toilet,,0.484728566768,
% Schools with Boys' Toilet,,-0.491496245489,
% Schools with Girls' Toilet,,0.927870039196,
% Schools with Boundarywall,,-1.27775445543,
% School with Playground Facility,,-0.556122435054,
% Schools with Ramp,,-0.880934187644,
% Schools havining Electricity,,0.0181348401491,
% Schools with Computer,,4.1729532166,
% Schools Providing Mid-day Meal*,,0.887794508573,
