name,index,value,stderr
(intercept),,9.44862498634,
% Schools with Drinking Water,,0.071053374396,
% Schools with Common Toilet,,-0.816392739627,
% Schools with Boys' Toilet,,-0.455149950371,
% Schools with Girls' Toilet,,-0.36926109839,
% Schools with Boundarywall,,0.974916251441,
% School with Playground Facility,,-1.62551079005,
% Schools with Ramp,,0.392806455956,
% Schools havining Electricity,,2.83525375711,
% Schools with Computer,,1.48010759762,
% Schools Providing Mid-day Meal*,,-0.688376964097,
