name,index,value,stderr
(intercept),,-145.794334506,
Total Teachers (Elementary),,-0.00135793786574,
% Teachers: Government,,-0.996792731535,
Pupil-Teacher Ratio: Elementary,,1.78893913993,
% Female Teachers,,0.113328755672,
% Teachers Recieved in-Service Training,,4.1900919292,
Avg. Repetition Rate: Primary Level,,107.168735476,
Avg.Repetition Rate: U.Primary Level,,-18.9765073448,
Avg. Drop-out Rate: Primary Level,,159.634102163,
Retention Rate: Primary Level,,-0.621110937218,
Student-Classroom Ratio,,1.29041461871,
% Schools with Drinking Water,,-0.0225625712395,
% Schools with Common Toilet,,1.16058485754,
% Schools with Boys' Toilet,,0.497159405647,
% Schools with Girls' Toilet,,0.0748123539793,
% Schools with Boundarywall,,0.0981923096014,
% School with Playground Facility,,0.48033404477,
% Schools with Ramp,,-0.926287269208,
% Schools havining Electricity,,0.406249850947,
% Schools with Computer,,-0.164012713663,
% Schools Providing Mid-day Meal*,,0.438461441513,
Total Private Schools,,-0.0452246851634,
% Enrolment in Single-Teacher Schools,,-173.133546974,
