name,index,value,stderr
(intercept),,17.8299515258,
Total Teachers (Elementary),,6.92045180924e-07,
% Teachers: Government,,0.255655270032,
Pupil-Teacher Ratio: Elementary,,-0.0029972009702,
% Female Teachers,,0.0421403541492,
% Teachers Recieved in-Service Training,,0.575975016957,
Avg. Repetition Rate: Primary Level,,-1.13434483697,
Avg.Repetition Rate: U.Primary Level,,2.52622909008,
Avg. Drop-out Rate: Primary Level,,-0.806766997327,
Retention Rate: Primary Level,,0.231394072144,
Student-Classroom Ratio,,-0.0466028940178,
% Schools with Drinking Water,,0.020767257115,
% Schools with Common Toilet,,-0.110078200584,
% Schools with Boys' Toilet,,-0.031468724797,
% Schools with Girls' Toilet,,0.0901604296839,
% Schools with Boundarywall,,0.0222475733265,
% School with Playground Facility,,0.139282137887,
% Schools with Ramp,,0.0748216325743,
% Schools havining Electricity,,0.14334245583,
% Schools with Computer,,0.0878166475646,
% Schools Providing Mid-day Meal*,,0.0187431452774,
Total Private Schools,,0.000396774736563,
% Enrolment in Single-Teacher Schools,,-0.887402287714,
