name,index,value,stderr
(intercept),,0.00147385243963,
Total Teachers (Elementary),,2.15553596776e-05,
% Teachers: Government,,0.105424638574,
Pupil-Teacher Ratio: Elementary,,0.275716389889,
% Female Teachers,,0.106010955637,
% Teachers Recieved in-Service Training,,0.244691258054,
Avg. Repetition Rate: Primary Level,,-27.3304034758,
Avg.Repetition Rate: U.Primary Level,,0.0,
Avg. Drop-out Rate: Primary Level,,0.327941949081,
Retention Rate: Primary Level,,0.0708784850321,
Student-Classroom Ratio,,0.276973453659,
% Schools with Drinking Water,,0.058029858499,
% Schools with Common Toilet,,0.0,
% Schools with Boys' Toilet,,0.0574252510029,
% Schools with Girls' Toilet,,0.0746624380943,
% Schools with Boundarywall,,0.0784659701459,
% School with Playground Facility,,0.0882388759316,
% Schools with Ramp,,0.101689794587,
% Schools havining Electricity,,0.0596599076277,
% Schools with Computer,,0.140977905778,
% Schools Providing Mid-day Meal*,,0.0564271883041,
Total Private Schools,,0.000342284655657,
% Enrolment in Single-Teacher Schools,,1.03887484578,
