name,index,value,stderr
(intercept),,-78.1444415997,
% Schools with Drinking Water,,0.46898417105,
% Schools with Common Toilet,,0.116482642315,
% Schools with Boys' Toilet,,-0.50494803723,
% Schools with Girls' Toilet,,-0.246210641316,
% Schools with Boundarywall,,1.23642040017,
% School with Playground Facility,,-0.377607456584,
% Schools with Ramp,,-0.650754710442,
% Schools havining Electricity,,2.16664063877,
% Schools with Computer,,-0.857199357842,
% Schools Providing Mid-day Meal*,,0.474111483969,
