indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),52778,63531,63363,64638,64334,65146,87499,90019,93129,94865
% Teachers: Government,-,78.4,76.9,76.6,75,72,73.1,71.4,70.6,69.9
% Teachers: Private Aided,-,0.4,0.3,0.4,0.3,0.3,0,0,-,0
% Teachers: Private Unaided,-,21.3,22.8,23.1,24.3,27,26.9,28.6,29.4,30.1
Pupil-Teacher Ratio: Elementary,20,17,17,16,16,15,11,11,10,10
% Female Teachers,40.5,42.1,42.7,43,43.6,44.9,45.4,46,46.6,47.3
% SC Teachers,-,14.4,14.6,15.1,15.2,15.4,14.9,14.7,15,15.1
% ST Teachers,-,5.8,6.2,6.1,6.3,6.1,6.1,6.4,6.5,6.6
% OBC Teachers,-,10.4,10.5,10.7,10.7,11,10.4,10.2,10.4,10.6
% Teachers Recieved in-Service Training,63.8,55.1,60.5,57.6,60.3,60.7,45,28.2,25.1,13.3
% Contract Teachers to Total Teachers,12.9,16.2,15.5,16.7,22.3,25.3,-,-,31.8,31.8
Enrolment: Classes I-V,660960,659422,646534,623198,625518,619300,610098,599071,588761,581113
Enrolment: Classes VI-VIII,410860,424618,418744,412919,410109,386642,374800,370024,369970,369653
"Enrolment: Classes I-V, Government",-,498907,473196,445328,428372,403280,387357,368110,345333,330791
"Enrolment:Classes VI-VIII,Go9v1e.4rnment",-,353589,343254,332127,317959,281711,270343,260721,254871,249604
"Enrolment: Classes I-V, Pr7iv8.a3te",-,160515,173338,177870,197146,210850,222679,230812,243360,250288
"Enrolment: Classes VI-VIII, Private",-,71029,75490,80792,92150,99594,104457,109301,115099,120049
% Girls Enrolment: Primary Le9v4e.8l,47.6,47.3,47.4,47.5,47.6,47.5,47.5,47.6,47.7,47.7
% Girls Enrolment: U.Prim7a9ry.0 Level,47.4,47.2,47.3,47.2,46.7,46.7,46.8,47.1,47.4,47.5
Ratio of Girls Enr.to Boys: Primary,0.91,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.91
Ratio of Girls Enr.to Boys: U.Primary,0.9,0.9,0.9,0.89,0.88,0.88,0.88,0.89,0.9,0.9
% SC Enrolment: Classes I-VIII,28.6,28,28,28.2,28.1,28.1,29.5,27.9,27.6,27.5
% ST Enrolment: Classes  I-VI9II6.5,5.5,5.6,5.7,5.7,5.7,5.8,5.8,5.5,5.6,5.5
% OBC Enrolment: Primary Level,14.2,14,13.5,12.9,12.8,13.1,12.8,12.8,12.9,13
% OBC Enrolment:U.Primary Level,14.7,14.8,14.9,14.6,14.6,14.4,14.1,14,13.9,13.7
% Muslim Enrolment: Primary 9L4e.5vel,-,1.1,1.2,1.6,1.7,1.8,1.7,2.3,2,2
% Muslim Enrolment: U. Prim87a.2ry Level,-,1.1,0.9,1.1,1.5,1.5,1.6,1.8,1.7,1.9
Ratio of Grade V to I,-,-,-,-,100,-,-,-,-,-
Avg. Repetition Rate: Primary Level,4.3,4.1,4.2,2.3,3,0.9,0.3,1,0.3,0.2
Avg.Repetition Rate: U.Primary Level,-,11.1,9.8,6.4,6,0.8,0.3,0.8,0.6,0.3
Avg. Drop-out Rate: Primary Level,2.9,2.6,2,2.8,-,0.7,-,0.5,0.5,0.6
Avg. Drop-out Rate: U.Primary Level,-,-,-,-,-,-,-,-,-,-
Avg. Drop-out Rate: Secondary Level,-,-,-,-,-,-,-,-,-,-
