indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),89408,107141,124324,124127,149531,138546,147034,151772,155282,157847
% Teachers: Government,-,64,64.3,63.3,64.7,62.6,63.7,63.3,63,62.5
% Teachers: Private Aided,-,0,0,0,-,-,-,-,-,0
% Teachers: Private Unaided,-,35.9,35.6,36.7,34.6,36.8,36.3,36.7,37,37.5
Pupil-Teacher Ratio: Elementary,18,16,15,16,13,14,13,12,12,12
% Female Teachers,41.6,43.6,43.2,44.2,43.5,44.3,44.1,44.5,45,44.9
% SC Teachers,-,4.9,4.9,4.9,4.8,4.8,4.6,4.6,4.6,4.4
% ST Teachers,-,8.3,8.7,8.8,8.7,8.8,8.8,8.8,8.8,8.8
% OBC Teachers,-,5.8,7.5,7.7,7.2,8.7,7.9,7.1,7.1,6.5
% Teachers Recieved in-Service Training,39,28,22.7,19.7,19.2,18.8,14.9,11.7,5.2,2
% Contract Teachers to Total Teachers,0.5,22.4,24.3,20,5.3,17.2,-,-,14.3,12.8
Enrolment: Classes I-V,1038360,1089695,1288047,1308028,1310212,1239955,1218785,1223462,1243923,1249053
Enrolment: Classes VI-VIII,528777,571180,619777,665266,687926,668275,640316,617716,609123,607723
"Enrolment: Classes I-V, Government",-,676901,842293,828998,781948,723555,720412,710141,687844,690598
"Enrolment:Classes V5I-4V.0III,Government",-,366884,398285,424653,431417,408069,392893,366567,337903,334045
"Enrolment: Clas3s1e.s4 I-V, Private",-,412794,445754,479030,528172,505175,498373,513321,556079,558399
"Enrolment: Classes VI-VIII, Private",-,204296,221492,240613,256509,250446,247423,251149,271220,273678
% Girls Enrolment: P50ri.m2 ary Level,46,46.5,47.4,47.4,47.4,47.3,47.4,47.7,47.7,47.8
% Girls Enrolme2n9.t1: U.Primary Level,44.7,45,45.6,46,46.5,46.8,47,47.4,47.5,47.6
Ratio of Girls Enr.to Boys: Primary,0.85,0.87,0.9,0.9,0.9,0.9,0.9,0.91,0.91,0.92
Ratio of Girls Enr.to Boys: U.Primary,0.81,0.82,0.84,0.85,0.87,0.88,0.89,0.9,0.9,0.91
% SC Enrolment: Classes I-VIII,9.5,8.9,8.6,8.4,8.4,8,7.9,8.4,8.3,8.3
% ST Enrolment: Cla5s2s.e9s  I-VIII,12.9,13.1,14.4,14.5,14.6,15.1,16.6,15.2,15.5,15.8
% OBC Enrolment: Primary Level,6.1,6.5,8.3,9.5,9,9.8,9.1,8.5,9.1,8.5
% OBC Enrolment:U.Primary Level,6,6.7,8.7,9.3,8.6,9.9,8.9,8.3,8.9,8.2
% Muslim Enrolment:5 P4.r0imary Level,-,59.3,66.4,67.8,67.5,68.5,67.4,67,67.3,67.5
