indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),227785,259940,267094,279086,297948,387130,306350,314595,315408,312662
% Teachers: Government,-,71.4,71.2,68.3,65.2,58.7,61.8,60.2,57.9,56.2
% Teachers: Private Aided,-,5.8,5.3,5.9,5.8,11.2,6,5.9,6,6
% Teachers: Private Unaided,-,22.9,23.6,25.8,28.4,29.7,32.1,33.8,36,37.7
Pupil-Teacher Ratio: Elementary,30,30,29,27,26,22,25,26,26,27
% Female Teachers,50.6,53.2,54.6,55.1,56.4,52.8,57.9,57.7,59.4,60.3
% SC Teachers,-,11.5,13.1,13,13.1,13.2,13.6,13.1,12.7,12.5
% ST Teachers,-,2.9,3.6,4.3,4.7,4.6,4.8,4.9,5.1,5.1
% OBC Teachers,-,23.7,46.5,48.2,37.9,52.8,52.5,52.6,54.2,55.9
% Teachers Recieved in-Service Training,12.5,36.2,50,67.5,61.4,71.6,38.9,50,35.3,37.1
% Contract Teachers to Total Teachers,0.2,0,0.5,0.5,0.6,0.6,-,-,4.7,2
Enrolment: Classes I-V,5006382,5617390,5536034,5418842,5410240,5417838,5379332,5352623,5374024,5406246
Enrolment: Classes VI-VIII,1908074,2304878,2272266,2217903,2260252,3007019,3017399,2970933,2971724,2934127
"Enrolment: Classes I-V, Government",-,3837130,3625777,3370494,3217810,3066719,2933661,2847433,2776770,2723764
"Enrolment:Classes VI-VIII,Gov9e5.r1nment",-,1608354,1522501,1418022,1407218,1681437,1687570,1429887,1583729,1525500
"Enrolment: Classes I-V, Priva9t1e.4",-,1780260,1910257,2048348,2190670,2328684,2444820,2504247,2592996,2681170
"Enrolment: Classes VI-VIII, Private",-,696524,749765,799881,852527,1308844,1329538,1041857,1386750,1408420
% Girls Enrolment: Primary Le9v5e.8l,48.6,48.4,48.4,48.4,48.3,48.2,48.1,48.4,48.4,48.4
% Girls Enrolment: U.Primary9 0L.e5vel,48.1,48.3,48.2,48.2,48.3,48.2,48.1,48.1,48.3,48.3
Ratio of Girls Enr.to Boys: Primary,0.95,0.94,0.94,0.94,0.93,0.93,0.93,0.94,0.94,0.94
Ratio of Girls Enr.to Boys: U.Primary,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
% SC Enrolment: Classes I-VIII,20.7,19.2,19.2,19.3,19,19.3,20.2,18.8,19,19.2
% ST Enrolment: Classes  I-VII9I8.5,7.9,7.5,7.9,7.9,0.2,8.1,8.1,7.9,7.8,7.8
% OBC Enrolment: Primary Level,46.3,52.5,51.9,53.1,0.9,55,56.7,57.2,58.6,62.8
% OBC Enrolment:U.Primary Level,47.3,53.2,53,53.9,0.9,54.5,57.5,57.2,58.2,62.4
% Muslim Enrolment: Primary9 L8e.0vel,-,15.1,14.7,-,15.3,16,15.9,14.4,14.4,15.1
% Muslim Enrolment: U. Prima9r6y. 6Level,-,16.7,13.8,37.1,14.1,14.4,14.5,13.6,13.8,14.6
Ratio of Grade V to I,99,94,93,98,97,97,92,90,90,90
Avg. Repetition Rate: Primary Level,3.9,2,1.9,1.4,1.7,1.2,1,0.8,0.8,0.6
Avg.Repetition Rate: U.Primary Level,-,2,1.7,1.2,1.4,1.2,0.8,0.9,0.8,0.5
Avg. Drop-out Rate: Primary L9e6v.e2l,2.1,3.4,4.5,4.1,3.6,2,2.6,3,2.3,2
Retention Rate: Primary Level,-,75.7,86.8,75.9,74.8,91.9,91.6,91.8,91,90.9
Transition Rate: Primary to U.Primary,-,91.9,91.8,96,96.5,98.8,91.6,94.3,96.2,96.4
Student-Classroom Ratio,31,29,27,25,24,22,22,22,22,23
% Schools with Drinking Water,79.7,79.6,82.7,69.8,94.7,99.4,99.6,99.7,99.9,100
% Schools with Common Toilet,62.8,70.4,83.3,88.2,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,58.5,62.9,97.7,96.1,100,99.9,99.4
% Schools with Girls' Toilet,42.6,47.2,56,68.2,75.4,97,99.6,99.9,99.8,99.8
% Schools with Boundarywall,56.4,55.6,70.8,62.9,69.1,71.3,71.2,73.5,78.1,78.8
% School with Playground Facility,-,-,-,58.8,61.6,65.7,62.8,63.1,63.7,64.1
% Schools with Ramp,14.2,22.4,44.9,55.1,60.9,58.8,93.2,90.8,82.5,83.7
% Schools havining Electricity,-,-,85.3,88,91.8,94,96.5,96.2,98,98
% Schools with Computer,9.2,11.8,18.4,21.2,24.4,33.2,28.4,29.9,33.4,34.2
% Schools Providing Mid-day Meal*,-,-,-,45.87,98.9,97.2,97.6,98.8,98.9,98.8
Number of Districts C4o.4vered,27,33,33,33,34,34,34,34,34,34
Total Schools,54085,56441,57517,58159,59484,70896,60984,61369,61628,61739
Total Government Schools,-,45622,46199,46325,46550,50885,46218,46030,45654,45556
Total Private Schools,-,10819,11318,11834,12903,19966,14742,15310,15929,16157
Ratio of Primary to U.PrimarySc8h.0./Sec.,2,2,1.8,1.8,1.8,1.3,1.8,1.7,1.7,1.7
Primary Sch./Sec.per 1000 Child Popln.,10,11,10,11,12,12,12,11,11,12
U.Prim. Sch./Sec.per 1000 Child Popln.,8,8,11,10,10,14,11,11,11,11
% Single-Teacher Schools with Enr.≥15,5.1,7.8,4.5,3.9,3.2,3.4,3.9,3.9,4.6,5
% Enrolment in Single-Teacher Schools,2.2,3.9,1.9,1.5,1.2,1.3,1.4,1.3,1.8,1.9
% Schools with Enrolme5n.6t ≤ 50,42.4,34.8,36.6,37.8,38.6,40.9,39.6,40.6,41.3,41.5
% Schools with Fema4le.6 Teachers,78.6,80.2,81.4,81.3,82,83.5,83.6,83.6,82.6,83.1
