indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),378501,430548,435723,441063,436719,445056,464018,503431,522690,528609
% Teachers: Government,-,64.8,64.2,63.5,60.9,60,59.2,57.8,56.4,54.6
% Teachers: Private Aided,-,1.6,2.1,1.2,1.1,1.1,1.1,1,0.9,0.9
% Teachers: Private Unaided,-,33.7,33.7,35.3,36.5,37.3,38.5,39.9,41.4,43.3
Pupil-Teacher Ratio: Elementary,36,36,36,35,35,34,32,29,26,24
% Female Teachers,32.7,37.3,38.8,39.2,40.4,41.2,41.1,41.9,42.7,43.7
% SC Teachers,-,13.4,13.2,13.1,13,13,12.8,12.6,12.6,12.4
% ST Teachers,-,14.5,14.5,14.6,14.7,14.6,14.5,13.8,13.3,13.1
% OBC Teachers,-,30.7,31,31.5,31.5,31.8,31.5,32.5,33,33.4
% Teachers Recieved in-Service Training,27.6,39.4,41.7,41,37.3,26.5,9.4,4.9,7.1,5.2
Enrolment: Classes I-V,10190213,11356276,11288846,10927623,10712010,10396617,9988985,9569006,8679685,8110856
Enrolment: Classes VI-VIII,3345216,4054424,4281847,4557366,4781679,4921211,5076548,5025083,4822784,4691113
"Enrolment: Classes I-V, Government",-,8186460,7895459,7478142,7405517,6829830,6497447,6109426,5416112,4839476
"Enrolment:Classes VI-6V1I.I2I,Government",-,2561616,2767422,2988020,3248363,3337584,3415737,3402060,3299619,3139830
"Enrolment: Clas3s2e.s5 I-V, Private",-,3169816,3393387,3449481,3185816,3388622,3340817,3311553,3137231,3166205
"Enrolment: Classes VI-VIII, Private",-,1492808,1514425,1569346,1516703,1531890,1630221,1589647,1491364,1523542
% Girls Enrolment: Prima7r1y.6 Level,48.9,48.9,49.3,49.3,49.2,48.8,48.3,47.7,47.4,47.3
% Girls Enrolment3:9 U.9.Primary Level,44.2,45.7,47.2,48.5,49.4,50.1,49.9,49.5,48.8,48.3
Ratio of Girls Enr.to Boys: Primary,0.95,0.96,0.97,0.97,0.97,0.95,0.93,0.91,0.9,0.9
Ratio of Girls Enr.to Boys: U.Primary,0.79,0.84,0.89,0.94,0.98,1.01,0.99,0.98,0.95,0.93
% SC Enrolment: Classes I-VIII,15.8,17.6,17.3,17.4,17.2,17.2,17.6,17.4,17.3,17.2
% ST Enrolment: Classe6s9  .I0-VIII,19.2,23.6,23.7,23.8,24.3,24.6,25.1,24.6,24.6,24.3
% OBC Enrolment: Primary Level,41.4,41.5,42.3,42.5,42.1,41.8,41.5,42,42.5,42.6
% OBC Enrolment:U.Primary Level,44.9,44.9,45.6,45.7,45.2,44.7,43.9,44.2,44.4,44.3
% Muslim Enrolment: Pr6im8.a3ry Level,-,3.3,3.2,4.3,4.6,5,5.4,5.2,5.3,5.5
% Muslim Enr2o2lm.9ent: U. Primary Level,-,3.1,3.1,3.8,4.1,4.3,4.5,4.7,4.6,4.8
Ratio of Grade V to I,72,79,78,78,83,96,94,99,-,98
Avg. Repetition Rate: Primary Level,0.1,13.6,10.4,7.9,5.6,1.5,4,3,1,1.1
Avg.Repetition Rate: U.Primary Level,-,11.8,7,5.3,3.5,0.8,3.3,2.4,0.6,0.6
Avg. Drop-out Rate: Primary Level,9.8,8.6,6.6,8.2,8.6,8.3,6.3,6.1,10.1,6.6
Avg. Drop-out Rate: U.Primary Level,-,-,-,-,7.4,8.17,8.53,11.7,9.2,-
Avg. Drop-out Rate: Secondary Level,-,-,-,-,-,-,13.36,26.47,26.33,-
Retention Rate: Primary Level,-,94.3,75.1,71.8,70.1,74.2,73.5,75.2,75.3,76.5
Transition Rate: Primary to U.Primary,-,68,80.3,83,84.5,88.7,87.6,87.4,85.8,88.7
Student-Classroom Ratio,52,33,31,30,29,27,26,24,22,21
% Schools with Drinking Water,84.7,92,92.7,94,91.2,98,96.2,96.1,96.2,96.3
% Schools with Common Toilet,34.5,71.6,74.2,55.6,-,-,13.63,26.47,24.77,-
% Schools with Boys' Toilet,-,-,-,24.3,28.2,89.7,72.3,97.3,96.3,96.3
% Schools with Girls' Toilet,21.4,47,47.6,37.9,38.8,76.3,92.8,88.8,83.9,96.7
% Schools with Boundarywall,55.1,46.2,43.4,43,42.4,45,43.9,44.2,45.7,45.7
% School with Playground Facility,-,-,-,60,54.4,56.7,56.7,60.4,65.2,65.5
% Schools with Ramp,16.7,34.2,47.8,53.6,53.8,55.1,71,74.1,78.9,81.4
% Schools havining Electricity,-,-,20.6,20.1,20.6,22.6,23.1,24.3,26.3,26.7
% Schools with Computer,10.4,12.4,10.4,10.5,10.1,11,12.4,13.1,14.3,14.6
% Schools Providing Mid-day Meal*,-,-,-,93.7,96,97.8,97,97.1,97.6,97.8
Number of Distric3t.s1 Covered,48,48,50,50,50,50,50,50,51,51
Total Schools,121335,129000,132746,134965,137113,140993,141859,142844,142512,142587
Total Government Schools,-,106408,109757,111510,112014,112078,112895,114444,114420,114465
Total Private Schools,-,22592,22989,23455,23801,27148,27227,26668,26367,26452
Ratio of Primary to U.PrimarySch./Sec.,2.8,2.6,2.5,2.4,2.4,2.3,2.2,2.1,2.1,2.1
Primary Sch./Sec.per 1000 Child Popln.,13,13,9,13,14,14,14,13,13,13
U.Prim. Sch./Sec.per 1000 Child Popln.,8,8,13,9,10,10,11,11,11,11
% Single-Teacher Schools with Enr.≥15,24.3,15.2,14.3,13.8,14.7,14.5,18.6,13,12.4,12.5
