indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),509402,575519,581257,533297,533813,542070,632595,647625,656673,666338
% Teachers: Government,-,51.4,51.3,54.8,54.1,53.3,47.1,42,41,39.9
% Teachers: Private Aided,-,37.3,36.6,33.1,32.4,31.2,37.1,40.3,40.3,40.2
% Teachers: Private Unaided,-,11.3,12.1,12.1,13.5,15.2,15.2,17.1,18.3,19.5
Pupil-Teacher Ratio: Elementary,29,27,27,30,30,30,25,25,25,24
% Female Teachers,40.5,42.8,43.4,43.6,44.4,45.2,43.8,44.1,44.6,43.3
% SC Teachers,-,11.2,11.4,12.5,12.3,12.3,11.9,11.8,11.7,11
% ST Teachers,-,6.3,6.7,7.4,7.6,7.6,7.1,7,7,6.6
% OBC Teachers,-,31.3,33.3,23.9,24.3,38.5,37,36.1,23.7,34.1
% Teachers Recieved in-Service Training,33.1,16,21.5,22.8,25.2,29,30.9,34.4,15,7.6
% Contract Teachers to Total Teachers,0.8,1.1,1.7,1.8,2.4,2.3,-,-,5.9,5.9
Enrolment: Classes I-V,9926924,10321392,10401607,10356617,10384478,10337189,10284359,10188809,10125716,10026502
Enrolment: Classes VI-VIII,5031763,5336705,5516597,5497441,5697291,5848702,5942184,5969982,6046718,6017273
"Enrolment: Classes I-V, Government",-,6253487,6203678,6106276,5928421,5704915,5441805,4946840,4758698,4564449
"Enrolment:Classes VI-VIII,Gov9e9rn.1ment",-,1492708,1493257,1477483,1493521,1526555,1544086,1365219,1447037,1384773
"Enrolment: Classes I-V, Priv8a6t.e3",-,4067905,4197929,4250341,4453269,4611551,4789217,5165223,5308008,5396810
"Enrolment: Classes VI-VIII, Private",-,3843997,4023340,4019958,4202987,4318939,4389369,4217729,4590235,4622230
% Girls Enrolment: Primary Lev99e.l2,47.5,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47,46.9
% Girls Enrolment: U.Primary9 0L.e2vel,46.8,46.8,47,46.9,46.8,46.6,46.5,46.4,46.5,46.7
Ratio of Girls Enr.to Boys: Primary,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88
Ratio of Girls Enr.to Boys: U.Primary,0.88,0.88,0.89,0.88,0.88,0.87,0.87,0.87,0.87,0.88
% SC Enrolment: Classes I-VIII,14.4,14.7,14.7,14.5,14.3,14.2,14,13.6,13.5,13.2
% ST Enrolment: Classes  I-VII9I8.8,10.9,11.3,11.6,11.6,11.8,11.9,12.1,11.7,11.8,12
% OBC Enrolment: Primary Level,34.5,32.4,32.3,32.2,32.9,32.8,33.5,33.6,33.5,33.3
% OBC Enrolment:U.Primary Level,33.3,32.8,32.7,32.9,33.7,33.7,34.9,34.9,34.6,34.2
% Muslim Enrolment: Primary L9e8v.8el,-,8.6,9.3,12,12.8,13.6,13.7,13.6,13.7,13.7
% Muslim Enrolment: U. Prim88a.r9y Level,-,7.2,8,10.4,11.3,11.9,12.2,12.4,12.6,12.9
Ratio of Grade V to I,87,87,88,91,97,-,-,-,99,98
Avg. Repetition Rate: Primary Level,6.1,5.2,5.3,3.7,1.2,0,0.4,0.3,0.1,0.1
Avg.Repetition Rate: U.Primary Level,-,5.2,4.6,2.6,1.1,0,0.3,0.2,0.1,0.1
Avg. Drop-out Rate: Primary Le9v9e.4l,6.2,3.4,3.1,3.3,2.1,1.9,103.80.6,1,0.6,1.3
Retention Rate: Primary Level,-,98.5,88.8,87.7,88.7,92.8,91.2,94.2,97.3,97.7
Student-Classroom Ratio,40,32,31,31,31,31,33,32,31,31
% Schools with Drinking Water,82.6,87.5,87.7,93.7,92.2,9240.13,1498.4,99.3,99.6,99.7
% Schools with Common Toilet,58.7,75.1,77.1,32.5,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,64.7,68.4,92.5,89.6x,99.3x,99.5x,99.2
% Schools with Girls' Toilet,47.5,60,63.9,69.6,71.5,7270.13,15 98.1x,97.6x,99.0x,99.4
% Schools with Boundarywall,58,59.6,58.1,60,58.6,59.1,68.3,76.4,82.7,81.9
% School with Playground Facility,-,-,-,67.6,63.1,6230.14,1675,82.5,87.5,87.2
% Schools with Ramp,59.2,62.8,61.3,65.4,65.1,65,86.7**,89.2**,91.9**,93.0**
% Schools havining Electricity,-,-,71.4,71.7,74.1,75.9,85,86,93.8,93.8
% Schools with Computer,23.1,36.5,37.2,39.4,40.8,44.5,47.4,50.6,54.3,56.9
% Schools Providing Mid-day Meal*,-,-,-,94.7,91.3,94.3,96.6,97.1,97.4,97.2
Number of Districts 3C.9overed,35,35,35,35,35,35,35,35,36,36
Total Schools,84286,87280,92053,94124,97278,100084,95235,96179,97084,98213
Total Government Schools,-,61708,65979,67573,68972,69781,69541,67307,67382,67294
Total Private Schools,-,25548,26069,26551,28253,29935,25002,28130,29126,30383
Ratio of Primary to U.PrimarySch8..4/Sec.,1.8,1.5,1.6,1.7,1.6,1.8,1.8,1.9,1.9,1.9
Primary Sch./Sec.per 1000 Child Popln.,6,7,8,8,8,8,8,8,8,8
U.Prim. Sch./Sec.per 1000 Child Popln.,6,7,8,8,8,7,7,7,7,7
% Single-Teacher Schools with Enr.≥15,5.4,2.3,6,3.4,2.1,1.5,1.1,1.2,2.1,2
