indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),21920,24799.0,24173.0,23423.0,27042.0,27693.0,35123,37488,38031.0,38936.0
% Teachers: Government,-,52.8,51.0,48.8,52.0,53.5,55.4,52.8,52.4,50.9
% Teachers: Private Aided,-,8.4,6.9,8.2,6.4,6.2,6.4,6.5,6.6,6.5
% Teachers: Private Unaided,-,38.9,42.2,43.0,37.4,36.3,34.8,37.1,37.6,39.3
Pupil-Teacher Ratio: Elementary,20,19.0,19.0,20.0,19.0,18.0,15,15,13.0,13.0
% Female Teachers,41.8,42.4,43.1,44.3,44.4,45.0,47.7,48.5,48.7,49.3
% SC Teachers,-,4.2,3.7,3.7,3.4,3.5,3.6,3.7,3.8,4.2
% ST Teachers,-,36.2,37.6,37.2,43.1,43.0,41.7,40.9,41.0,40.3
% OBC Teachers,-,5.8,5.7,6.1,6.3,6.1,8.5,11.2,11.7,12.7
% Teachers Recieved in-Service Training,10.2,8.5,3.1,5.8,7.7,8.7,11.7,11.1,2.7,1.7
% Contract Teachers to Total Teachers,1.4,1.5,0.9,3.8,8.6,9.1,-,-,29.8,33.5
Enrolment: Classes I-V,335683,352871,331209,343935.0,363833.0,366372.0,388548,395119.0,355297.0,345320.0
Enrolment: Classes VI-VIII,102392,123810,120348,126352.0,139849.0,141692.0,151487,154778.0,152759.0,157276.0
"Enrolment: Classes I-V, Government",-,173637,156257,162103.0,159221.0,159055.0,166267,168273.0,104767.0,147184.0
"Enrolment:Classe36s. 3VI-VIII,Government",-,35565,31239,32353.0,33937.0,31179.0,35462,39178.0,39515.0,40836.0
"Enrolment: Clas3s1e.s7 I-V, Private",-,179234,174952,181832.0,192865.0,193888.0,207360,211257.0,187671.0,187889.0
"Enrolment: Classes VI-VIII, Private",-,88245,89109,93999.0,102500.0,103972.0,111304,110966.0,109159.0,113222.0
% Girls Enrolmen3t:9 .P2rimary Level,49.7,49.7,49.9,49.9,49.7,49.6,49.8,49.9,49.4,49.4
% Girls Enrolm21e.1nt: U.Primary Level,49.2,49.0,49.9,50.0,49.6,49.8,49.6,49.5,50.1,49.7
