indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),169232,222375,246217,182026,249563,265037,272173,284797,299981,314988
% Teachers: Government,-,-,83.2,90.1,76.6,77.1,75.8,75.6,73.3,71.9
% Teachers: Private Aided,-,6,6.8,2.4,9.3,8.8,8.9,8.4,8.3,8.3
% Teachers: Private Unaided,-,9.6,10,7.5,9.4,9.3,10.5,11.1,12.6,13.9
Pupil-Teacher Ratio: Elementary,35,29,27,33,26,25,24,22,21,20
% Female Teachers,34.1,33.2,34.1,38.3,36.4,38.5,40.3,41,42.3,43.2
% SC Teachers,-,12,12,14.4,12.1,12.5,12.6,12.8,12.8,12.8
% ST Teachers,-,11.6,12.4,14.9,12.1,12.2,12.5,13.1,13.6,13.5
% OBC Teachers,-,36.6,37.9,35.5,38.1,38.5,38.3,39.1,39.4,39.5
% Teachers Recieved in-Service Training,43.1,45.5,39.5,53.6,30.9,28.1,33.6,19.6,20.7,19.7
Enrolment: Classes I-V,4616412,4391968,4467390,4366931,4467851,4433052,4336961,4277710,4223628,4111050
Enrolment: Classes VI-VIII,1225781,1948894,208109,1622581,2088574,2087078,2085454,2110347,2162855,2217034
"Enrolment: Classes I-V, Government",-,4169999,4200778,4081971,4014347,3909652,3815009,3695440,3565758,3359620
"Enrolment:Classes VI-VIII,7G8.o2vernment",-,1629476,1722114,1414337,1639650,1627481,1643953,1662259,1677265,1694091
"Enrolment: Classes I5-V4.,1 Private",-,221969,266612,284960,311200,344142,366705,402355,476640,553462
"Enrolment: Classes VI-VIII, Private",-,319418,358981,208244,406330,394929,394753,396360,438284,470241
% Girls Enrolment: Primary L8e9v.1el,48.2,48.8,48.9,48.8,48.6,48.5,48.3,48.3,48.3,48.3
% Girls Enrolment: U.5P6r.i2mary Level,46.2,47.6,48.1,48.5,48.6,48.8,48.9,48.8,48.6,48.3
Ratio of Girls Enr.to Boys: Primary,0.93,0.95,0.96,0.95,0.95,0.94,0.93,0.93,0.93,0.94
Ratio of Girls Enr.to Boys: U.Primary,0.86,0.91,0.93,0.94,0.95,0.95,0.96,0.95,0.94,0.94
% SC Enrolment: Classes I-VIII,20,20,19.8,19.6,19.5,19.1,19.7,19.2,19.1,18.9
% ST Enrolment: Classes  I-8V4I.I0I,24.5,25.4,26.6,28,27,28.2,30.2,29.9,30.2,30.2
% OBC Enrolment: Primary Level,34.8,34.2,33.6,33,35.1,33.9,34.6,34.8,34.8,34.7
% OBC Enrolment:U.Primary Level,38.8,37.2,39.4,37.3,42,41.3,41.9,41.3,41.3,40.2
% Muslim Enrolment: Prim7a6r.y8 Level,-,1.7,1.7,1.7,1.6,1.5,1.9,1.7,1.8,1.7
% Muslim Enrolment: U6. 7P.7rimary Level,-,1.6,1.6,1.8,1.7,1.6,1.9,1.8,1.8,1.7
Ratio of Grade V to I,82,89,83,86,82,87,90,97,-,-
Avg. Repetition Rate: Primary Level,6.3,9.5,5.8,4.7,4.8,2.9,3,2.6,0.7,0.1
Avg.Repetition Rate: U.Primary Level,-,6.6,5.1,3.4,3.6,1.4,1.9,1.9,0.4,0
Avg. Drop-out Rate: Primary8 4L.e0vel,7,-,3.5,6.3,6.1,5.4,5.2,3.6,2.9,2.9
Retention Rate: Primary Level,-,77.4,80.7,77.5,-,83.7,80,84.8,86.1,88.6
Transition Rate: Primary to U.Primary,-,-,93.8,83.2,84.8,86.5,86.9,88.8,91.1,91.3
Student-Classroom Ratio,35,30,30,30,27,27,27,27,26,25
% Schools with Drinking Water,82.8,85.6,83.3,89.1,88.7,94.4,94.8,96.8,98,99.5
% Schools with Common Toilet,32.5,50.9,57.2,80.8,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,14.7,17.5,76.7,21.1,95.3,95.3,93.8
% Schools with Girls' Toilet,12.4,28,34,37.9,38.2,41.1,68.5,68.9,76.8,97.1
% Schools with Boundarywall,65.3,59.6,59.1,57.6,58.8,62.4,64.9,65.8,67.5,68.2
% School with Playground Facility,-,-,-,23.7,29.3,29.7,29.7,29.7,29.6,30.3
% Schools with Ramp,8.1,17.9,23.6,36.2,38.1,46.2,82.3,84,77.4,85.9
% Schools havining Electricity,-,-,18.6,15.8,20.4,21.8,23.9,26,29.6,32.1
% Schools with Computer,11.4,8,7.5,7.3,8.5,9,9.2,10.6,13.6,14.4
Number of District3s. 5Covered,30,30,30,30,30,30,30,30,30,30
Total Schools,51881,59435,62162,56773,65730,66689,67271,67565,68305,68978
Total Government Schools,-,53667,55713,53041,57179,58023,58355,58412,58573,58476
Total Private Schools,-,5768,6447,3732,7060,7202,7418,7611,7995,8537
Ratio of Primary to U4.P.5rimarySch./Sec.,2.7,2.5,1.9,2.4,1.9,1.9,1.9,1.8,1.8,1.8
Primary Sch./Sec.per 1000 Child Popln.,12,13,11,14,15,15,15,14,14,15
U.Prim. Sch./Sec.per 1000 Child Popln.,7,8,14,9,13,13,13,13,13,14
% Single-Teacher Schools with Enr.≥15,10.8,10.6,6.9,11.5,12,7.3,6.9,5.1,5.2,2.9
% Enrolment in Single-Teacher Schools,5.4,5.4,3.3,5.6,5.9,4,3.4,2.8,2.6,1.4
% Schools with En3.r5olment ≤ 50,25.5,29.4,31,32,34,36.5,33.3,40.1,41.1,42.9
% Schools with Fe3m.4ale Teachers,60.7,63.9,63.7,66.7,67.6,67.9,68.9,69.9,69.7,70.1
