indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),114268,162270,132805,137182,162997,183427,229912,267268,246015,243885
% Teachers: Government,-,36.5,36.6,37,32.7,28.7,26.5,26.7,25.9,25.3
% Teachers: Private Aided,-,58.2,58.3,56.7,56.4,49.4,43.8,43.4,41,40.7
% Teachers: Private Unaided,-,5.3,5.1,6.4,9.7,16.8,24,23.5,26.3,27.6
Pupil-Teacher Ratio: Elementary,29,22,25,24,21,21,17,15,16,16
% Female Teachers,72.3,71.7,73.7,73.9,74.1,77.3,72,76,77.7,78.1
% SC Teachers,-,3.9,4,4.3,4.2,3.9,3.8,4,3.9,3.9
% ST Teachers,-,2.6,2.3,2.5,2.2,1.8,1.6,1.3,1.3,1.3
% OBC Teachers,-,39.7,41.6,41.8,41.1,39.5,38.4,42.5,42.5,43.2
% Teachers Recieved in-Service Training,76.3,63.8,70.6,72.4,62.2,46.5,21.1,22.1,13.8,11.2
Enrolment: Classes I-V,2057012,2130628,2019411,1987815,2016955,2286189,2471358,2482397,2467280,2468629
Enrolment: Classes VI-VIII,1243534,1395082,1365186,1368183,1421950,1533674,1620477,1619549,1582034,1543787
"Enrolment: Classes I-V, Government",-,754693,717002,696498,638650,574749,534134,513001,508538,505013
"Enrolment:Classes VI-VIII,Gov9e8rn.6ment",-,486343,463497,464425,432372,407239,414433,406565,397961,384112
"Enrolment: Classes I-V, Priva9t1e.1",-,1375046,1302409,1291317,1371739,1576149,1764547,1750977,1748038,1779724
"Enrolment: Classes VI-VIII, Private",-,908487,901689,903758,987156,1086203,1165787,1168213,1142056,1122192
% Girls Enrolment: Primary Le9v7e.2l,49.4,49.6,49.5,49.6,49.5,49.1,48.8,48.8,48.8,48.9
% Girls Enrolment: U.Primary 9L6e.v5el,48.3,48.9,48.9,48.9,48.9,48.6,48.6,48.6,48.7,48.8
Ratio of Girls Enr.to Boys: Primary,0.98,0.98,0.98,0.98,0.98,0.96,0.95,0.95,0.95,0.96
Ratio of Girls Enr.to Boys: U.Primary,0.93,0.96,0.96,0.96,0.96,0.94,0.95,0.95,0.95,0.95
% SC Enrolment: Classes I-VIII,11,11.3,11.4,11.5,10.7,9.8,9.5,9.1,8.9,8.9
% ST Enrolment: Classes  I-V91II.I8,2.1,1.9,2.2,2.3,2.6,2.6,1.9,1.7,1.8,1.8
% OBC Enrolment: Primary Level,60.3,62.6,63.4,63.8,61.9,60,63.6,66,65.8,66.7
% OBC Enrolment:U.Primary Level,58,60.5,61,62.1,61,60,62.7,64.7,64.9,65.3
% Muslim Enrolment: Primar8y7 L.5evel,-,21.5,26.2,33.2,31.7,31.3,32,34.5,34,34.5
% Muslim Enrolment: U. Prim9a0.r8y Level,-,19.1,22,29.2,28.8,29.2,30.5,32.8,32.7,33.3
Ratio of Grade V to I,-,-,-,-,-,-,-,-,-,99
Avg. Repetition Rate: Primary Level,3,3.1,3,1.5,2.1,1.8,1,0.3,0.1,0.2
Avg.Repetition Rate: U.Primary Level,-,4.9,4.8,2.1,3,2.2,0.6,0.1,0.1,0.1
Avg. Drop-out Rate: Primary L9e7v.0el,1.3,-,-,-,-,0.1,-,-,-,-
Retention Rate: Primary Level,-,-,-,-,-,-,-,-,-,-
Student-Classroom Ratio,29,25,25,27,25,24,24,24,24,24
% Schools with Drinking Water,93.7,97.6,97.7,99,99.4,95.9,97.8,99.4,99.6,99.7
% Schools with Common Toilet,78.5,84.1,82.9,55.9,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,66.1,70.2,88,68.8,99.6,99.8,98.1
% Schools with Girls' Toilet,71.5,79,77.9,76.5,77.3,80.7,96,95.2,95.2,99.1
% Schools with Boundarywall,66.8,70.6,72.8,76.9,79.4,81.9,79.7,81.9,84.1,84.3
% School with Playground Facility,0,0,0,69.7,68.3,66.4,68.3,70.8,72.3,73.3
% Schools with Ramp,32.9,58,59.9,61.8,60.5,54.4,83.3,91.2,87.5,89.1
% Schools havining Electricity,-,-,90.1,88.6,90.8,87.5,90.7,94,96.9,97.4
% Schools with Computer,51.2,71.2,79.9,86.9,93,87.7,90.3,92.7,93.6,94.3
Number of Districts Covered,14,14,14,14,14,14,14,14,14,14
Total Schools,11381,12426,12352,12425,12924,15534,16287,17023,16419,16458
Total Government Schools,-,5087,5042,5095,4950,5135,4946,5111,4888,4573
Total Private Schools,-,7311,7302,7327,7943,9230,10081,10151,9788,10225
Ratio of Primary to U.PrimarySch./S11e.c6.,1.8,1.8,1.8,1.8,1.7,1.7,1.8,1.7,1.8,1.8
Primary Sch./Sec.per 1000 Child Popln.,3,4,4,4,4,5,5,6,6,6
U.Prim. Sch./Sec.per 1000 Child Popln.,3,4,4,4,4,5,5,5,5,5
% Single-Teacher Schools with Enr.≥15,0.1,0.1,0.5,0.5,0.1,1.4,1.1,1,0.9,0.8
% Enrolment in Single-Teacher Schools,0,0,0.3,0.3,0,0.2,0.2,0.1,0.1,0.1
% Schools with Enrolment ≤ 50 10.0,7,9.4,12.2,14,15.6,21.8,23.2,24.6,25.3,25.3
% Schools with Female Tea8c.h1ers,100,99.5,99.4,99.5,99.4,99.6,98.5,99.7,99.7,99.6
