indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),5882,9498,10239.0,10852.0,11716.0,11210.0,11744,11343,11816.0,12128.0
% Teachers: Government,-,57.5,52.9,47.8,46.4,45.8,46.1,42.6,41.3,39.2
% Teachers: Private Aided,-,10.2,8.0,8.9,8.6,8.9,8.7,8.8,8.1,8.1
% Teachers: Private Unaided,-,32.3,39.1,43.3,43.5,43.9,45.2,48.5,50.6,52.7
Pupil-Teacher Ratio: Elementary,24,18,18.0,17.0,16.0,16.0,15,15,15.0,14.0
% Female Teachers,63.5,61.2,64.8,69.5,67.5,68.0,68.5,69.6,70.6,71.9
% SC Teachers,-,14.2,11.6,12.3,11.8,12.7,12.6,12.7,13.3,13.6
% ST Teachers,-,1.4,0.4,0.3,0.3,0.7,1.1,0.7,0.2,0.2
% OBC Teachers,-,-,6.3,67.1,68.4,72.1,72.1,73.2,74.8,75.0
% Teachers Recieved in-Service Training,16.3,8.1,15.3,21.0,13.7,8.6,11.0,20.6,14.0,13.6
% Contract Teachers to Total Teachers,0.1,2.1,2.4,1.9,3.9,5.0,-,-,3.9,4.2
Enrolment: Classes I-V,90479,107888,112684,112795,110466,109803,108502,106697,105443,104032
Enrolment: Classes VI-VIII,50520,66618,69811,71199,72161,71189,69805,67425,66123,65430
"Enrolment: Classes I-V, Government",-,48569,44641,40889,36522,31662,29922,27462,25951,25633
"Enrolment:Classes VI-VIII,Gov9e7r.n6ment",-,39654,37735,36693,35481,31581,29833,26846,24548,22962
"Enrolment: Classes I-V, Priva9t1e.5",-,59319,68043,71906,73944,76638,78580,79235,79492,78399
"Enrolment: Classes VI-VIII, Private",-,26964,32076,34506,36680,38314,39972,40579,41575,42468
% Girls Enrolment: Primary Le9v7e.l7,51.6,49.6,48.5,48.5,48.6,48.5,48.7,48.7,48.7,48.7
% Girls Enrolment: U.Primary9 L1.e9vel,51.2,49.0,48.0,47.9,48.1,48.6,48.9,48.5,48.3,48.5
Ratio of Girls Enr.to Boys: Primary,1.07,0.98,0.94,0.94,0.95,0.94,0.95,0.95,0.95,0.95
Ratio of Girls Enr.to Boys: U.Primary,1.05,0.96,0.92,0.92,0.93,0.95,0.96,0.94,0.93,0.94
% SC Enrolment: Classes I-VIII,18.3,19.0,18.9,18.6,19.3,19.0,18.4,19.4,19.0,18.9
% ST Enrolment: Classes  I-VI9II8.8,0.1,0.7,0.2,0.4,0.2,0.3,0.2,0.0,0.0,0.0
% OBC Enrolment: Primary Level,59.5,74.0,72.7,66.4,69.6,71.3,69.8,74.7,71.9,73.9
% OBC Enrolment:U.Primary Level,66.7,73.8,72.7,66.5,70.2,70.2,70.1,73.9,72.0,73.8
