indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),72704,79754,103383,104049,204967,207718,226570,236186,242375,250470
% Teachers: Government,-,86.7,78.9,75.7,50.5,52,52.9,57.2,52.2,51.1
% Teachers: Private Aided,-,4,3.8,3,2.6,2.4,2.3,2.2,2.1,2.2
% Teachers: Private Unaided,-,9.3,17.3,21.3,17.9,20.9,23.2,39.9,43.2,40.3
Pupil-Teacher Ratio: Elementary,33,32,27,28,19,19,18,17,17,16
% Female Teachers,61.8,60.9,64.5,65,70.7,71.1,71.9,72.5,73,73.9
% SC Teachers,-,19.9,18.4,19.4,16.4,16.6,16.3,16,15.8,15.6
% ST Teachers,-,0.8,0.7,0.4,0.5,0.4,0.2,0.2,0.1,0.1
% OBC Teachers,-,11.5,11.6,12.1,11.5,11.5,11.1,10.8,10.8,10.8
% Teachers Recieved in-Service Training,55.3,55.6,49.6,57.9,31.8,26.6,18.1,16.1,20.7,18.2
Enrolment: Classes I-V,1545398,1581310,1765341,1850638,2563140,2587691,2604751,2575880,2568056,2488583
Enrolment: Classes VI-VIII,854667,977648,1061737,1057686,1401287,1401372,1438875,1435640,1453523,1473856
"Enrolment: Classes I-V, Government",-,1314778,1339311,1308452,1371659,1360923,1340880,1435065,1297097,1237170
"Enrolment:Classes VI-VIII,Go9v2e.0rnment",-,805130,801736,738486,796997,789971,814222,858356,812677,835154
"Enrolment: Classes I-V,6 P6.r7ivate",-,266532,426030,542186,569044,651024,707796,1127453,1202219,1090208
"Enrolment: Classes VI-VIII, Private",-,172518,260001,319200,349143,375176,386660,574040,611215,561302
% Girls Enrolment: Primary Le1v0e0l.0,46.3,46,45.5,45.3,44.4,44.6,44.9,45.2,45.3,45.4
% Girls Enrolment: U.Primary 1L0e0v.0el,46.7,46.3,45.7,45.2,43.7,43.9,43.9,44,44.3,44.6
Ratio of Girls Enr.to Boys: Primary,0.86,0.85,0.83,0.83,0.8,0.81,0.82,0.82,0.83,0.83
Ratio of Girls Enr.to Boys: U.Primary,0.88,0.86,0.84,0.82,0.78,0.78,0.78,0.79,0.79,0.81
% SC Enrolment: Classes I-VIII,47.3,49.2,47.7,45.8,37.9,38.2,41.3,37.6,37.4,37.9
% ST Enrolment: Classes  I-V9II1I.7,0.2,0.3,0.2,0,0,0,0,0,0,0
% OBC Enrolment: Primary Level,16.4,16,13.2,12.9,12.9,13.1,13.3,13.4,13.8,14.4
% OBC Enrolment:U.Primary Level,18.3,17.6,15.1,15,14.1,14.1,14.2,14.2,14.5,15.1
% Muslim Enrolment: Primar8y8 L.5evel,-,0.5,1,1.6,1.4,1.6,1.7,2.1,2.3,2.5
% Muslim Enrolment: U. P7r8im.1ary Level,-,0.2,0.9,1.3,1.2,1.2,1.3,1.6,1.7,1.9
Ratio of Grade V to I,94,99,93,92,80,88,93,-,-,98
Avg. Repetition Rate: Primary Level,8.2,8,7.7,8.7,4.3,0.6,0.1,0.5,0.1,0.1
Avg.Repetition Rate: U.Primary Level,-,4.2,15,7.5,6.7,0.4,0.1,0.4,0.1,0.1
Avg. Drop-out Rate: Primary Level,8.9,5.5,2.9,4.7,1.8,1.8,1.6,2,1.3,3.1
Avg. Drop-out Rate: U.Primary Level,-,-,-,-,-,-,-,-,-,-
Avg. Drop-out Rate: Secondary Level,-,-,-,-,-,-,-,-,-,-
Retention Rate: Primary Level,-,-,80.4,97,-,-,-,-,90.2,90.8
Transition Rate: Primary to U.Primary,-,84,-,93.8,-,98.4,99.3,97.6,97.1,95.3
Student-Classroom Ratio,27,26,24,23,21,21,22,22,22,22
% Schools with Drinking Water,93,97.7,97.3,98.8,99.8,99.9,99.7,99.8,100,100
% Schools with Common Toilet,77.8,88.4,89.2,86.8,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,33.5,66.6,97.6,79.2,99.5,99.7,99.6
% Schools with Girls' Toilet,70,86.1,83.3,98.6,89.7,87.8,95.5,95.8,97.2,99.8
% Schools with Boundarywall,89.9,91.2,90.5,90.7,95.1,97,95,96.8,98.6,98.6
% School with Playground Facility,-,-,-,70.6,73.1,76.9,81.5,95.6,95.4,96.8
% Schools with Ramp,12.7,40.9,37.7,53.3,53.8,63.3,73.5,84.1,85.5,87.3
% Schools havining Electricity,-,-,85.9,89,99.4,98,99.8,99.9,99.9,99.9
% Schools with Computer,14,30.6,32.5,38.6,47.1,48,50.3,52,52.4,52.6
% Schools Providing Mid-day Meal*,-,-,-,93.5,79.7,87.5,96.4,91.4,94.3,95
Number of Distri4c.t2s Covered,17,20,20,20,20,22,22,22,22,22
Total Schools,20298,-,21875,23272,30858,30181,29833,29198,29023,28776
Total Government Schools,-,18508,19326,19967,20235,20368,20214,21343,20741,20488
Total Private Schools,-,1518,2549,3303,3204,3594,4370,7603,7769,7163
