indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),354439,422330.0,453163.0,458766.0,460214.0,472854.0,560412,604364,627045,656083.0
% Teachers: Government,-,60.2,62.1,59.9,58.6,56.1,55.8,54.0,50.7,50.2
% Teachers: Private Aided,-,1.5,1.2,1.4,1.4,0.4,0.1,-,-,0.0
% Teachers: Private Unaided,-,36.9,36.7,37.8,38.9,42.4,43.0,44.9,48.2,48.7
Pupil-Teacher Ratio: Elementary,33,29.0,27.0,27.0,26.0,26.0,22,20,19,19.0
% Female Teachers,27.1,29.3,30.0,30.1,30.2,30.7,31.2,32.6,33.9,34.9
% SC Teachers,-,15.1,14.6,14.3,14.2,14.2,14.3,14.1,13.8,13.7
% ST Teachers,-,8.0,9.0,9.1,9.4,9.3,9.6,9.9,9.8,9.8
% OBC Teachers,-,36.7,37.2,37.7,38.2,38.4,38.7,38.4,38.0,38.3
% Teachers Recieved in-Service Training,30.4,39.7,33.3,29.1,7.6,22.2,12.4,9.4,5.7,2.8
% Contract Teachers to Total Teachers,9.1,7.9,6.0,5.2,5.4,5.8,-,-,3.8,2.9
Enrolment: Classes I-V,8746946,8757869.0,8699915.0,8627768.0,8432836.0,8657160.0,8655936,8394087.0,8140866.0,8273609.0
Enrolment: Classes VI-VIII,2930530,3438766.0,3562816.0,3547361.0,3570991.0,3740012.0,3885582,3896165.0,3885336.0,4066526.0
"Enrolment: Classes I-V, Government",-,5883699.0,5765423.0,5394005.0,5098382.0,5019135.0,4742214,4367200.0,3978935.0,4119524.0
"Enrolment:Classes VI-VIII,G82o.v6ernment",-,2065599.0,2089718.0,1955821.0,2005797.0,2081188.0,2076370,2043464.0,1961583.0,2146551.0
"Enrolment: Classes I-V, Pri8v2a.t7e",-,2685583.0,2934492.0,3150274.0,3222236.0,3488324.0,3748246,3859330.0,3993216.0,3991698.0
"Enrolment: Classes VI-VIII, Private",-,1331552.0,1473098.0,1548443.0,1556324.0,1623845.0,1792838,1832608.0,1905368.0,1899925.0
% Girls Enrolment: Primary 8L6e.0vel,46.8,46.7,46.4,46.6,46.8,47.0,46.9,46.6,46.3,46.5
% Girls Enrolment: U.Prim7a9ry.1 Level,38.2,40.8,41.8,42.7,43.7,44.7,44.8,44.7,44.7,45.3
Ratio of Girls Enr.to Boys: Primary,0.88,0.87,0.87,0.87,0.88,0.89,0.88,0.87,0.86,0.87
Ratio of Girls Enr.to Boys: U.Primary,0.62,0.69,0.72,0.74,0.78,0.81,0.81,0.81,0.81,0.83
% SC Enrolment: Classes I-VIII,19.5,19.5,19.4,19.3,20.2,20.5,20.4,19.9,19.8,20.1
% ST Enrolment: Classes  I-V88II.I0,14.8,15.0,15.1,14.9,15.5,15.7,15.8,15.1,15.1,15.3
% OBC Enrolment: Primary Level,48.5,48.0,47.8,47.2,47.2,47.9,48.2,48.4,48.7,48.2
% OBC Enrolment:U.Primary Level,51.0,49.9,49.3,48.6,48.6,49.4,49.2,49.3,49.6,49.1
